match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_challengeLost,stat_penaltyConceded,stat_dispossessed,captain,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_clearanceOffLine,stat_errorLeadToAShot
13472686,home,Flamengo,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195,10864,M,AgustinRossi,1140986,EUR,808963200,G,1,1,False,22.0,21.0,3.0,2.0,0.0,19.0,19.0,2.0,3.0,4.0,1.0,1.0,90.0,24.0,6.6,1.0,0.00065591,0,-0.1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472686,home,Flamengo,Guillermo Varela,guillermo-varela,G. Varela,D,2,171,7450,M,,311456,EUR,732931200,D,2,2,False,38.0,32.0,1.0,1.0,0.0,10.0,11.0,22.0,27.0,2.0,,,89.0,59.0,7.1,10.0,0.0351479,0,,,,2.0,1.0,1.0,3.0,4.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13472686,home,Flamengo,Léo Ortiz,leo-ortiz,L. Ortiz,D,3,185,10970,M,leortiz33,869643,EUR,820627200,D,3,3,False,84.0,78.0,10.0,6.0,0.0,34.0,35.0,44.0,49.0,3.0,,,90.0,98.0,7.4,6.0,0.0926852,1,,,,2.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0596,,,,,,,,,,,,,,,,
13472686,home,Flamengo,Léo Pereira,leo-pereira,L. Pereira,D,4,189,8450,M,leopereira4,358548,EUR,823046400,D,4,4,False,80.0,72.0,3.0,1.0,0.0,43.0,45.0,29.0,35.0,5.0,,,90.0,101.0,7.4,10.0,0.0197153,3,,,,1.0,,3.0,1.0,4.0,,,7.0,,,1.0,1.0,2.0,,,,,6.0,0.2265,2.0,1.0,0.5349,,,,,,,,,,,,,
13472686,home,Flamengo,Ayrton Lucas,ayrton-lucas,A. Lucas,D,6,180,7146,M,AyrtonLucas,818473,EUR,866678400,D,6,6,False,78.0,71.0,3.0,3.0,0.0,26.0,28.0,45.0,50.0,7.0,,,90.0,100.0,7.1,11.0,0.192575,1,,,,3.0,,3.0,4.0,6.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,0.0117,,1.0,0.0899,1.0,1.0,,,,,,,,,,,
13472686,home,Flamengo,Nicolás de la Cruz,nicolas-de-la-cruz,N. de la Cruz,M,18,167,16989,M,nicodelacruz10,877513,EUR,865123200,M,18,18,False,73.0,66.0,3.0,2.0,0.0,18.0,19.0,48.0,54.0,8.0,,,77.0,90.0,7.5,11.0,0.0893683,4,,,,1.0,,1.0,3.0,8.0,,,1.0,4.0,2.0,3.0,3.0,2.0,,,1.0,,,0.1552,3.0,,,1.0,,,,,,,,,,,,
13472686,home,Flamengo,Saúl Ñíguez,saul-niguez,S. Ñíguez,M,8,184,13500,M,Saul,116955,EUR,785376000,M,8,8,False,82.0,78.0,6.0,3.0,0.0,31.0,31.0,47.0,51.0,9.0,,,90.0,94.0,7.3,5.0,0.17315,1,,,,2.0,2.0,1.0,7.0,4.0,,,,2.0,2.0,,1.0,3.0,2.0,1.0,1.0,,5.0,0.0197,,,,2.0,,,,,,,,,,,,
13472686,home,Flamengo,Gonzalo Plata,gonzalo-plata,G. Plata,M,19,178,20442,M,gonzaloplata,937937,EUR,973036800,M,50,50,False,21.0,15.0,,,0.0,6.0,8.0,9.0,13.0,2.0,,,58.0,36.0,7.1,11.0,0.0125984,2,,,,2.0,2.0,,7.0,4.0,2.0,,,3.0,3.0,,1.0,2.0,1.0,,,,,0.0478,2.0,,,,,1.0,,,,,,,,,,
13472686,home,Flamengo,Giorgian De Arrascaeta,giorgian-de-arrascaeta,Arrascaeta,M,10,173,86686,M,G10DeArrascaeta,333587,EUR,770428800,M,10,10,False,49.0,43.0,3.0,2.0,0.0,11.0,11.0,32.0,38.0,1.0,,,90.0,72.0,8.4,19.0,1.06034,3,,,,11.0,2.0,,5.0,3.0,2.0,2.0,,,,4.0,1.0,1.0,6.0,3.0,1.0,,,0.1443,,2.0,0.1678,1.0,,1.0,True,1.0,1.0,,,,,,,
13472686,home,Flamengo,Samuel Lino,samuel-lino,S. Lino,M,16,178,22210,M,osamuellino,874705,EUR,945907200,M,16,16,False,36.0,33.0,,,0.0,6.0,7.0,27.0,29.0,6.0,,,90.0,57.0,6.6,15.0,0.0722367,3,,,,4.0,1.0,1.0,8.0,4.0,6.0,2.0,,1.0,,2.0,,1.0,1.0,,2.0,,,0.1141,1.0,,,1.0,,1.0,,,,,,,,,,
13472686,home,Flamengo,Pedro,pedro,Pedro,F,9,186,57455,M,pedroguilherme,840219,EUR,866764800,F,9,9,False,8.0,6.0,,,1.0,2.0,2.0,4.0,6.0,,,,77.0,20.0,6.3,7.0,0.0188942,3,,,,1.0,,,4.0,2.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,0.8645,,2.0,0.5135,,,3.0,,,,2.0,,,,,,
13472686,home,Flamengo,Luiz Araújo,luiz-araujo,L. Araújo,M,7,175,16511,M,l_araujo11ofi,840451,EUR,833673600,F,7,7,True,19.0,16.0,,,0.0,3.0,4.0,13.0,15.0,1.0,,,32.0,33.0,6.4,10.0,0.0216637,0,,,,2.0,,,4.0,1.0,5.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13472686,home,Flamengo,Evertton Araujo,evertton,E. Araujo,M,52,185,4689,M,,1145106,EUR,1046390400,M,52,52,True,12.0,11.0,,,0.0,4.0,4.0,7.0,8.0,2.0,,,13.0,12.0,6.4,1.0,0.00253053,0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
