match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalClearance,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_challengeLost,stat_wonTackle,stat_shotOffTarget,stat_errorLeadToAShot,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_blockedScoringAttempt,stat_goals,stat_ownGoals
13354792,home,Go Ahead Eagles,Luca Plogmann,luca-plogmann,L. Plogmann,G,1,187.0,85,M,877840,EUR,952646400.0,G,1,1,False,35.0,29.0,8.0,3.0,0.0,28.0,31.0,1.0,4.0,8.0,2.0,5.0,90.0,46.0,7.6,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13354792,home,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180.0,340,M,794013,EUR,868924800.0,D,2,2,False,50.0,44.0,5.0,1.0,0.0,21.0,21.0,24.0,30.0,2.0,,,90.0,71.0,7.1,8.0,1,,,True,1.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
13354792,home,Go Ahead Eagles,Gerrit Nauber,gerrit-nauber,G. Nauber,D,3,185.0,78,M,133168,EUR,703123200.0,D,3,3,False,100.0,93.0,10.0,6.0,0.0,45.0,47.0,48.0,53.0,2.0,,,90.0,110.0,6.8,9.0,0,,,,,,1.0,1.0,1.0,1.0,,,,,3.0,,,,1.0,4.0,1.0,2.0,,,,,,,,,,,,
13354792,home,Go Ahead Eagles,Joris Kramer,joris-kramer,J. Kramer,D,4,190.0,140,M,793742,EUR,838944000.0,D,4,4,False,111.0,98.0,11.0,7.0,0.0,46.0,49.0,52.0,62.0,8.0,,,90.0,124.0,7.7,13.0,0,,,,,,1.0,3.0,2.0,4.0,,,,,2.0,,,1.0,,7.0,,,1.0,1.0,,,,,,,,,,
13354792,home,Go Ahead Eagles,Dean James,dean-james,D. James,D,5,177.0,6702,M,1046722,EUR,957052800.0,D,5,5,False,34.0,31.0,1.0,,0.0,11.0,11.0,20.0,26.0,1.0,,,65.0,58.0,6.8,10.0,0,,,,3.0,,2.0,,4.0,,1.0,,,,1.0,,,,,4.0,,,1.0,,,,,,,,,,,
13354792,home,Go Ahead Eagles,Enric Llansana,enric-llansana,E. Llansana,M,24,183.0,331,M,916951,EUR,987033600.0,M,21,21,False,72.0,63.0,1.0,,1.0,23.0,25.0,40.0,48.0,7.0,,,66.0,87.0,6.9,15.0,0,,,,1.0,,1.0,1.0,10.0,4.0,2.0,,,,,2.0,1.0,3.0,3.0,4.0,,,3.0,,1.0,1.0,,,,,,,,
13354792,home,Go Ahead Eagles,Evert Linthorst,evert-linthorst,E. Linthorst,M,8,187.0,122,M,932555,EUR,952041600.0,M,8,8,False,98.0,90.0,5.0,3.0,0.0,36.0,37.0,54.0,62.0,9.0,,,90.0,109.0,7.5,10.0,1,,,,1.0,,1.0,1.0,4.0,2.0,,,1.0,1.0,2.0,1.0,,3.0,1.0,2.0,,,,,,1.0,,,,,,,,
13354792,home,Go Ahead Eagles,Oliver Antman,oliver-antman,O. Antman,M,18,185.0,1316,M,975743,EUR,997833600.0,M,19,19,False,45.0,37.0,,,0.0,18.0,21.0,19.0,25.0,4.0,,,71.0,60.0,6.8,13.0,2,,,,1.0,,1.0,,4.0,3.0,2.0,,,,1.0,,,,,,,1.0,4.0,3.0,,,2.0,1.0,,,,,,
13354792,home,Go Ahead Eagles,Jakob Breum,jakob-breum,J. Breum,M,7,173.0,869,M,1029724,EUR,1069027200.0,M,7,7,False,35.0,30.0,2.0,2.0,0.0,11.0,11.0,21.0,29.0,5.0,,,77.0,52.0,7.1,12.0,4,,,,5.0,2.0,,,1.0,2.0,1.0,,3.0,,,,2.0,,2.0,,,2.0,,,,,1.0,,2.0,1.0,1.0,,,
13354792,home,Go Ahead Eagles,Mathis Suray,mathis-suray,M. Suray,M,17,173.0,318,M,909960,EUR,996105600.0,M,17,17,False,37.0,34.0,1.0,1.0,0.0,8.0,8.0,27.0,30.0,3.0,,,90.0,52.0,7.7,7.0,5,,,,1.0,1.0,2.0,,4.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,3.0,1.0,
