match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,player_firstName,player_lastName,stat_totalCross,stat_wonContest,stat_errorLeadToAShot,captain,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_errorLeadToAGoal,stat_hitWoodwork
12436598,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,1,1,False,34.0,24.0,19.0,9.0,0.0,15.0,16.0,9.0,18.0,1.0,1.0,2.0,11.0,4.0,4.0,2.0,90.0,45.0,7.3,11.0,0.0011234,0,0.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436598,home,Fulham,Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2321,M,329417,EUR,818121600,D,21,21,False,30.0,24.0,4.0,2.0,0.0,18.0,23.0,6.0,7.0,2.0,9.0,9.0,3.0,,,,90.0,59.0,7.0,10.0,0.0530536,0,,4.0,2.0,1.0,1.0,1.0,6.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12436598,home,Fulham,Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2378,M,362682,EUR,833500800,D,5,5,False,41.0,31.0,14.0,6.0,0.0,22.0,24.0,9.0,17.0,1.0,3.0,15.0,1.0,,,,90.0,62.0,6.9,11.0,0.00827404,0,,2.0,,,1.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
12436598,home,Fulham,Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,8710,M,861972,EUR,946598400,D,3,3,False,42.0,38.0,2.0,,0.0,31.0,33.0,7.0,10.0,1.0,6.0,5.0,8.0,,,,90.0,59.0,7.0,5.0,0.00134502,0,,2.0,,1.0,1.0,1.0,3.0,3.0,,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12436598,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,33.0,25.0,6.0,4.0,0.0,10.0,14.0,15.0,20.0,1.0,4.0,8.0,5.0,,,,90.0,61.0,7.2,15.0,0.180391,0,,2.0,1.0,,,3.0,3.0,3.0,4.0,,,1.0,,,1.0,,,True,2.0,,,,,,,,,,,,,,,
12436598,home,Fulham,Sander Berge,sander-berge,S. Berge,M,16,195,2096,M,793167,EUR,887414400,M,16,16,False,41.0,34.0,4.0,1.0,0.0,14.0,15.0,20.0,26.0,2.0,5.0,,7.0,,,,90.0,52.0,6.7,11.0,0.0498395,0,,3.0,1.0,1.0,,,2.0,2.0,3.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
12436598,home,Fulham,Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2086,M,371222,EUR,839894400,M,20,20,False,34.0,28.0,1.0,,0.0,15.0,19.0,13.0,16.0,,2.0,3.0,5.0,,,,76.0,41.0,6.5,8.0,0.0117711,0,,3.0,,,,,1.0,1.0,1.0,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,
12436598,home,Fulham,Ryan Sessegnon,ryan-sessegnon,R. Sessegnon,D,30,178,1731,M,836698,EUR,958608000,M,30,30,False,14.0,10.0,,,0.0,7.0,9.0,3.0,5.0,,4.0,,4.0,,,,82.0,36.0,7.4,11.0,0.0633038,3,,7.0,,4.0,,1.0,2.0,1.0,3.0,,1.0,2.0,,,,2.0,,,1.0,2.0,2.0,1.0,1.0,0.115,0.4894,,,,,,,,,
12436598,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,21.0,15.0,4.0,2.0,0.0,4.0,7.0,11.0,20.0,2.0,3.0,,5.0,,,,76.0,36.0,6.9,15.0,0.290175,2,,3.0,,1.0,,1.0,,,1.0,,2.0,,,,6.0,1.0,,,1.0,1.0,1.0,,,0.0768,,andreaspereira,1.0,1.0,,,,,,
12436598,home,Fulham,Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,8263,M,352770,EUR,831081600,M,17,17,False,27.0,20.0,3.0,1.0,1.0,8.0,11.0,13.0,20.0,,2.0,1.0,7.0,,,,82.0,46.0,8.2,14.0,0.0829084,4,,3.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,4.0,,,,1.0,2.0,,3.0,1.0,0.1719,0.4316,alexanderiwobi,1.0,1.0,1.0,1.0,,,,
