match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_hitWoodwork,stat_unsuccessfulTouch,stat_wasFouled,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_challengeLost,stat_goalAssist,stat_goals
11399384,home,RKC Waalwijk,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187,465,M,809408,EUR,806716800,G,1,1,False,45.0,37.0,23.0,15.0,28.0,30.0,9.0,15.0,12.0,1.0,1.0,90.0,55.0,7.0,8.0,0.00929528,0,-0.7064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399384,home,RKC Waalwijk,Julian Lelieveld,julian-lelieveld,J. Lelieveld,D,2,184,104,M,798179,EUR,880329600,D,2,2,False,63.0,52.0,7.0,5.0,23.0,25.0,32.0,47.0,6.0,,,90.0,86.0,7.2,18.0,0.290399,0,,,,9.0,3.0,2.0,5.0,6.0,5.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
11399384,home,RKC Waalwijk,Jurien Gaari,jurien-gaari,J. Gaari,D,3,181,58,M,884944,EUR,756604800,D,23,23,False,100.0,92.0,12.0,5.0,70.0,72.0,22.0,28.0,7.0,,,90.0,109.0,7.4,8.0,0.0169079,1,,,,,,2.0,2.0,2.0,5.0,,,,1.0,1.0,1.0,2.0,3.0,3.0,0.0705,,,,,,,,,,,,,,,,
11399384,home,RKC Waalwijk,Dario Van Den Buijs,dario-van-den-buijs,D. V. D. Buijs,D,33,188,65,M,783468,EUR,810864000,D,3,3,False,122.0,106.0,20.0,10.0,72.0,77.0,34.0,45.0,14.0,,,90.0,134.0,7.1,18.0,0.0429297,1,,,,,,2.0,,3.0,3.0,,1.0,,1.0,2.0,,,2.0,1.0,0.1346,1.0,1.0,1.0,,,,,,,,,,,,,
11399384,home,RKC Waalwijk,Aaron Meijers,aaron-meijers,A. Meijers,D,14,176,30,M,32386,EUR,562377600,D,28,28,False,82.0,66.0,14.0,6.0,40.0,44.0,27.0,47.0,10.0,,,90.0,116.0,7.2,29.0,0.0349377,0,,Aaron,Meijers,9.0,1.0,1.0,5.0,2.0,8.0,,1.0,1.0,,1.0,1.0,1.0,3.0,2.0,,,5.0,1.0,,,,,,,,,,,,,
11399384,home,RKC Waalwijk,Godfried Roemeratoe,godfried-roemeratoe,G. Roemeratoe,M,6,178,106,M,825849,EUR,935020800,M,24,24,False,27.0,20.0,,,7.0,7.0,13.0,20.0,1.0,,,74.0,34.0,6.4,9.0,0.0264905,0,,,,,,1.0,,4.0,,,2.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,
11399384,home,RKC Waalwijk,Chris Lokesa,lokesa-chris,C. Lokesa,M,5,175,140,M,1126518,EUR,1099785600,M,14,14,False,15.0,13.0,,,5.0,5.0,8.0,11.0,2.0,,,71.0,24.0,7.0,4.0,0.0230444,4,,,,1.0,,1.0,1.0,1.0,4.0,,,1.0,2.0,,,,2.0,2.0,0.434,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,
11399384,home,RKC Waalwijk,Yassin Oukili,oukili-yassin,Y. Oukili,M,5,195,495,M,1010846,EUR,978480000,M,6,6,False,38.0,29.0,2.0,1.0,13.0,14.0,18.0,26.0,11.0,,,90.0,57.0,7.3,14.0,0.13924,1,,,,2.0,2.0,1.0,1.0,3.0,5.0,1.0,,3.0,1.0,2.0,1.0,,2.0,1.0,0.032,,2.0,2.0,1.0,,,,,,,,,,,,
11399384,home,RKC Waalwijk,Denilho Cleonise,denilho-cleonise,D. Cleonise,F,7,179,62,M,971006,EUR,1007769600,F,7,7,False,30.0,27.0,,,9.0,9.0,20.0,27.0,1.0,,,89.0,49.0,7.0,12.0,0.143042,2,,,,6.0,2.0,,,4.0,,1.0,,1.0,1.0,,,,,,0.0869,1.0,,,3.0,,,,1.0,1.0,0.0212,,,,,,
11399384,home,RKC Waalwijk,Michiel Kramer,michiel-kramer,M. Kramer,F,29,195,192,M,36781,EUR,597110400,F,29,29,False,15.0,9.0,,,4.0,5.0,5.0,10.0,2.0,,,90.0,25.0,7.1,8.0,0.0752254,5,,,,,,2.0,6.0,3.0,6.0,,1.0,,1.0,,1.0,,,,0.8052,,2.0,,,,1.0,1.0,,3.0,0.5977,True,1.0,,,,
