match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_blockedScoringAttempt,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_dispossessed,stat_shotOffTarget,stat_errorLeadToAGoal,captain,stat_accurateCross,stat_challengeLost,stat_wonContest,stat_penaltyWon,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyConceded,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,player_sofascoreId
11401989,home,Go Ahead Eagles,Jeffrey de Lange,jeffrey-de-lange,J. de Lange,G,12,188,623,M,803034,EUR,891388800,G,1,1,False,33.0,25.0,17.0,9.0,20.0,21.0,5.0,12.0,1.0,8.0,3.0,90.0,44.0,6.9,9.0,0.078,0.00231639,1,-0.1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401989,home,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180,337,M,794013,EUR,868924800,D,2,2,False,23.0,17.0,5.0,2.0,8.0,9.0,9.0,15.0,1.0,2.0,,90.0,50.0,7.2,14.0,0.8428,0.0368715,2,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.9949,1.0,,,,,,,,,,,,,,,,,,,,,,
11401989,home,Go Ahead Eagles,Jamal Amofa,jamal-amofa,J. Amofa,D,6,185,110,M,1049653,EUR,911952000,D,25,25,False,46.0,40.0,8.0,3.0,31.0,33.0,9.0,13.0,,6.0,,83.0,51.0,7.1,6.0,,0.107389,0,,Jamal Amofa,,,,2.0,,4.0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11401989,home,Go Ahead Eagles,Joris Kramer,joris-kramer,J. Kramer,D,4,190,140,M,793742,EUR,838944000,D,4,4,False,61.0,51.0,10.0,6.0,35.0,37.0,16.0,24.0,2.0,5.0,,90.0,73.0,6.5,12.0,0.1595,0.0213278,3,,,,,6.0,3.0,8.0,5.0,,,,,3.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11401989,home,Go Ahead Eagles,Bas Kuipers,bas-kuipers,B. Kuipers,D,25,180,146,M,339879,EUR,777081600,D,5,5,False,30.0,18.0,5.0,,7.0,9.0,15.0,30.0,,5.0,,90.0,60.0,7.2,21.0,,0.282204,0,,,,9.0,,1.0,3.0,4.0,2.0,,,,2.0,,1.0,1.0,,,,3.0,2.0,1.0,1.0,,,,True,4.0,1.0,,,,,,,,,,,,,
11401989,home,Go Ahead Eagles,Evert Linthorst,evert-linthorst,E. Linthorst,M,8,187,123,M,932555,EUR,952041600,M,8,8,False,46.0,33.0,4.0,3.0,11.0,15.0,22.0,31.0,,3.0,,90.0,60.0,7.0,16.0,0.0834,0.0514994,1,,,,,,3.0,2.0,6.0,,,,,3.0,,,1.0,,,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11401989,home,Go Ahead Eagles,Xander Blomme,xander-blomme,X. Blomme,M,16,172,76,M,997161,EUR,1024617600,M,20,20,False,26.0,19.0,3.0,1.0,10.0,11.0,9.0,15.0,,4.0,,71.0,36.0,6.8,8.0,,0.00799717,0,,,,,,1.0,3.0,6.0,,,,,1.0,,1.0,1.0,2.0,,,,5.0,3.0,,,,,,,1.0,,,,,,,,,,,,,
11401989,home,Go Ahead Eagles,Bobby Adekanye,bobby-adekanye,B. Adekanye,M,11,170,177,M,825851,EUR,918950400,M,11,11,False,18.0,8.0,1.0,,5.0,7.0,3.0,12.0,1.0,9.0,,90.0,48.0,6.6,25.0,0.0723,0.0160425,2,,,,1.0,1.0,,13.0,10.0,13.0,1.0,,,,,,3.0,1.0,,,2.0,3.0,3.0,3.0,1.0,1.0,,,,1.0,4.0,,,,,,,,,,,,
11401989,home,Go Ahead Eagles,Oliver Edvardsen,oliver-valaker-edvardsen,O. Edvardsen,M,17,175,591,M,878599,EUR,921801600,M,23,23,False,12.0,9.0,2.0,1.0,3.0,3.0,7.0,11.0,,3.0,,54.0,25.0,6.7,11.0,,0.102928,0,,,,2.0,1.0,1.0,7.0,2.0,2.0,,,,,,2.0,2.0,1.0,,,1.0,,,1.0,3.0,,,,1.0,,,1.0,,,,,,,,,,,
11401989,home,Go Ahead Eagles,Jakob Breum,jakob-breum,J. Breum,M,7,173,868,M,1029724,EUR,1069027200,M,29,29,False,20.0,12.0,1.0,,3.0,4.0,9.0,18.0,,4.0,,71.0,40.0,6.5,17.0,0.0541,0.017872,1,,,,2.0,,,4.0,4.0,2.0,,,,,,1.0,3.0,1.0,,,,,,3.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,
