match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,length,description,confirmed
11352537,FT,1.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
11352537,,,,,90,7.0,,1,,,substitution,122457913.0,False,False,regular,,,,,,,,
11352537,,,,,90,7.0,,1,,,substitution,122457912.0,False,False,regular,,,,,,,,
11352537,,1.0,3.0,,90,5.0,,1,,,goal,179115308.0,,False,regular,847151.0,Edson Álvarez,,,,,,
11352537,,,,,90,3.0,,1,,,card,121174576.0,,False,yellow,47772.0,Michail Antonio,Michail Antonio,Argument,False,,,
11352537,,,,,90,3.0,,1,,,substitution,122457890.0,False,True,regular,,,,,,,,
11352537,,,,,90,3.0,,1,,,substitution,122457891.0,False,True,regular,,,,,,,,
11352537,,,,,90,2.0,,1,,,card,121174555.0,,True,yellow,138530.0,Jordan Pickford,Jordan Pickford,Argument,False,,,
11352537,,,,,90,2.0,,1,,,card,121174556.0,,False,yellow,799041.0,Tomáš Souček,Tomáš Souček,,False,,,
11352537,,1.0,2.0,,90,1.0,,1,,,goal,179114973.0,,False,regular,799041.0,Tomáš Souček,,,,,,
11352537,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,5.0,,
11352537,,,,,80,,,11,,,substitution,122457595.0,False,False,regular,,,,,,,,
11352537,,,,,80,,,11,,,substitution,122457594.0,False,True,regular,,,,,,,,
11352537,,,,,74,,,17,,,substitution,122457505.0,False,True,regular,,,,,,,,
11352537,,,,,66,,,25,,,substitution,122457358.0,False,False,regular,,,,,,,,
11352537,,1.0,1.0,,62,,,29,,,goal,179112364.0,,False,regular,139227.0,Kurt Zouma,,,,,,
11352537,,1.0,0.0,,56,,,35,,,goal,179111787.0,,True,regular,987489.0,Beto,,,,,,
11352537,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
11352537,,,,,45,,,1,,,inGamePenalty,118453437.0,,True,missed,987489.0,Beto,,goalkeeperSave,,,Goalkeeper save,
11352537,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,4.0,,
11352537,,,,,43,,,3,,,varDecision,23850.0,,True,penaltyNotAwarded,987489.0,Beto,,,,,,False
