match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,captain,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_blockedScoringAttempt,stat_bigChanceCreated,player_sofascoreId,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
10408505,home,Almería,Fernando Martínez,fernando-martinez,F. Martínez,G,13,185,172,M,139925,EUR,644976000,G,13,13,False,29.0,23.0,9.0,3.0,22.0,24.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,90.0,38.0,6.6,6.0,0.0,0.0,0.00032479,0,-0.5273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408505,home,Almería,Houboulang Mendes,houboulang-mendes,H. Mendes,D,17,183,116,M,845119,EUR,894240000,D,24,24,False,19.0,16.0,1.0,,8.0,8.0,8.0,16.0,,1.0,,,,45.0,38.0,6.7,12.0,0.0,0.0,0.00400668,0,,,,5.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10408505,home,Almería,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,877,M,168745,EUR,752284800,D,19,19,False,66.0,63.0,6.0,4.0,37.0,37.0,26.0,29.0,3.0,7.0,,,,90.0,73.0,6.8,3.0,0.0,0.0,0.0127332,0,,,,,4.0,3.0,,,,1.0,,,3.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
10408505,home,Almería,Srđan Babić,srdan-babic,S. Babić,D,6,195,634,M,280815,EUR,830131200,D,22,22,False,70.0,59.0,7.0,2.0,35.0,42.0,24.0,29.0,,9.0,,,,90.0,78.0,6.8,12.0,0.0,0.0,0.00682736,0,,,,1.0,1.0,3.0,,1.0,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
10408505,home,Almería,Sergio Akieme,sergio-akieme,S. Akieme,D,18,175,293,M,827942,EUR,882230400,D,15,15,False,40.0,36.0,3.0,3.0,18.0,20.0,19.0,25.0,,3.0,,,,90.0,66.0,6.6,15.0,0.296,0.0,0.0635783,1,,,,5.0,4.0,4.0,,2.0,,2.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
10408505,home,Almería,César de la Hoz,cesar-de-la-hoz,C. de la Hoz,M,,179,47,M,233328,EUR,701913600,M,6,6,False,58.0,51.0,5.0,5.0,18.0,20.0,34.0,39.0,2.0,6.0,,,,90.0,76.0,7.9,9.0,0.0594,0.3559,0.0354698,2,,,,1.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,1.0,,,1.0,1.0,True,1.0,1.0,,,,,,,,
10408505,home,Almería,Léo Baptistão,leo-baptistao,Léo Baptistão,M,12,181,560,M,252857,EUR,714787200,M,12,12,False,19.0,17.0,3.0,2.0,5.0,6.0,13.0,15.0,,5.0,,,,61.0,35.0,7.0,8.0,0.6127,0.0477,0.156277,3,,,,2.0,3.0,3.0,1.0,2.0,2.0,1.0,,3.0,,2.0,,,,,1.0,2.0,1.0,1.0,,,1.0,,2.0,1.0,,,,,,
10408505,home,Almería,Lucas Robertone,lucas-robertone,L. Robertone,M,8,173,656,M,848926,EUR,858643200,M,5,5,False,63.0,59.0,4.0,3.0,24.0,24.0,37.0,45.0,,7.0,,,,90.0,86.0,7.6,9.0,0.3026,0.0,0.0884741,6,,,,6.0,5.0,7.0,2.0,1.0,,4.0,1.0,,,1.0,2.0,1.0,2.0,2.0,2.0,,,2.0,,,,,,4.0,1.0,,,,,
10408505,home,Almería,Gonzalo Melero,gonzalo-melero,G. Melero,M,16,183,159,M,789886,EUR,757468800,M,3,3,False,57.0,53.0,7.0,5.0,22.0,23.0,31.0,34.0,1.0,6.0,,,,86.0,63.0,6.5,5.0,0.0492,0.0,0.217686,1,,,,,3.0,,,1.0,,,,,1.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,
10408505,home,Almería,Adrián Embarba,adrian-embarba,A. Embarba,M,23,173,477,M,346516,EUR,705196800,M,10,10,False,13.0,12.0,1.0,1.0,5.0,6.0,10.0,12.0,,3.0,,,,45.0,31.0,6.8,7.0,0.0449,0.0,0.370018,1,,,,5.0,4.0,3.0,,3.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,3.0,1.0,,,,,,,,1.0,,,,,,
