match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_wasFouled,captain,stat_blockedScoringAttempt,stat_expectedGoals,player_sofascoreId,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_wonTackle,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,stat_totalOffside
12441743,home,NEC Nijmegen,Robin Roefs,robin-roefs,R. Roefs,G,22,193.0,2142,M,1012928,EUR,1042761600,G,22,22,False,21.0,15.0,10.0,4.0,0.0,12.0,13.0,3.0,8.0,3.0,9.0,4.0,3.0,3.0,1.0,2.0,2.0,90.0,35.0,7.5,6.0,0.00122956,1.0,0,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441743,home,NEC Nijmegen,Lefteris Lyratzis,lefteris-lyratzis,L. Lyratzis,D,19,172.0,188,M,850774,EUR,951177600,D,19,19,False,14.0,10.0,5.0,2.0,0.0,4.0,4.0,8.0,12.0,2.0,2.0,,,,,,,70.0,24.0,6.7,5.0,0.21785,1.0,0,,Lefteris,Lyratzis,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
12441743,home,NEC Nijmegen,Philippe Sandler,philippe-sandler,P. Sandler,D,3,188.0,233,M,842275,EUR,855532800,D,3,3,False,49.0,40.0,2.0,,0.0,28.0,30.0,13.0,20.0,5.0,6.0,,,,,,,90.0,66.0,7.2,10.0,0.0458778,,0,,,,1.0,1.0,4.0,5.0,7.0,1.0,1.0,,3.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
12441743,home,NEC Nijmegen,Bram Nuytinck,bram-nuytinck,B. Nuytinck,D,17,190.0,135,M,70930,EUR,641779200,D,17,17,False,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,,,8.0,2.0,6.6,,1.5e-06,,1,,,,,,1.0,,1.0,,,,,,,,,True,1.0,0.071,,,,,,,,,,,,,
12441743,home,NEC Nijmegen,Calvin Verdonk,calvin-verdonk,C. Verdonk,D,24,174.0,14345,M,361780,EUR,862012800,D,24,24,False,74.0,63.0,12.0,7.0,0.0,37.0,38.0,28.0,38.0,3.0,7.0,,,,,,,90.0,98.0,8.4,13.0,0.43626,3.0,1,,,,2.0,2.0,1.0,1.0,10.0,,8.0,2.0,,1.0,,,,,,0.1676,c.verdonk,1.0,1.0,2.0,1.0,4.0,,,,,,,
12441743,home,NEC Nijmegen,Sami Ouaissa,sami-ouaissa,S. Ouaissa,M,25,180.0,488,M,1394147,EUR,1096675200,M,25,25,False,20.0,17.0,1.0,1.0,0.0,8.0,8.0,10.0,13.0,,2.0,,,,,,,70.0,29.0,7.0,5.0,0.173834,1.0,1,,Sami Ouaissa,,1.0,1.0,,3.0,3.0,,,1.0,1.0,1.0,,1.0,2.0,,,0.0351,,2.0,1.0,,1.0,,,,,,,,
12441743,home,NEC Nijmegen,Dirk Proper,dirk-proper,D. Proper,M,71,167.0,193,M,961685,EUR,1014508800,M,71,71,False,37.0,35.0,5.0,3.0,0.0,14.0,14.0,21.0,23.0,4.0,4.0,,,,,,,90.0,53.0,7.0,4.0,0.020385,1.0,1,,,,,,,12.0,3.0,1.0,2.0,1.0,3.0,6.0,2.0,,1.0,,,0.0385,,1.0,,,,2.0,1.0,0.0177,,,,,
12441743,home,NEC Nijmegen,Kodai Sano,kodai-sano,K. Sano,M,23,176.0,1274,M,1184054,EUR,1064448000,M,23,23,False,32.0,27.0,2.0,1.0,0.0,13.0,14.0,14.0,19.0,3.0,8.0,,,,,,,90.0,53.0,7.5,9.0,0.0179684,,3,,Kodai Sano,,1.0,,1.0,3.0,5.0,3.0,2.0,1.0,1.0,,1.0,,1.0,,,0.2354,,1.0,1.0,,2.0,1.0,1.0,0.2172,1.0,1.0,1.0,,
12441743,home,NEC Nijmegen,Sontje Hansen,sontje-hansen,S. Hansen,M,27,172.0,611,M,1199057,EUR,1021680000,F,10,10,False,28.0,22.0,2.0,1.0,1.0,5.0,8.0,18.0,23.0,,7.0,,,,,,,90.0,45.0,7.8,12.0,0.530753,5.0,2,,,,3.0,1.0,,6.0,2.0,,,1.0,2.0,2.0,,1.0,1.0,,1.0,0.2336,,2.0,1.0,1.0,1.0,,,,1.0,,,,
12441743,home,NEC Nijmegen,Kento Shiogai,shiogai-kento,K. Shiogai,F,7,180.0,1146,M,1499696,EUR,1111795200,F,9,9,False,5.0,4.0,,,0.0,,,4.0,5.0,1.0,1.0,,,,,,,60.0,22.0,6.5,8.0,0.0148326,1.0,3,,,,,,1.0,6.0,2.0,,1.0,6.0,,4.0,1.0,,,,1.0,0.3282,,,,,2.0,1.0,,,1.0,1.0,,,
