match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,confirmed,from
10388431,FT,3.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
10388431,,,,,90,0.0,,1,,,injuryTime,3.0,,,,,,,,,,,
10388431,,,,,88,,,3,,,substitution,,121430286.0,False,False,regular,,,,,,,
10388431,,,,,82,,,9,,,substitution,,121430229.0,False,True,regular,,,,,,,
10388431,,,,,79,,,12,,,card,,120538596.0,,True,yellow,Salih Özcan,Foul,False,795005.0,Salih Özcan,,
10388431,,,,,78,,,13,,,substitution,,121430182.0,False,True,regular,,,,,,,
10388431,,,,,78,,,13,,,substitution,,121430183.0,False,False,regular,,,,,,,
10388431,,,,,71,,,20,,,substitution,,121430131.0,False,False,regular,,,,,,,
10388431,,,,,71,,,20,,,substitution,,121430130.0,False,False,regular,,,,,,,
10388431,,,,,70,,,21,,,substitution,,121430132.0,False,False,regular,,,,,,,
10388431,,,,,67,,,24,,,substitution,,121430106.0,False,True,regular,,,,,,,
10388431,,,,,67,,,24,,,substitution,,121430105.0,False,True,regular,,,,,,,
10388431,,,,,67,,,24,,,substitution,,121430104.0,False,True,regular,,,,,,,
10388431,,,,,54,,,37,,,card,,120538477.0,,False,yellow,Cristian Gamboa,Foul,False,117794.0,Cristian Gamboa,,
10388431,HT,3.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
10388431,,3.0,0.0,,45,2.0,,1,,,goal,,166996849.0,,True,regular,,,,997006.0,Youssoufa Moukoko,,
10388431,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,,,,,
10388431,,,,,43,,,3,,,varDecision,,14245.0,,True,penaltyAwarded,,,,989056.0,Giovanni Reyna,False,
10388431,,,,,28,,,18,,,varDecision,,14241.0,,False,goalAwarded,,,,340719.0,Philipp Hofmann,False,
10388431,,2.0,0.0,,12,,,34,,,goal,,166996012.0,,True,penalty,,,,989056.0,Giovanni Reyna,,penalty
10388431,,1.0,0.0,,8,,,38,,,goal,,166995900.0,,True,regular,,,,997006.0,Youssoufa Moukoko,,
