match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,captain,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_shotOffTarget,stat_penaltyWon,stat_bigChanceMissed,stat_keyPass,stat_errorLeadToAGoal,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_blockedScoringAttempt,stat_penaltyConceded,stat_bigChanceCreated,stat_hitWoodwork
10388431,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,41.0,30.0,18.0,7.0,29.0,34.0,1.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,90.0,47.0,7.2,11.0,0.0,0.0,0.00020289,0,0.6877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Niklas Süle,niklas-sule,N. Süle,D,25,195,4025,M,NiklasSule,168937,EUR,810086400,D,25,25,False,51.0,40.0,4.0,1.0,24.0,29.0,16.0,23.0,1.0,2.0,1.0,3.0,,,,67.0,70.0,7.0,14.0,0.0,0.0,0.0115061,0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4570,M,aussenrist15,16632,EUR,598233600,D,15,15,False,61.0,52.0,11.0,6.0,39.0,43.0,13.0,18.0,4.0,11.0,5.0,6.0,,,,90.0,80.0,7.6,11.0,0.0,0.0,0.00636822,0,,,,,3.0,8.0,1.0,1.0,3.0,,True,1.0,2.0,1.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10353,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,81.0,66.0,11.0,4.0,54.0,60.0,12.0,21.0,5.0,7.0,6.0,12.0,,,,90.0,90.0,7.3,15.0,0.0,0.0,0.0212946,0,,,,,1.0,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Raphaël Guerreiro,raphael-guerreiro,R. Guerreiro,D,22,170,7880,M,raphaelguerreiro14,246999,EUR,756518400,D,13,13,False,54.0,47.0,,,35.0,38.0,12.0,18.0,,2.0,1.0,4.0,,,,78.0,61.0,6.9,9.0,0.0,0.0,0.0368707,0,,,,2.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1020811,M,JudeBell,991011,EUR,1056844800,M,22,22,False,35.0,29.0,3.0,2.0,15.0,18.0,14.0,17.0,2.0,6.0,3.0,7.0,,,,90.0,51.0,6.4,14.0,0.0,0.0,0.00921347,0,,,,,3.0,8.0,,,1.0,4.0,,,4.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Salih Özcan,salih-ozcan,S. Özcan,M,6,180,2466,M,,795005,EUR,884476800,M,6,6,False,60.0,49.0,7.0,5.0,31.0,34.0,18.0,26.0,2.0,4.0,1.0,8.0,,,,90.0,71.0,6.9,13.0,0.0,0.0,0.0155998,0,,,,,2.0,6.0,,,2.0,,,,2.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Giovanni Reyna,giovanni-reyna,G. Reyna,M,13,185,5027,M,gioareyna,989056,EUR,1037145600,M,7,7,False,24.0,16.0,1.0,1.0,4.0,8.0,12.0,18.0,2.0,8.0,2.0,2.0,,,,67.0,43.0,7.1,16.0,0.7884,0.9789,0.0133055,1,,,,2.0,1.0,4.0,1.0,,1.0,2.0,,,2.0,,2.0,1.0,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,19,19,False,45.0,36.0,3.0,2.0,20.0,21.0,16.0,26.0,,3.0,,10.0,,,,90.0,60.0,6.6,17.0,0.0641,0.0,0.0382873,1,,,,2.0,2.0,6.0,3.0,1.0,1.0,1.0,,,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Donyell Malen,donyell-malen,D. Malen,F,14,176,12595,M,donyellmalen,803039,EUR,916704000,M,21,21,False,24.0,21.0,2.0,2.0,7.0,9.0,14.0,15.0,,3.0,,4.0,,,,68.0,33.0,7.0,6.0,0.0,0.0,0.0496698,0,,,,,,3.0,1.0,,1.0,,,,2.0,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,
10388431,home,Borussia Dortmund,Youssoufa Moukoko,youssoufa-moukoko,Y. Moukoko,F,9,179,11950,M,youssoufa_10,997006,EUR,1100908800,F,18,18,False,9.0,6.0,2.0,1.0,3.0,5.0,3.0,4.0,,2.0,,2.0,,,,82.0,22.0,7.8,10.0,0.6632,0.9479,0.00078079,3,,,,,,5.0,4.0,1.0,,3.0,,,1.0,,1.0,,,1.0,2.0,2.0,,1.0,,1.0,,,,,,,,,,,
10388431,home,Borussia Dortmund,Marco Reus,marco-reus,M. Reus,M,18,180,21759,M,Reus11,37092,EUR,612576000,M,11,11,True,5.0,3.0,,,,,3.0,5.0,,,,1.0,,,,23.0,11.0,6.4,5.0,0.0,0.0,0.00078504,0,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
