match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_totalContest,stat_wonContest,stat_fouls,stat_bigChanceMissed,stat_totalOffside,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist
11396268,home,1. FC Köln,Steffen Tigges,,,steffen-tigges,S. Tigges,F,27,195,329,M,826884,EUR,901843200,F,21,21,True,,7.0,5.0,,,3.0,3.0,2.0,4.0,2.0,,,,,,,,8.0,9.0,6.7,3.0,0.00119985,0,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
11396268,home,1. FC Köln,Philipp Pentke,,,philipp-pentke,P. Pentke,G,,191,32,M,39918,EUR,483753600,G,20,20,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396268,home,1. FC Köln,Luca Kilian,,,kilian-luca,L. Kilian,D,15,190,102,M,855676,EUR,936144000,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396268,home,1. FC Köln,Dominique Heintz,,,dominique-heintz,D. Heintz,D,3,188,93,M,136922,EUR,745372800,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396268,home,1. FC Köln,Florian Kainz,,,florian-kainz,F. Kainz,M,11,176,502,M,78781,EUR,719884800,M,11,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396268,away,Bayer 04 Leverkusen,Lukáš Hrádecký,,,lukas-hradecky,L. Hrádecký,G,1,190,2547,M,15219,EUR,627868800,G,1,1,False,True,16.0,14.0,3.0,1.0,14.0,15.0,,1.0,,,5.0,,,,,,90.0,19.0,6.8,2.0,9.391e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,
11396268,away,Bayer 04 Leverkusen,Josip Stanišić,,,josip-stanisic,J. Stanišić,D,44,186,9022,M,927407,EUR,954633600,D,2,2,False,,93.0,87.0,2.0,1.0,28.0,30.0,60.0,64.0,3.0,,4.0,,,,,,90.0,101.0,7.1,8.0,0.0831953,0,,1.0,1.0,4.0,3.0,,,,3.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,josip_stanisic,,,,
11396268,away,Bayer 04 Leverkusen,Jonathan Tah,,,jonathan-tah,J. Tah,D,4,194,9454,M,227672,EUR,823996800,D,4,4,False,,123.0,117.0,3.0,3.0,48.0,48.0,69.0,75.0,2.0,1.0,5.0,,,,,,90.0,126.0,7.3,7.0,0.0553686,0,,,,3.0,,,,,,,,,1.0,2.0,,,,1.0,,1.0,,,,,,,jonatah,,,,
11396268,away,Bayer 04 Leverkusen,Piero Hincapié,,,piero-hincapie,P. Hincapié,D,5,184,31047,M,1002837,EUR,1010534400,D,3,3,False,,91.0,90.0,3.0,3.0,41.0,42.0,49.0,49.0,2.0,,3.0,1.0,,,,,79.0,97.0,7.4,1.0,0.0650193,0,,,,2.0,,,1.0,2.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,pierohincapie,,,,
11396268,away,Bayer 04 Leverkusen,Jeremie Frimpong,,,jeremie-frimpong,J. Frimpong,M,30,171,32709,M,970361,EUR,976406400,M,30,30,False,,19.0,15.0,1.0,1.0,2.0,2.0,13.0,19.0,4.0,,,1.0,,,,,45.0,34.0,7.4,9.0,0.102959,2,,2.0,,3.0,,,,,2.0,1.0,1.0,,,,,0.724,1.0,2.0,1.0,1.0,,1.0,1.0,,,,jeremie_frimpong,1.0,1.0,0.9295,
11396268,away,Bayer 04 Leverkusen,Robert Andrich,,,robert-andrich,R. Andrich,M,8,189,3316,M,168903,EUR,780192000,M,8,8,False,,85.0,77.0,2.0,1.0,23.0,24.0,54.0,61.0,2.0,1.0,11.0,1.0,,,,,90.0,91.0,7.2,10.0,0.0861256,0,,,,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,2.0,,,,,,,,,,,
11396268,away,Bayer 04 Leverkusen,Granit Xhaka,,,granit-xhaka,G. Xhaka,M,34,185,15706,M,117777,EUR,717552000,M,34,34,False,,113.0,106.0,6.0,6.0,20.0,21.0,86.0,92.0,3.0,,3.0,2.0,,,,,82.0,122.0,7.6,11.0,0.167712,0,,,,2.0,,,,,,,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,Granit_Xhaka,,,,
11396268,away,Bayer 04 Leverkusen,Alejandro Grimaldo,,,alejandro-grimaldo,A. Grimaldo,M,20,171,13099,M,177177,EUR,811555200,M,20,20,False,,80.0,71.0,3.0,2.0,25.0,25.0,48.0,62.0,1.0,,9.0,,,,,,90.0,105.0,8.5,16.0,0.191365,7,,7.0,2.0,1.0,1.0,,,2.0,,,2.0,3.0,,1.0,5.0,0.332,,,,,,,1.0,,,,grimaldo35,1.0,1.0,0.0746,
11396268,away,Bayer 04 Leverkusen,Jonas Hofmann,,,jonas-hofmann,J. Hofmann,F,7,176,2115,M,142390,EUR,711072000,F,7,7,False,,46.0,40.0,1.0,1.0,6.0,6.0,34.0,42.0,5.0,,2.0,2.0,,,,,65.0,55.0,7.8,9.0,0.217401,1,,2.0,,2.0,,,,,2.0,2.0,,4.0,1.0,,1.0,0.1376,,2.0,1.0,,,,,,,,,,,,
11396268,away,Bayer 04 Leverkusen,Florian Wirtz,,,florian-wirtz,F. Wirtz,F,7,175,148971,M,1019322,EUR,1051920000,F,10,10,False,,62.0,50.0,2.0,1.0,5.0,5.0,47.0,62.0,7.0,,5.0,2.0,,,,,90.0,88.0,8.2,20.0,0.168081,4,,5.0,2.0,3.0,,,1.0,,2.0,1.0,2.0,1.0,1.0,,,0.2408,1.0,4.0,3.0,,,,1.0,,,,FWirtz,3.0,,0.2955,
11396268,away,Bayer 04 Leverkusen,Patrik Schick,,,patrik-schick,P. Schick,F,14,191,10655,M,280609,EUR,822441600,F,14,14,False,,5.0,4.0,,,1.0,1.0,3.0,4.0,3.0,1.0,,,,,,,65.0,18.0,6.7,6.0,0.0886593,2,,,,4.0,,,,,1.0,,1.0,1.0,,1.0,1.0,0.1175,3.0,2.0,1.0,,,,1.0,,,,p_shicky,,,,
11396268,away,Bayer 04 Leverkusen,Nathan Tella,,,nathan-tella,N. Tella,M,23,173,3098,M,920379,EUR,931132800,M,19,19,True,,26.0,21.0,1.0,1.0,2.0,2.0,19.0,25.0,1.0,,1.0,1.0,,,,,45.0,40.0,6.8,7.0,0.0671829,1,,1.0,,3.0,1.0,,,,,,,,1.0,,,0.0405,,1.0,,,,,1.0,,,,,,,,
11396268,away,Bayer 04 Leverkusen,Borja Iglesias,,,borja-iglesias,B. Iglesias,F,7,187,4212,M,785989,EUR,727228800,F,9,9,True,,9.0,8.0,,,,,8.0,10.0,,,,,,,,,25.0,12.0,6.5,4.0,0.0125015,0,,1.0,,3.0,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,
11396268,away,Bayer 04 Leverkusen,Amine Adli,,,amine-adli,A. Adli,F,21,174,17615,M,991478,EUR,957916800,F,21,21,True,,24.0,22.0,,,3.0,3.0,19.0,22.0,1.0,,,,,,,,25.0,29.0,7.0,5.0,0.178219,0,,1.0,,3.0,1.0,,,,,,,2.0,,,,,,3.0,1.0,,,,,,,,amine_ad10,,,,1.0
11396268,away,Bayer 04 Leverkusen,Edmond Tapsoba,,,edmond-tapsoba,E. Tapsoba,D,12,193,33838,M,883262,EUR,917913600,D,12,12,True,,24.0,24.0,1.0,1.0,5.0,5.0,19.0,19.0,,1.0,1.0,,,,,,11.0,25.0,6.8,,0.0165676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,edmondtapsoba,,,,
11396268,away,Bayer 04 Leverkusen,Exequiel Palacios,,,exequiel-palacios,E. Palacios,M,25,177,12684,M,822600,EUR,907545600,M,25,25,True,,18.0,17.0,,,1.0,1.0,16.0,17.0,,,,,,,,,8.0,19.0,6.6,1.0,0.0205415,0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,exepalaciosok,,,,
11396268,away,Bayer 04 Leverkusen,Matěj Kovář,,,matej-kovar,M. Kovář,G,32,196,2046,M,927366,EUR,958521600,G,17,17,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396268,away,Bayer 04 Leverkusen,Odilon Kossounou,,,odilon-kossounou,O. Kossounou,D,3,191,9920,M,973437,EUR,978566400,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,odilonkossounou,,,,
11396268,away,Bayer 04 Leverkusen,Gustavo Puerta,Gustavo Puerta,,puerta-gustavo,G. Puerta,M,19,171,2579,M,1174889,EUR,1058918400,M,32,32,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396268,away,Bayer 04 Leverkusen,Adam Hložek,,,adam-hlozek,A. Hložek,F,23,186,3087,M,963801,EUR,1027555200,F,23,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,ahlozek,,,,
