match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_challengeLost,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_totalCross,stat_aerialLost,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalOffside
12421073,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187,232,M,156663,EUR,760492800,G,33,33,False,34.0,18.0,20.0,4.0,0.0,16.0,22.0,2.0,12.0,1.0,9.0,3.0,1.0,3.0,1.0,1.0,90.0,48.0,7.5,17.0,0.00049639,0,0.4639,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421073,home,KAA Gent,Hugo Gambor,,,gambor-hugo,H. Gambor,D,23,186,141,M,1082541,EUR,1041206400,D,12,12,False,42.0,30.0,4.0,1.0,0.0,11.0,14.0,19.0,28.0,1.0,1.0,,,,,,90.0,57.0,7.0,14.0,0.0258933,0,,2.0,1.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12421073,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,51.0,43.0,10.0,4.0,0.0,30.0,32.0,13.0,19.0,6.0,7.0,,,,,,90.0,66.0,7.3,9.0,0.0063213,0,,,2.0,3.0,,1.0,3.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12421073,home,KAA Gent,Stefan Mitrović,,,stefan-mitrovic,S. Mitrović,D,23,189,432,M,108736,EUR,643334400,D,13,13,False,53.0,48.0,9.0,6.0,0.0,32.0,34.0,16.0,19.0,10.0,3.0,,,,,,90.0,67.0,7.5,5.0,0.00917126,0,,,,2.0,,1.0,1.0,1.0,,1.0,,,,True,,,,,,,,,,,,,,
12421073,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190,3096,M,1009738,EUR,1022544000,D,3,3,False,27.0,24.0,1.0,1.0,1.0,11.0,11.0,13.0,17.0,,5.0,,,,,,89.0,40.0,7.5,6.0,0.181339,0,,,4.0,2.0,1.0,,1.0,,1.0,,,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,
12421073,home,KAA Gent,Atsuki Ito,Atsuki Ito,,atsuki-ito,A. Ito,M,15,185,595,M,1034816,EUR,902793600,M,15,15,False,28.0,23.0,1.0,,0.0,8.0,8.0,15.0,21.0,5.0,3.0,,,,,,90.0,43.0,6.9,7.0,0.0617482,2,,1.0,7.0,4.0,1.0,1.0,3.0,,3.0,,3.0,,3.0,,1.0,,,,,1.0,1.0,1.0,0.0725,,,,,
12421073,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189,582,M,1124749,EUR,1091232000,M,16,16,False,45.0,41.0,7.0,5.0,0.0,23.0,24.0,18.0,23.0,1.0,3.0,,,,,,90.0,58.0,7.2,6.0,0.0107513,0,,1.0,2.0,6.0,,2.0,3.0,2.0,2.0,,2.0,,,,2.0,,,,,,,,,,,,,
12421073,home,KAA Gent,Noah Fadiga,,,fadiga-noah,N. Fadiga,M,27,187,700,M,960437,EUR,944179200,M,22,22,False,12.0,9.0,,,0.0,1.0,2.0,8.0,11.0,1.0,1.0,,,,,,64.0,25.0,7.2,7.0,0.0120937,1,,,5.0,2.0,4.0,,,,,,,1.0,1.0,,1.0,2.0,,2.0,,,,,0.0788,1.0,1.0,0.3305,,
12421073,home,KAA Gent,Zalán Vancsa,,,zalan-vancsa,Z. Vancsa,M,93,175,767,M,1092366,EUR,1098835200,M,7,7,False,12.0,9.0,,,0.0,3.0,5.0,6.0,8.0,1.0,1.0,,,,,,64.0,23.0,6.5,11.0,0.0081996,0,,1.0,3.0,2.0,1.0,,,1.0,,,,5.0,1.0,,1.0,,1.0,,,,,,,,,,,
12421073,home,KAA Gent,Franck Surdez,,,franck-surdez,F. Surdez,F,19,184,273,M,1092662,EUR,1020556800,M,19,19,False,29.0,24.0,2.0,1.0,1.0,9.0,9.0,15.0,23.0,1.0,2.0,,,,,,76.0,42.0,7.4,10.0,0.0319839,3,,,4.0,2.0,1.0,,,2.0,1.0,,,1.0,1.0,,3.0,1.0,,,,1.0,1.0,,0.2164,2.0,,0.2987,,
12421073,home,KAA Gent,Max Dean,Max Dean,,max-dean,M. Dean,F,21,178,379,M,1065233,EUR,1077321600,F,21,21,False,10.0,8.0,2.0,2.0,0.0,,,8.0,11.0,1.0,1.0,,,,,,76.0,17.0,7.2,5.0,0.0250606,1,,,2.0,2.0,,,,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,,0.3854,1.0,1.0,0.5596,,
