match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_interceptionWon,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_outfielderBlock,player_firstName,player_lastName,captain,stat_goalAssist,stat_bigChanceCreated,stat_accurateCross,stat_goals,stat_goodHighClaim
11396416,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,27.0,21.0,10.0,5.0,19.0,22.0,2.0,5.0,6.0,1.0,1.0,90.0,33.0,6.9,6.0,0.00256721,0,0.1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396416,home,Borussia Dortmund,Marius Wolf,marius-wolf,M. Wolf,M,27,187,537,M,,254119,EUR,801532800,D,17,17,False,53.0,47.0,3.0,,23.0,23.0,24.0,35.0,2.0,,,62.0,74.0,6.8,14.0,0.0391252,1,,5.0,1.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1384,1.0,,,,,,,,,,,,,,,,
11396416,home,Borussia Dortmund,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4570,M,aussenrist15,16632,EUR,598233600,D,15,15,False,76.0,67.0,3.0,2.0,27.0,28.0,40.0,48.0,6.0,,,90.0,87.0,7.1,9.0,0.0220337,0,,,3.0,3.0,3.0,2.0,,,,,,3.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,
11396416,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10353,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,81.0,74.0,10.0,7.0,33.0,35.0,41.0,46.0,12.0,,,90.0,92.0,7.7,7.0,0.047494,3,,,3.0,3.0,7.0,,,,,,2.0,1.0,2.0,1.0,,1.0,0.1089,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
11396416,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,D,26,26,False,54.0,48.0,6.0,5.0,20.0,22.0,28.0,33.0,7.0,,,90.0,72.0,7.3,11.0,0.146126,2,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,3.0,1.0,0.05,2.0,1.0,,1.0,,,1.0,0.151,,,,,,,,,
11396416,home,Borussia Dortmund,Donyell Malen,donyell-malen,D. Malen,F,14,176,12595,M,donyellmalen,803039,EUR,916704000,M,21,21,False,24.0,20.0,1.0,1.0,7.0,7.0,13.0,19.0,8.0,,,76.0,47.0,7.1,16.0,0.0513736,4,,2.0,,8.0,4.0,,4.0,6.0,3.0,,1.0,,1.0,1.0,3.0,,0.3876,,1.0,,,,,3.0,0.8039,1.0,,,,,,,,
11396416,home,Borussia Dortmund,Marco Reus,marco-reus,M. Reus,M,18,180,21759,M,Reus11,37092,EUR,612576000,M,11,11,False,21.0,19.0,1.0,1.0,6.0,6.0,13.0,16.0,1.0,,,62.0,27.0,6.9,5.0,0.132504,1,,1.0,,2.0,2.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,0.4117,1.0,1.0,,,,1.0,,,,,,,,,,,
11396416,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,M,23,23,False,69.0,58.0,10.0,6.0,21.0,22.0,37.0,47.0,7.0,,,90.0,79.0,8.0,12.0,0.216742,0,,,,4.0,7.0,1.0,1.0,1.0,1.0,,,,6.0,4.0,,1.0,,1.0,1.0,2.0,,,,,,,,,True,1.0,1.0,,,
11396416,home,Borussia Dortmund,Felix Nmecha,nmecha-felix,F. Nmecha,M,8,190,3992,M,,907463,EUR,971136000,M,8,8,False,47.0,41.0,3.0,2.0,14.0,15.0,27.0,32.0,6.0,,,90.0,65.0,7.1,9.0,0.544508,4,,,2.0,2.0,5.0,,1.0,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0,0.339,3.0,,1.0,3.0,,1.0,,,,,,,,,,,
11396416,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,19,19,False,43.0,36.0,4.0,3.0,9.0,10.0,30.0,43.0,5.0,,,89.0,74.0,8.5,21.0,0.733369,2,,10.0,,6.0,3.0,1.0,2.0,4.0,1.0,,,,1.0,1.0,2.0,,0.7117,6.0,,,1.0,,1.0,1.0,0.7547,,,,,,3.0,3.0,1.0,
