match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,player_firstName,player_lastName,player_sofascoreId,stat_challengeLost,stat_wonContest,stat_outfielderBlock,stat_goals,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork,stat_punches,stat_shotOffTarget,stat_bigChanceMissed
12530795,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,True,28.0,20.0,13.0,5.0,0.0,16.0,18.0,4.0,10.0,1.0,2.0,1.0,10.0,1.0,1.0,1.0,2.0,4.0,90.0,48.0,7.3,9.0,0.00036481,0,-0.4882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530795,home,Beşiktaş JK,Onur Bulut,onur-bulut,O. Bulut,D,6,179,562,M,142494,EUR,766454400,D,4,4,False,,46.0,31.0,5.0,2.0,1.0,22.0,30.0,9.0,17.0,,6.0,2.0,6.0,5.0,,,,,90.0,72.0,7.1,21.0,0.573274,1,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,0.0189,0.0301,1.0,,,,,,,,,,,,,,,
12530795,home,Beşiktaş JK,Bakhtiyar Zaynutdinov,bakhtiyar-zaynutdinov,B. Zaynutdinov,M,19,183,3645,M,887382,EUR,891475200,D,22,22,False,,50.0,46.0,11.0,7.0,0.0,33.0,34.0,13.0,16.0,5.0,7.0,10.0,5.0,2.0,,,,,90.0,66.0,7.4,5.0,0.0163958,0,,,1.0,2.0,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
12530795,home,Beşiktaş JK,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1725,M,792142,EUR,873763200,D,14,14,False,,59.0,48.0,8.0,4.0,0.0,34.0,40.0,14.0,19.0,1.0,3.0,10.0,3.0,2.0,1.0,,,,90.0,75.0,6.5,13.0,0.00837074,0,,,5.0,6.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
12530795,home,Beşiktaş JK,Arthur Masuaku,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,26,26,False,,48.0,40.0,10.0,5.0,0.0,24.0,26.0,16.0,24.0,,6.0,2.0,8.0,,,,,,90.0,78.0,7.4,16.0,0.0175594,0,,2.0,1.0,3.0,7.0,,,4.0,,4.0,,,,,,,,,masuaku26,1.0,6.0,2.0,,,,,,,,
12530795,home,Beşiktaş JK,Cher Ndour,ndour-cher,C. Ndour,M,27,190,2165,M,1114422,EUR,1090886400,M,73,73,False,,50.0,43.0,2.0,1.0,0.0,27.0,30.0,16.0,20.0,,4.0,2.0,10.0,4.0,,,,,90.0,61.0,7.7,9.0,0.0471717,1,,,1.0,5.0,,,1.0,,2.0,2.0,,2.0,0.429,0.4898,1.0,,,,,2.0,,2.0,1.0,,,,,,,
12530795,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184,5232,M,862055,EUR,915840000,M,83,83,False,,14.0,14.0,2.0,2.0,0.0,4.0,4.0,10.0,10.0,,3.0,1.0,3.0,3.0,,,,,25.0,22.0,6.9,2.0,0.0184065,0,,,2.0,4.0,,,,1.0,2.0,1.0,,,,,,1.0,,,gedson_83,1.0,,,,,,,,,,
12530795,home,Beşiktaş JK,Rafa Silva,rafa-silva,R. Silva,M,27,170,17005,M,252577,EUR,737596800,M,27,27,False,,26.0,20.0,1.0,,1.0,8.0,9.0,13.0,18.0,,1.0,,4.0,,,,,,89.0,39.0,6.7,12.0,0.511625,2,,1.0,1.0,8.0,3.0,1.0,,,,1.0,,3.0,0.0732,,1.0,2.0,,,Rafa_Silva,1.0,1.0,,,1.0,2.0,1.0,,,,
12530795,home,Beşiktaş JK,João Mário,joao-mario,J. Mário,M,10,179,3772,M,97001,EUR,727401600,M,18,18,False,,21.0,19.0,,,0.0,7.0,8.0,12.0,14.0,,3.0,1.0,5.0,2.0,,,,,70.0,35.0,6.9,8.0,0.102004,0,,1.0,1.0,2.0,1.0,,,,1.0,4.0,1.0,,,,,,,,JoaoMario,,,1.0,,,,1.0,,,,
12530795,home,Beşiktaş JK,Ernest Muçi,ernest-muci,E. Muçi,M,10,180,5691,M,924670,EUR,984960000,M,23,23,False,,22.0,18.0,1.0,1.0,0.0,2.0,3.0,16.0,22.0,,1.0,,3.0,1.0,,,,,61.0,32.0,6.6,11.0,0.053966,1,,3.0,1.0,5.0,2.0,,,,1.0,,,,0.0684,,,2.0,,,ernest_muci,,,,,,1.0,,,,,
