match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_fouls,captain,stat_aerialWon,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalOffside,stat_keyPass,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_challengeLost,player_sofascoreId,stat_bigChanceMissed,stat_errorLeadToAShot,stat_goals,stat_bigChanceCreated
12499350,home,Empoli,Liam Henderson,liam-henderson,L. Henderson,M,16,183,304,M,287573,EUR,830390400,M,6,6,True,12.0,11.0,1.0,1.0,0.0,5.0,5.0,6.0,7.0,1.0,,,,33.0,13.0,6.3,1.0,0.0115282,0,,,,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
12499350,home,Empoli,Pietro Pellegri,pietro-pellegri,P. Pellegri,F,9,188,924,M,839226,EUR,984787200,F,9,9,True,2.0,2.0,,,0.0,2.0,2.0,,,2.0,,,,24.0,8.0,6.1,5.0,3.026e-05,0,,,,,3.0,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,1.0,,,,,
12499350,home,Empoli,Junior Sambia,junior-sambia,J. Sambia,M,,185,154,M,603738,EUR,842054400,D,7,7,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,1.0,,,,13.0,4.0,6.4,,0.00048722,0,,,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Federico Brancolini,federico-brancolini,F. Brancolini,G,12,192,112,M,848420,EUR,995068800,G,98,98,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Jacopo Seghetti,jacopo-seghetti,J. Seghetti,G,12,190,162,M,1397725,EUR,1108598400,G,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Luca Marianucci,marianucci-luca,L. Marianucci,D,35,186,890,M,1165371,EUR,1090540800,D,35,35,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Lorenzo Tosto,lorenzo-tosto,L. Tosto,D,29,188,83,M,1466118,EUR,1138492800,D,31,31,True,,,,,,,,,,,,,,,,,,,0,,Lorenzo Tosto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Alberto Grassi,alberto-grassi,A. Grassi,M,33,183,263,M,186845,EUR,794534400,M,5,5,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Nicolas Haas,nicolas-haas,N. Haas,M,32,178,93,M,587126,EUR,822355200,M,32,32,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Luca Belardinelli,luca-belardinelli,L. Belardinelli,M,57,190,74,M,941601,EUR,984528000,M,16,16,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Emmanuel Ekong,emmanuel-ekong,E. Ekong,M,11,176,283,M,1000015,EUR,1024963200,F,19,19,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Ismael Konate,ismael-konate,I. Konate,F,51,183,218,M,1397346,EUR,1143590400,F,90,90,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,away,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12749,M,16206,EUR,598320000,G,1,1,False,22.0,22.0,2.0,2.0,0.0,22.0,22.0,,,4.0,,1.0,1.0,90.0,25.0,7.0,,9.282e-05,0,0.0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yannsommer,,,,
12499350,away,Inter,Yann Bisseck,yann-bisseck,Y. Bisseck,D,31,194,5415,M,906275,EUR,975456000,D,31,31,False,89.0,84.0,2.0,2.0,0.0,40.0,42.0,44.0,47.0,3.0,,,,90.0,100.0,7.2,6.0,0.0268339,1,,,,1.0,2.0,3.0,,,,1.0,1.0,,,,1.0,1.0,,0.1932,1.0,,,,,,,,,1.0,,,1.0,,,
12499350,away,Inter,Stefan de Vrij,stefan-de-vrij,S. de Vrij,D,6,188,5674,M,91046,EUR,697248000,D,6,6,False,88.0,84.0,3.0,2.0,0.0,40.0,42.0,44.0,46.0,1.0,,,,81.0,96.0,7.0,5.0,0.0453649,0,,,,2.0,4.0,2.0,1.0,,3.0,4.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,Stefandevrij,,,,
12499350,away,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,826188,EUR,923961600,D,95,95,False,73.0,67.0,9.0,7.0,0.0,23.0,26.0,45.0,50.0,2.0,,,,65.0,85.0,7.4,9.0,0.0663912,0,,,,1.0,3.0,,2.0,,2.0,5.0,1.0,,2.0,,2.0,2.0,1.0,,,,,,1.0,3.0,1.0,,,,,alessandrobastoni,,1.0,,
12499350,away,Inter,Matteo Darmian,matteo-darmian,M. Darmian,M,36,182,3779,M,19352,EUR,628560000,M,36,36,False,51.0,45.0,4.0,1.0,1.0,14.0,16.0,33.0,40.0,3.0,,,,90.0,73.0,7.4,11.0,0.163855,0,,,,1.0,3.0,,2.0,,,3.0,,,3.0,,,,1.0,,,1.0,,,4.0,5.0,2.0,,,,,,,,,
