match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,captain,stat_fouls,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,player_sofascoreId,stat_totalOffside,stat_hitWoodwork
11369940,home,RSC Anderlecht,Kasper Schmeichel,kasper-schmeichel,K. Schmeichel,G,1,189.0,3882,M,1076,EUR,531532800,G,33,33,False,35.0,18.0,26.0,9.0,16.0,20.0,2.0,15.0,1.0,10.0,2.0,3.0,7.0,90.0,49.0,8.6,17.0,0.00020043,0,1.6204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369940,home,RSC Anderlecht,Killian Sardella,killian-sardella,K. Sardella,D,54,177.0,482,M,909964,EUR,1020297600,D,54,54,False,15.0,8.0,2.0,1.0,4.0,8.0,4.0,7.0,2.0,3.0,,,,45.0,32.0,6.8,10.0,0.0172936,0,,,,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11369940,home,RSC Anderlecht,Zeno Debast,zeno-debast,Z. Debast,D,6,191.0,3329,M,1126512,EUR,1066867200,D,56,56,False,40.0,34.0,8.0,6.0,30.0,35.0,4.0,5.0,10.0,7.0,,,,90.0,57.0,7.7,6.0,0.00142437,0,,,,3.0,3.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11369940,home,RSC Anderlecht,Thomas Delaney,thomas-delaney,T. Delaney,M,27,182.0,1294,M,66477,EUR,683856000,D,25,25,False,29.0,12.0,9.0,2.0,9.0,19.0,3.0,10.0,6.0,,,,,64.0,43.0,7.0,17.0,0.00286653,0,,,,4.0,9.0,1.0,4.0,2.0,1.0,,,2.0,7.0,,,,True,1.0,,,,,,,,,,,,,,,
11369940,home,RSC Anderlecht,Ludwig Augustinsson,ludwig-augustinsson,L. Augustinsson,D,6,181.0,394,M,138546,EUR,766886400,D,15,15,False,42.0,26.0,16.0,6.0,16.0,24.0,11.0,19.0,5.0,2.0,,,,90.0,61.0,7.3,19.0,0.169272,0,,,,5.0,3.0,,2.0,,,2.0,,2.0,3.0,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11369940,home,RSC Anderlecht,Mats Rits,mats-rits,M. Rits,M,23,180.0,216,M,70961,EUR,742953600,M,23,23,False,15.0,6.0,5.0,1.0,5.0,12.0,1.0,3.0,3.0,2.0,,,,45.0,24.0,6.5,9.0,0.00130827,0,,,,2.0,4.0,,1.0,2.0,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,
11369940,home,RSC Anderlecht,Theo Leoni,theo-leoni,T. Leoni,M,6,174.0,569,M,867251,EUR,956275200,M,17,17,False,49.0,34.0,9.0,4.0,20.0,28.0,14.0,21.0,1.0,9.0,,,,90.0,69.0,6.8,19.0,0.02176,0,,,,5.0,4.0,1.0,5.0,1.0,,,,,2.0,2.0,1.0,,,,,,,,1.0,3.0,,,,,,,,,
11369940,home,RSC Anderlecht,Anders Dreyer,anders-dreyer,A. Dreyer,F,10,174.0,2337,M,809280,EUR,894067200,M,36,36,False,29.0,22.0,7.0,5.0,7.0,10.0,16.0,22.0,1.0,6.0,,,,90.0,51.0,7.5,18.0,0.0409423,2,,,,5.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,,,4.0,1.0,,,,,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.8695,0.9108,,,,
11369940,home,RSC Anderlecht,Yari Verschaeren,verschaeren-yari,Y. Verschaeren,M,10,172.0,1145,M,901898,EUR,994896000,M,10,10,False,45.0,38.0,4.0,2.0,21.0,23.0,17.0,24.0,,11.0,,,,90.0,69.0,8.7,11.0,0.206905,0,,,,1.0,17.0,1.0,,8.0,6.0,1.0,3.0,,1.0,5.0,5.0,,,,1.0,2.0,,1.0,2.0,,,,,,,,,,
11369940,home,RSC Anderlecht,Mario Stroeykens,mario-stroeykens,M. Stroeykens,M,29,177.0,3682,M,1101702,EUR,1096416000,M,29,29,False,32.0,22.0,2.0,1.0,11.0,17.0,11.0,15.0,3.0,8.0,,,,89.0,60.0,6.3,23.0,0.0101853,2,,Mathieu,Stroeykens,15.0,9.0,1.0,,2.0,2.0,4.0,2.0,5.0,1.0,5.0,4.0,,,1.0,,,,,,7.0,1.0,,,0.088,0.0999,1.0,,,
