match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,player_gender,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,captain,stat_blockedScoringAttempt,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_unsuccessfulTouch,stat_totalOffside,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_punches
10408549,home,Real Valladolid,Sergio Asenjo,,,sergio-asenjo,S. Asenjo,G,189,121,41011,EUR,614995200,G,13,13,False,28.0,13.0,21.0,6.0,9.0,10.0,4.0,18.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,33.0,6.4,15.0,0.0,0.0,0.00118991,0,-0.1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408549,home,Real Valladolid,Iván Fresneda,,,ivan-fresneda,I. Fresneda,D,183,1941,1167818,EUR,1096243200,D,27,27,False,26.0,18.0,5.0,2.0,10.0,11.0,9.0,17.0,6.0,4.0,2.0,,,,,90.0,63.0,6.2,18.0,0.0,0.0,0.00846185,0,,22,M,2.0,1.0,3.0,1.0,9.0,2.0,2.0,4.0,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10408549,home,Real Valladolid,Joaquín Fernández,,,joaquin-fernandez,J. Fernández,D,190,92,822923,EUR,833500800,D,24,24,False,28.0,21.0,7.0,1.0,15.0,17.0,6.0,11.0,3.0,5.0,,,,,,90.0,34.0,6.7,7.0,0.0,0.0,0.00155806,0,,24,M,,,1.0,1.0,1.0,,,,,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,
10408549,home,Real Valladolid,Jawad El Yamiq,,,jawad-el-yamiq,J. E. Yamiq,D,190,4375,877103,EUR,699321600,D,15,15,False,41.0,33.0,11.0,7.0,25.0,30.0,8.0,11.0,7.0,3.0,,,,,,90.0,59.0,7.3,9.0,0.0774,0.0,0.006045,1,,18,M,,,2.0,7.0,4.0,,1.0,,,11.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10408549,home,Real Valladolid,Sergio Escudero,,,sergio-escudero,S. Escudero,D,176,182,88859,EUR,620697600,D,18,18,False,39.0,29.0,4.0,2.0,15.0,16.0,15.0,28.0,1.0,2.0,1.0,,,,,76.0,62.0,6.6,17.0,0.0,0.0,0.0562212,0,,18,M,5.0,1.0,1.0,,4.0,1.0,,1.0,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
10408549,home,Real Valladolid,Iván Sánchez,,,ivan-sanchez,I. Sánchez,M,168,223,142018,EUR,717206400,M,21,21,False,14.0,13.0,,,4.0,4.0,10.0,12.0,10.0,4.0,5.0,,,,,65.0,31.0,7.7,5.0,0.0263,0.2615,0.134459,1,,23,M,2.0,1.0,,1.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,
10408549,home,Real Valladolid,Martin Hongla,,,martin-hongla,M. Hongla,M,183,1195,856062,EUR,890006400,M,20,20,False,39.0,29.0,8.0,4.0,18.0,23.0,11.0,17.0,5.0,8.0,,,,,,90.0,53.0,7.0,11.0,0.0,0.0,0.00363638,0,,78,M,1.0,,,1.0,2.0,1.0,,1.0,1.0,4.0,3.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
10408549,home,Real Valladolid,Roque Mesa,,,roque-mesa,Roque,M,171,180,182243,EUR,613180800,M,17,17,False,20.0,16.0,3.0,2.0,5.0,6.0,11.0,14.0,3.0,3.0,,,,,,60.0,30.0,6.7,6.0,0.0876,0.0,0.0103718,2,,,M,,,1.0,,4.0,1.0,,3.0,2.0,,1.0,1.0,,1.0,,1.0,,,,True,2.0,,,,,,,,,
10408549,home,Real Valladolid,Gonzalo Plata,,,gonzalo-plata,G. Plata,M,178,20323,937937,EUR,973036800,F,11,11,False,22.0,15.0,1.0,,4.0,7.0,12.0,21.0,6.0,3.0,,,,,,90.0,54.0,7.6,17.0,0.4647,0.0877,0.0852574,3,,19,M,6.0,1.0,2.0,,7.0,2.0,1.0,5.0,3.0,1.0,3.0,1.0,2.0,,,,3.0,1.0,,,,gonzaloplata,2.0,1.0,1.0,2.0,,,,
10408549,home,Real Valladolid,Cyle Larin,,,cyle-larin,C. Larin,F,187,1609,790179,EUR,798076800,F,25,25,False,10.0,7.0,,,1.0,1.0,6.0,9.0,3.0,3.0,,,,,,76.0,21.0,6.4,10.0,0.0309,0.0,0.00839093,1,,9,M,,,4.0,3.0,8.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,4.0,1.0,,,
