match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_interceptionWon,stat_ownGoals,captain,stat_shotOffTarget,stat_dispossessed,stat_errorLeadToAShot,player_sofascoreId,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_bigChanceCreated,stat_hitWoodwork,stat_goals
14053603,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,262,M,94835,EUR,648432000,G,1,1,False,31.0,22.0,20.0,11.0,0.0,13.0,17.0,9.0,14.0,2.0,10.0,2.0,2.0,3.0,1.0,90.0,43.0,6.9,10.0,0.00401475,0.4395,0,-1.1193,0.08,-0.02,0.15,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053603,home,FC Twente,Bart van Rooij,bart-van-rooij,B. v. Rooij,D,28,174,341,M,946506,EUR,990835200,D,28,28,False,47.0,44.0,3.0,1.0,0.0,19.0,19.0,25.0,28.0,,5.0,,,,,90.0,74.0,7.0,11.0,0.131439,,1,,0.37,0.25,-0.25,,,,3.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0729,2.0,-0.22,,,,,,,,,,,,,,
14053603,home,FC Twente,Max Bruns,max-bruns,M. Bruns,D,38,186,105,M,1091627,EUR,1036540800,D,38,38,False,55.0,44.0,2.0,,0.0,29.0,34.0,15.0,21.0,1.0,7.0,,,,,90.0,70.0,6.6,14.0,0.029854,,0,,0.15,0.04,-0.66,,Max Bruns,,,,1.0,2.0,2.0,6.0,,1.0,,,1.0,3.0,2.0,2.0,1.0,,,1.0,,3.0,1.0,,,,,,,,,,,,
14053603,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,266,M,196082,EUR,748742400,D,3,3,False,65.0,47.0,17.0,4.0,0.0,19.0,23.0,28.0,42.0,4.0,4.0,,,,,90.0,82.0,6.3,18.0,0.0700441,,3,,0.32,0.05,-0.14,,,,1.0,1.0,2.0,1.0,5.0,2.0,1.0,,,1.0,1.0,,,,1.0,2.0,0.1032,1.0,-0.08,,,True,2.0,,,,,,,,,,
14053603,home,FC Twente,Mats Rots,mats-rots,M. Rots,D,39,185,360,M,1387012,EUR,1142035200,D,39,39,False,37.0,28.0,6.0,1.0,0.0,9.0,12.0,19.0,25.0,4.0,2.0,,,,,90.0,66.0,5.7,23.0,0.0674693,,0,,0.23,-0.2,-0.6,,,,9.0,1.0,3.0,,11.0,2.0,4.0,5.0,2.0,,,,,,,,,2.0,,3.0,,,,1.0,1.0,,,,,,,,
14053603,home,FC Twente,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8118,M,989882,EUR,896140800,M,6,6,False,35.0,30.0,5.0,3.0,0.0,8.0,9.0,22.0,26.0,1.0,6.0,,,,,63.0,41.0,6.7,9.0,0.065727,,0,,0.25,0.1,-0.09,,,,1.0,,,1.0,3.0,2.0,2.0,,,,,1.0,1.0,2.0,,,,2.0,,,,,,1.0,,rramizz_,,,,,,,
14053603,home,FC Twente,Mathias Kjølø,mathias-kjolo,M. Kjølø,M,4,174,168,M,966546,EUR,993600000,M,4,4,False,33.0,25.0,2.0,1.0,0.0,9.0,10.0,16.0,23.0,1.0,6.0,,,,,90.0,49.0,7.0,12.0,0.0881323,,1,,0.11,0.04,-0.06,,,,1.0,,,1.0,4.0,6.0,2.0,1.0,,,,5.0,4.0,2.0,,1.0,0.0112,,-0.06,,,,1.0,,,,,,,,,,
14053603,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179,506,M,1048430,EUR,996019200,M,11,11,False,25.0,15.0,,,0.0,5.0,7.0,10.0,18.0,,,,,,,72.0,41.0,6.2,16.0,0.0100135,,2,,-0.26,0.08,-0.21,,,,2.0,,3.0,1.0,6.0,5.0,2.0,2.0,1.0,1.0,,2.0,2.0,3.0,1.0,,0.1461,,-0.24,,,,1.0,,,,1.0,,,,,,
14053603,home,FC Twente,Kristian Hlynsson,hlynsson-kristian,K. Hlynsson,M,14,176,1003,M,1160026,EUR,1074816000,M,14,14,False,31.0,24.0,2.0,,0.0,8.0,10.0,16.0,21.0,,4.0,,,,,71.0,51.0,6.5,15.0,0.0292606,,3,,-0.25,0.54,-0.12,,,,3.0,,1.0,,5.0,5.0,,6.0,3.0,2.0,,,,2.0,2.0,1.0,0.1561,,-0.52,1.0,,,,,,,,1.0,0.4741,,,,
14053603,home,FC Twente,Taylor Booth,taylor-booth,T. Booth,M,8,173,528,M,906024,EUR,991267200,M,8,8,False,14.0,11.0,1.0,1.0,0.0,3.0,3.0,8.0,11.0,,1.0,,,,,63.0,31.0,6.6,9.0,0.0204638,,3,,0.09,0.05,-0.09,,,,3.0,1.0,1.0,,3.0,4.0,,1.0,,1.0,,2.0,1.0,2.0,2.0,,0.1914,,-0.07,,,,,1.0,,,,2.0,0.1761,,,,
