match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,captain,stat_interceptionWon,stat_unsuccessfulTouch,stat_challengeLost,stat_onTargetScoringAttempt,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_totalOffside
10408280,home,Almería,Fernando Martínez,fernando-martinez,F. Martínez,G,13,185,172,M,139925,EUR,644976000,G,13,13,False,18.0,14.0,13.0,9.0,7.0,8.0,7.0,10.0,8.0,1.0,2.0,2.0,90.0,25.0,7.6,4.0,0.0,0.0,0.00224492,0,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408280,home,Almería,Alejandro Pozo,alejandro-pozo,A. Pozo,D,7,174,158,M,848080,EUR,919641600,D,17,17,False,37.0,27.0,3.0,1.0,15.0,21.0,13.0,18.0,10.0,,,,90.0,61.0,7.3,13.0,0.021,0.0,0.150459,1,,,,2.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10408280,home,Almería,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,877,M,168745,EUR,752284800,D,19,19,False,38.0,25.0,14.0,5.0,14.0,18.0,11.0,21.0,5.0,,,,90.0,48.0,7.2,14.0,0.2155,0.0,0.0553656,1,,,,1.0,,,2.0,,3.0,1.0,1.0,,5.0,,,,,,1.0,1.0,,,,,,,,,,,
10408280,home,Almería,Srđan Babić,srdan-babic,S. Babić,D,6,195,634,M,280815,EUR,830131200,D,22,22,False,43.0,36.0,8.0,6.0,23.0,24.0,13.0,19.0,5.0,,,,90.0,60.0,7.8,8.0,0.0,0.0,0.00686626,0,,,,,,3.0,5.0,3.0,8.0,,,,4.0,2.0,2.0,1.0,,,,1.0,True,3.0,1.0,,,,,,,,
10408280,home,Almería,Álex Centelles,centelles-alex,Á. Centelles,D,20,185,70,M,964174,EUR,935971200,D,20,20,False,28.0,23.0,5.0,3.0,12.0,13.0,14.0,21.0,6.0,,,,89.0,55.0,7.5,9.0,0.0233,0.1254,0.358177,1,,,,6.0,3.0,2.0,,4.0,2.0,,,,1.0,2.0,1.0,,1.0,4.0,,,,,,1.0,1.0,,,,,,
10408280,home,Almería,Gonzalo Melero,gonzalo-melero,G. Melero,M,16,183,159,M,789886,EUR,757468800,M,3,3,False,27.0,24.0,,,12.0,15.0,12.0,12.0,3.0,,,,78.0,42.0,6.7,7.0,0.0,0.0,0.123669,0,,,,,,3.0,1.0,9.0,8.0,1.0,,,,3.0,1.0,4.0,1.0,3.0,,,,1.0,1.0,3.0,,2.0,1.0,,,,
10408280,home,Almería,Samú Costa,samuel-costa,S. Costa,M,12,183,1427,M,988351,EUR,975283200,M,23,23,False,53.0,42.0,7.0,3.0,19.0,22.0,23.0,31.0,6.0,,,,90.0,70.0,7.9,11.0,0.1226,0.0,0.10552,2,,,,,,1.0,5.0,1.0,11.0,2.0,2.0,,1.0,3.0,2.0,1.0,,2.0,2.0,1.0,,3.0,,,,,,,,,
10408280,home,Almería,Lucas Robertone,lucas-robertone,L. Robertone,M,8,173,656,M,848926,EUR,858643200,M,5,5,False,41.0,32.0,6.0,4.0,12.0,12.0,21.0,31.0,4.0,,,,90.0,61.0,7.1,14.0,0.0237,0.0,0.0478151,1,,,,2.0,1.0,,,4.0,6.0,1.0,,1.0,2.0,2.0,,4.0,3.0,1.0,,,,,1.0,,,,,,,,
10408280,home,Almería,Lázaro,lazaro,Lázaro,F,7,181,1882,M,1002556,EUR,1015891200,F,14,14,False,19.0,16.0,2.0,2.0,3.0,3.0,13.0,17.0,5.0,,,,90.0,42.0,8.3,8.0,0.624,0.3737,0.13775,10,,,,1.0,,2.0,1.0,7.0,4.0,2.0,2.0,2.0,,,,1.0,2.0,3.0,4.0,,,,3.0,2.0,4.0,1.0,1.0,1.0,1.0,,
10408280,home,Almería,Dyego Sousa,dyego-sousa,D. Sousa,F,,190,127,M,128360,EUR,621734400,F,11,11,False,28.0,19.0,1.0,,5.0,5.0,14.0,23.0,4.0,,,,78.0,49.0,6.6,19.0,0.4653,0.3244,0.0297024,2,,,,,,,3.0,6.0,7.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,1.0,,,5.0,,1.0,3.0,,1.0,,,
10408280,home,Almería,Adrián Embarba,adrian-embarba,A. Embarba,M,23,173,477,M,346516,EUR,705196800,F,10,10,False,19.0,14.0,1.0,1.0,4.0,6.0,11.0,20.0,7.0,,,,69.0,47.0,7.3,16.0,0.1206,0.0486,0.0783031,4,,,,7.0,1.0,,,4.0,7.0,6.0,4.0,1.0,,3.0,1.0,,,1.0,2.0,,,,2.0,1.0,1.0,1.0,,,,,
10408280,home,Almería,Largie Ramazani,largie-ramazani,L. Ramazani,M,17,167,1568,M,909966,EUR,983232000,F,7,7,True,4.0,3.0,,,,,3.0,5.0,1.0,,,,21.0,16.0,6.6,6.0,0.0,0.0,0.00429445,0,,,,1.0,,1.0,1.0,4.0,4.0,2.0,1.0,,2.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,
10408280,home,Almería,Francisco Portillo,francisco-portillo,F. Portillo,M,20,169,93,M,106288,EUR,645235200,M,8,8,True,7.0,6.0,,,1.0,1.0,5.0,6.0,1.0,,,,12.0,8.0,6.8,1.0,0.0,0.0,0.026257,0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
10408280,home,Almería,El Bilal Touré,el-bilal-toure,E. B. Touré,F,19,185,9510,M,982615,EUR,1002067200,F,9,9,True,2.0,1.0,,,,,1.0,2.0,,,,,12.0,7.0,6.6,3.0,0.0733,0.0,0.00024676,1,,,,,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,el_bilal_9,
10408280,home,Almería,Sergio Akieme,sergio-akieme,S. Akieme,D,18,175,293,M,827942,EUR,882230400,D,15,15,True,2.0,1.0,,,1.0,2.0,,,2.0,,,,8.0,8.0,6.5,3.0,0.0,0.0,1.289e-05,0,,,,,,,,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,2.0,1.0,,,,,,,
10408280,home,Almería,Diego Mariño,diego-marino,D. Mariño,G,1,187,90,M,69379,EUR,642211200,G,1,1,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408280,home,Almería,Diego Fuoli,diego-fuoli,D. Fuoli,G,1,188,19,M,965030,EUR,877305600,G,25,25,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408280,home,Almería,Houboulang Mendes,houboulang-mendes,H. Mendes,D,17,183,116,M,845119,EUR,894240000,D,24,24,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408280,home,Almería,Íñigo Eguaras,inigo-eguaras,Í. Eguaras,M,16,181,52,M,572198,EUR,699926400,M,4,4,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408280,home,Almería,Marcos Peña,pena-marcos,M. Peña,M,8,180,49,M,1493216,EUR,1106352000,M,29,29,True,,,,,,,,,,,,,,,,,,0.0,,0,,Marcos Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
