match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_totalContest,stat_errorLeadToAGoal,stat_dispossessed,stat_accurateCross,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_blockedScoringAttempt,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_outfielderBlock,stat_lastManTackle,player_sofascoreId
12421193,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187.0,232,M,156663,EUR,760492800,G,33,33,False,21.0,19.0,1.0,0.0,19.0,20.0,1.0,2.0,2.0,7.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,90.0,34.0,6.9,3.0,5.923e-05,0,-0.2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421193,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180.0,256,M,1046245,EUR,1006300800,D,18,18,False,69.0,58.0,8.0,0.0,22.0,27.0,46.0,,2.0,10.0,,2.0,,,,,,90.0,89.0,7.0,17.0,0.173553,0,,5.0,36.0,4.0,1.0,4.0,5.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
12421193,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187.0,1372,M,942213,EUR,855100800,D,4,4,False,99.0,92.0,7.0,0.0,49.0,51.0,48.0,5.0,5.0,4.0,,,,,,,,90.0,118.0,6.8,10.0,0.062727,0,,4.0,43.0,,3.0,4.0,10.0,2.0,,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,
12421193,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189.0,608,M,801003,EUR,870912000,D,23,23,False,70.0,62.0,9.0,0.0,33.0,34.0,36.0,4.0,5.0,2.0,,,,,,,,70.0,78.0,6.8,9.0,0.0115261,0,,3.0,29.0,,2.0,4.0,3.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
12421193,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190.0,3096,M,1009738,EUR,1022544000,D,3,3,False,40.0,31.0,4.0,0.0,12.0,14.0,33.0,,2.0,1.0,,2.0,,,,,,90.0,73.0,6.4,23.0,0.0381818,1,,1.0,20.0,7.0,2.0,12.0,3.0,3.0,,,4.0,,,4.0,,3.0,1.0,1.0,1.0,1.0,0.0572,,,,,,,,,,,
12421193,home,KAA Gent,Atsuki Ito,Atsuki Ito,,atsuki-ito,A. Ito,M,15,185.0,595,M,1034816,EUR,902793600,M,15,15,False,56.0,49.0,5.0,0.0,14.0,15.0,41.0,2.0,7.0,6.0,,1.0,,,,,,90.0,76.0,7.2,9.0,0.0490623,2,,3.0,35.0,,2.0,4.0,5.0,1.0,5.0,3.0,1.0,1.0,,,,1.0,,,,,0.0585,2.0,,,,,,,,,,
12421193,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189.0,582,M,1124749,EUR,1091232000,M,16,16,False,79.0,69.0,5.0,0.0,31.0,32.0,51.0,1.0,2.0,8.0,,1.0,,,,,,90.0,88.0,7.1,15.0,0.0535553,0,,4.0,38.0,4.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
12421193,home,KAA Gent,Momodou Sonko,Momodou Sonko,,momodou-sonko,M. Sonko,M,11,176.0,575,M,1135616,EUR,1107129600,M,11,11,False,34.0,30.0,1.0,1.0,9.0,10.0,26.0,,1.0,8.0,,1.0,,,,,,90.0,49.0,7.1,10.0,0.0933786,0,,,21.0,2.0,,4.0,,1.0,,,,2.0,,2.0,,2.0,,1.0,,,,,1.0,,,,,,,,,
12421193,home,KAA Gent,Pieter Gerkens,,,pieter-gerkens,P. Gerkens,M,18,180.0,179,M,190401,EUR,808272000,M,8,8,False,18.0,14.0,1.0,0.0,6.0,7.0,13.0,1.0,3.0,2.0,,4.0,,,,,,61.0,28.0,6.7,10.0,0.0101763,0,,,8.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
12421193,home,KAA Gent,Andrew Hjulsager,,,andrew-hjulsager,A. Hjulsager,M,17,177.0,166,M,186807,EUR,790128000,M,17,17,False,16.0,11.0,3.0,0.0,3.0,4.0,15.0,1.0,3.0,3.0,,,,,,,,61.0,30.0,7.2,10.0,0.0761017,2,,2.0,8.0,3.0,2.0,4.0,,2.0,,,1.0,1.0,,1.0,,,,,1.0,2.0,0.1798,,,1.0,1.0,0.1397,,,,,,
