competition_slug,tournament_id,api_path,status,n_seasons,sample_tournament_slug,expected_slugs,detail
spain-laliga,36,tournament,ok,38,laliga,"laliga,spain-laliga",
england-premier-league,1,tournament,ok,34,premier-league,"england-premier-league,premier-league",
italy-serie-a,33,tournament,ok,38,serie-a,"italy-serie-a,serie-a",
germany-bundesliga,42,tournament,ok,38,bundesliga,"bundesliga,germany-bundesliga",
france-ligue-1,4,tournament,ok,36,ligue-1,"france-ligue-1,ligue-1",
portugal-primeira-liga,52,tournament,ok,18,liga-portugal-betclic,"liga-portugal-betclic,portugal-primeira-liga",
belgium-pro-league,38,tournament,ok,18,pro-league,"belgium-pro-league,pro-league",
netherlands-eredivisie,39,tournament,ok,18,eredivisie,"eredivisie,netherlands-eredivisie",
turkey-super-lig,62,tournament,ok,18,trendyol-super-lig,"trendyol-super-lig,turkey-super-lig",
uefa-champions-league,7,unique-tournament,ok,23,,uefa-champions-league,events_404_use_scheduled_discovery
uefa-europa-league,679,unique-tournament,ok,17,,uefa-europa-league,events_404_use_scheduled_discovery
uefa-conference-league,17015,unique-tournament,ok,5,,uefa-conference-league,events_404_use_scheduled_discovery
uefa-super-cup,465,unique-tournament,ok,18,,uefa-super-cup,events_404_use_scheduled_discovery
england-fa-cup,16,tournament,ok,18,fa-cup,"england-fa-cup,fa-cup",
england-league-cup,17,tournament,ok,18,efl-cup,"efl-cup,england-league-cup",
england-community-shield,346,unique-tournament,ok,18,,england-community-shield,events_404_use_scheduled_discovery
spain-copa-del-rey,150,tournament,ok,18,copa-del-rey,"copa-del-rey,spain-copa-del-rey",
spain-supercopa,213,unique-tournament,ok,18,,spain-supercopa,events_404_use_scheduled_discovery
italy-coppa-italia,35,tournament,ok,22,coppa-italia,"coppa-italia,italy-coppa-italia",
italy-supercoppa,341,unique-tournament,ok,18,,italy-supercoppa,events_404_use_scheduled_discovery
germany-dfb-pokal,43,tournament,ok,18,dfb-pokal,"dfb-pokal,germany-dfb-pokal",
germany-supercup,799,unique-tournament,ok,16,,germany-supercup,events_404_use_scheduled_discovery
france-coupe-de-france,335,unique-tournament,ok,20,,france-coupe-de-france,events_404_use_scheduled_discovery
france-trophee-des-champions,339,unique-tournament,ok,18,,france-trophee-des-champions,events_404_use_scheduled_discovery
portugal-taca-de-portugal,207,tournament,ok,18,taca-de-portugal,"portugal-taca-de-portugal,taca-de-portugal",
portugal-supertaca,337,unique-tournament,ok,3,,portugal-supertaca,events_404_use_scheduled_discovery
belgium-cup,326,unique-tournament,ok,19,,belgium-cup,events_404_use_scheduled_discovery
belgium-supercup,338,unique-tournament,ok,16,,belgium-supercup,events_404_use_scheduled_discovery
netherlands-knvb-beker,121,tournament,ok,18,knvb-beker,"knvb-beker,netherlands-knvb-beker",
netherlands-johan-cruyff-schaal,340,unique-tournament,ok,17,,netherlands-johan-cruyff-schaal,events_404_use_scheduled_discovery
turkey-kupasi,96,unique-tournament,ok,22,,turkey-kupasi,events_404_use_scheduled_discovery
turkey-super-kupa,505,unique-tournament,ok,18,,turkey-super-kupa,events_404_use_scheduled_discovery
usa-mls,242,unique-tournament,ok,19,,usa-mls,events_404_use_scheduled_discovery
usa-open-cup,6814,tournament,ok,18,us-open-cup,"us-open-cup,usa-open-cup",
usa-leagues-cup,13783,unique-tournament,ok,5,,usa-leagues-cup,events_404_use_scheduled_discovery
brazil-serie-a,83,tournament,ok,25,brasileirao-serie-a,"brasileirao-serie-a,brazil-serie-a",
argentina-primera,155,unique-tournament,ok,20,,argentina-primera,events_404_use_scheduled_discovery
copa-libertadores,309,tournament,ok,17,conmebol-libertadores,"conmebol-libertadores,copa-libertadores",
saudi-pro-league,955,unique-tournament,ok,15,,saudi-pro-league,events_404_use_scheduled_discovery
saudi-king-cup,2058,unique-tournament,ok,12,,saudi-king-cup,events_404_use_scheduled_discovery
saudi-super-cup,2119,unique-tournament,ok,10,,saudi-super-cup,events_404_use_scheduled_discovery
euro-qualifiers,27,unique-tournament,ok,7,,euro-qualifiers,events_404_use_scheduled_discovery
world-cup-qualifiers-uefa,11,unique-tournament,ok,6,,world-cup-qualifiers-uefa,events_404_use_scheduled_discovery
world-cup-qualifiers-conmebol,295,unique-tournament,ok,6,,world-cup-qualifiers-conmebol,events_404_use_scheduled_discovery
world-cup-qualifiers-concacaf,14,unique-tournament,ok,5,,world-cup-qualifiers-concacaf,events_404_use_scheduled_discovery
world-cup-qualifiers-afc,308,unique-tournament,ok,6,,world-cup-qualifiers-afc,events_404_use_scheduled_discovery
world-cup-qualifiers-caf,13,unique-tournament,ok,5,,world-cup-qualifiers-caf,events_404_use_scheduled_discovery
uefa-nations-league,10783,unique-tournament,ok,5,,uefa-nations-league,events_404_use_scheduled_discovery
uefa-euro,1,unique-tournament,ok,17,,uefa-euro,events_404_use_scheduled_discovery
copa-america,133,unique-tournament,ok,6,,copa-america,events_404_use_scheduled_discovery
africa-cup-of-nations,270,unique-tournament,ok,9,,africa-cup-of-nations,events_404_use_scheduled_discovery
concacaf-gold-cup,140,unique-tournament,ok,8,,concacaf-gold-cup,events_404_use_scheduled_discovery
asian-cup,246,unique-tournament,ok,4,,asian-cup,events_404_use_scheduled_discovery
friendlies,851,unique-tournament,ok,17,,friendlies,events_404_use_scheduled_discovery
fifa-world-cup,16,unique-tournament,ok,23,,fifa-world-cup,events_404_use_scheduled_discovery
