match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_goalAssist,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_bigChanceCreated,stat_accurateCross,stat_dispossessed,stat_goals,stat_totalOffside,captain,stat_bigChanceMissed,stat_punches
11406805,home,Inter,Emil Audero,emil-audero,E. Audero,G,1,190,10668,M,318603,EUR,853545600,G,77,77,False,37.0,34.0,5.0,2.0,34.0,34.0,3.0,8.0,1.0,1.0,3.0,90.0,49.0,7.5,3.0,0.00012578,0,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406805,home,Inter,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,787505,EUR,827971200,D,28,28,False,52.0,50.0,2.0,2.0,33.0,33.0,20.0,2.0,,,,90.0,70.0,7.9,4.0,0.0223878,3,,benpavard21,17.0,1.0,2.0,1.0,5.0,6.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0972,,,,,,,,,,,,,,,,,
11406805,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192,5573,M,126816,EUR,571449600,D,15,15,False,52.0,45.0,6.0,2.0,34.0,37.0,15.0,4.0,,,,90.0,59.0,7.0,7.0,0.00317843,1,,,11.0,,1.0,3.0,2.0,4.0,,,1.0,2.0,,1.0,,,,1.0,1.0,0.0231,,,,,,,,,,,,,,,,,
11406805,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,826188,EUR,923961600,D,95,95,False,50.0,45.0,6.0,4.0,26.0,28.0,23.0,2.0,,,,77.0,67.0,7.9,6.0,0.0689814,1,,alessandrobastoni,19.0,1.0,1.0,,1.0,3.0,,,,3.0,,2.0,,,,2.0,,0.0377,1.0,1.0,1.0,1.0,1.0,0.292,1.0,,,,,,,,,,
11406805,home,Inter,Matteo Darmian,matteo-darmian,M. Darmian,M,36,182,3779,M,19352,EUR,628560000,M,36,36,False,47.0,42.0,2.0,1.0,15.0,17.0,30.0,1.0,,,,90.0,60.0,6.7,8.0,0.0520761,0,,,27.0,,,2.0,4.0,5.0,,,,,,1.0,1.0,,1.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,
11406805,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,363856,EUR,855273600,M,23,23,False,69.0,66.0,3.0,2.0,19.0,19.0,51.0,5.0,,,,90.0,88.0,8.4,8.0,0.467344,1,,nicolo_barella,47.0,1.0,1.0,1.0,4.0,8.0,2.0,1.0,,1.0,,,1.0,1.0,3.0,2.0,1.0,0.1463,,4.0,4.0,,,,7.0,,,1.0,,,,,,,
11406805,home,Inter,Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32988,M,135700,EUR,760665600,M,20,20,False,60.0,56.0,4.0,4.0,28.0,29.0,36.0,1.0,,,,69.0,78.0,7.4,9.0,0.317875,2,,HÇalhanoğlu,30.0,5.0,,1.0,1.0,2.0,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,0.0343,,,,,,,1.0,,,,2.0,1.0,,,,,
11406805,home,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,37151,EUR,601344000,M,22,22,False,63.0,54.0,2.0,1.0,16.0,16.0,48.0,3.0,,,,84.0,71.0,6.9,12.0,0.0389131,2,,micki_taryan,38.0,1.0,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,,,,,1.0,,,0.1589,,,,,,,,,,,,1.0,,,,,
11406805,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15308,M,284361,EUR,879120000,M,32,32,False,29.0,27.0,,,6.0,8.0,26.0,4.0,,,,69.0,42.0,7.8,7.0,0.338554,2,,dimarco32,21.0,5.0,1.0,,2.0,3.0,,,1.0,1.0,1.0,,1.0,,,2.0,1.0,0.1081,,,,1.0,,0.2523,2.0,,,,,,1.0,,,,
11406805,home,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25521,M,791702,EUR,870825600,F,9,9,False,16.0,14.0,,,5.0,6.0,11.0,4.0,,,,90.0,30.0,6.6,8.0,0.0102816,1,,m_thuram,9.0,1.0,2.0,3.0,10.0,4.0,1.0,,1.0,4.0,,,,,2.0,1.0,4.0,0.0937,,1.0,1.0,,,,,,,,,3.0,,1.0,,,
