match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_goalAssist,stat_challengeLost,stat_bigChanceCreated,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,stat_shotOffTarget,stat_lastManTackle,stat_blockedScoringAttempt,player_lastName,stat_bigChanceMissed,stat_totalOffside,stat_clearanceOffLine,stat_errorLeadToAShot
11977248,home,Bournemouth,Neto,neto,Neto,G,22,190.0,5148,M,Neto_Murara,84844,EUR,616809600,G,1,1,False,True,23.0,14.0,16.0,7.0,8.0,9.0,6.0,14.0,1.0,1.0,2.0,8.0,2.0,1.0,1.0,2.0,2.0,2.0,90.0,33.0,6.7,9.0,0.00197615,0,-0.5146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11977248,home,Bournemouth,Adam Smith,adam-smith,A. Smith,D,15,180.0,494,M,,44566,EUR,672883200,D,15,15,False,,29.0,23.0,4.0,1.0,7.0,8.0,17.0,24.0,,6.0,2.0,2.0,,,,,,,71.0,53.0,6.6,12.0,0.075487,0,,3.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11977248,home,Bournemouth,Chris Mepham,chris-mepham,C. Mepham,D,2,191.0,391,M,,865740,EUR,878688000,D,6,6,False,,58.0,52.0,7.0,5.0,34.0,37.0,18.0,21.0,6.0,7.0,4.0,5.0,,,,,,,90.0,67.0,7.1,6.0,0.0318405,0,,,,4.0,8.0,,,,1.0,1.0,,,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11977248,home,Bournemouth,Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189.0,17027,M,IlliaZabarnyi,1023567,EUR,1030838400,D,27,27,False,,53.0,44.0,12.0,4.0,25.0,27.0,19.0,27.0,1.0,3.0,1.0,2.0,,,,,,,90.0,63.0,7.0,11.0,0.0207767,1,,1.0,,,1.0,,,,,,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,0.4017,0.9229,,,,,,,,,
11977248,home,Bournemouth,Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177.0,33926,M,d.ouattara15,1106451,EUR,1013385600,D,11,11,False,,49.0,37.0,8.0,3.0,16.0,21.0,21.0,31.0,1.0,7.0,2.0,8.0,,,,,,,90.0,83.0,6.7,20.0,0.0308319,1,,3.0,,5.0,7.0,,2.0,1.0,4.0,3.0,2.0,1.0,1.0,,,,,,,,1.0,0.0572,,Dango Ouattara,1.0,,,,,,,
11977248,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175.0,895,M,,548188,EUR,854928000,M,4,4,False,,34.0,28.0,3.0,1.0,14.0,15.0,18.0,27.0,2.0,5.0,2.0,6.0,,,,,,,90.0,57.0,7.4,14.0,0.18478,1,,8.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,3.0,,,,,1.0,,1.0,0.019,0.033,,,1.0,,,,,,
11977248,home,Bournemouth,Ryan Christie,ryan-christie,R. Christie,M,10,178.0,1213,M,,322391,EUR,793411200,M,10,10,False,,54.0,41.0,11.0,6.0,15.0,19.0,26.0,39.0,2.0,10.0,2.0,6.0,,,,,,,89.0,84.0,7.7,21.0,0.0526799,3,,4.0,,2.0,6.0,,5.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,2.0,0.1435,,,1.0,,2.0,,,,,
11977248,home,Bournemouth,Antoine Semenyo,antoine-semenyo,A. Semenyo,M,42,185.0,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,,35.0,27.0,2.0,,5.0,6.0,23.0,32.0,3.0,8.0,1.0,3.0,,,,,,,90.0,58.0,8.9,13.0,0.132647,5,,3.0,1.0,5.0,8.0,,5.0,4.0,1.0,,2.0,,2.0,3.0,,,,,2.0,2.0,,0.402,1.0718,,1.0,,2.0,,,,,
11977248,home,Bournemouth,Alex Scott,alex-scott,A. Scott,M,8,178.0,2382,M,,1104986,EUR,1061424000,M,14,14,False,,19.0,14.0,3.0,1.0,6.0,7.0,8.0,16.0,1.0,2.0,,2.0,,,,,,,45.0,29.0,6.6,10.0,0.0170614,0,,4.0,,,1.0,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,Alex Scott,,,,,,,,
11977248,home,Bournemouth,Luis Sinisterra,luis-sinisterra,L. Sinisterra,F,17,176.0,6576,M,Sinisterra29,836070,EUR,929577600,M,17,17,False,,18.0,18.0,2.0,2.0,6.0,6.0,12.0,14.0,2.0,6.0,1.0,2.0,,,,,,,45.0,35.0,7.3,5.0,0.0356717,4,,2.0,,,3.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,1.0,,,2.0,,,0.4587,0.2721,,,,2.0,,,,,
