match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_aerialWon,stat_unsuccessfulTouch,stat_wasFouled,stat_totalContest,stat_wonContest,stat_lastManTackle,stat_wonTackle,stat_fouls,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_errorLeadToAShot,stat_goals,stat_outfielderBlock,captain,stat_hitWoodwork,stat_goodHighClaim,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_totalOffside
12448400,home,AFC Ajax,Remko Pasveer,remko-pasveer,R. Pasveer,G,22,186,801,M,2622,EUR,437097600,G,22,22,False,53.0,39.0,31.0,17.0,0.0,27.0,29.0,12.0,24.0,1.0,9.0,1.0,2.0,90.0,59.0,6.7,14.0,0.0060981,0,-1.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448400,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,982778,EUR,1042848000,D,2,2,False,40.0,33.0,3.0,,0.0,19.0,22.0,14.0,18.0,2.0,5.0,,,90.0,61.0,6.5,9.0,0.0527712,3,,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.1317,0.101,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12448400,home,AFC Ajax,Josip Šutalo,josip-sutalo,J. Šutalo,D,37,190,4308,M,954836,EUR,951696000,D,37,37,False,50.0,47.0,1.0,1.0,0.0,35.0,36.0,12.0,14.0,4.0,5.0,,,90.0,63.0,6.6,5.0,0.0118291,0,,5.0,6.0,4.0,,1.0,,,1.0,1.0,,,,,,josip.sutalo,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12448400,home,AFC Ajax,Youri Baas,youri-baas,Y. Baas,D,15,182,1216,M,1000228,EUR,1047859200,D,15,15,False,66.0,62.0,1.0,1.0,0.0,41.0,43.0,21.0,23.0,3.0,5.0,,,90.0,77.0,6.9,5.0,0.0329189,0,,2.0,3.0,5.0,,,,,1.0,3.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12448400,home,AFC Ajax,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15501,M,1153079,EUR,1141689600,D,4,4,False,38.0,34.0,2.0,1.0,1.0,22.0,25.0,13.0,15.0,2.0,4.0,,,90.0,59.0,6.9,8.0,0.335891,1,,,3.0,4.0,,,,,,4.0,0.0537,,1.0,,,,,1.0,,1.0,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,
12448400,home,AFC Ajax,Davy Klaassen,davy-klaassen,D. Klaassen,M,18,179,1575,M,97410,EUR,730252800,M,18,18,False,23.0,20.0,2.0,2.0,0.0,11.0,11.0,9.0,12.0,,4.0,,,86.0,33.0,7.6,4.0,0.0729907,1,,,1.0,4.0,1.0,,1.0,,1.0,3.0,0.3513,0.4575,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,
12448400,home,AFC Ajax,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6342,M,42694,EUR,645580800,M,6,6,False,84.0,76.0,4.0,2.0,0.0,39.0,41.0,38.0,46.0,,5.0,,,90.0,89.0,7.2,10.0,0.272371,0,,2.0,4.0,,1.0,,,,1.0,,,,3.0,,,jordanhenderson,,,,,,,,1.0,3.0,1.0,,,,,,True,,,,,
12448400,home,AFC Ajax,Kian Fitz-Jim,kian-fitz-jim,K. Fitz-Jim,M,28,173,1158,M,1001945,EUR,1057363200,M,28,28,False,25.0,23.0,,,0.0,10.0,11.0,13.0,15.0,,1.0,,,71.0,40.0,7.8,6.0,0.0964123,4,,,2.0,4.0,,2.0,2.0,,1.0,,0.239,0.8956,1.0,,,,1.0,1.0,1.0,2.0,2.0,,,,1.0,,,2.0,,1.0,1.0,,,,,,
12448400,home,AFC Ajax,Bertrand Traoré,bertrand-traore,B. Traoré,F,25,180,34487,M,218160,EUR,810345600,F,20,20,False,24.0,19.0,,,0.0,6.0,8.0,13.0,20.0,1.0,5.0,,,86.0,52.0,7.9,14.0,0.176873,5,,,5.0,8.0,1.0,2.0,1.0,3.0,2.0,2.0,0.3684,0.2056,4.0,,,bertrandtraore10,1.0,2.0,1.0,5.0,4.0,,2.0,1.0,4.0,,,1.0,,,,,,,,,
12448400,home,AFC Ajax,Brian Brobbey,brobbey-brian,B. Brobbey,F,9,180,7090,M,910048,EUR,1012521600,F,9,9,False,19.0,15.0,,,0.0,7.0,7.0,8.0,12.0,,1.0,,,71.0,28.0,7.0,6.0,0.0422837,1,,3.0,8.0,8.0,,1.0,1.0,,,,0.0561,0.3544,1.0,,,brianbrobbeyy,4.0,,4.0,,,,,4.0,,,,,,,,,,,,,
