match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,captain,stat_totalCross,stat_aerialLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_sofascoreId,stat_aerialWon,stat_unsuccessfulTouch,player_lastName,stat_totalContest,stat_wonContest,stat_keyPass,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_totalOffside
14083285,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,22.0,12.0,12.0,2.0,0.0,9.0,10.0,3.0,12.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,90.0,30.0,6.6,10.0,0.00048519,0.4761,0,-0.4356,0.01,0.0,-0.37,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083285,home,Girona FC,Arnau Martínez,arnau-martinez,A. Martínez,D,4,181,1573,M,1084081,EUR,1051228800,D,4,4,False,11.0,7.0,3.0,1.0,0.0,6.0,7.0,1.0,4.0,3.0,3.0,,2.0,,1.0,,,45.0,27.0,6.3,7.0,0.000315,,0,,-0.07,0.03,0.13,,Arnau Martinez,True,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14083285,home,Girona FC,Vitor Reis,reis-vitor,V. Reis,D,12,186,12809,M,1485300,EUR,1137024000,D,12,12,False,27.0,23.0,2.0,2.0,0.0,18.0,21.0,5.0,6.0,2.0,2.0,,1.0,,1.0,,,46.0,31.0,5.3,5.0,0.00200716,,0,,-0.09,0.05,-0.29,,,,,1.0,,1.0,,,1.0,vitorreiss_06,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14083285,home,Girona FC,Daley Blind,daley-blind,D. Blind,D,17,180,2785,M,44864,EUR,636940800,D,17,17,False,56.0,51.0,6.0,2.0,0.0,37.0,37.0,14.0,19.0,3.0,7.0,1.0,4.0,3.0,2.0,,,90.0,69.0,6.5,6.0,0.00755702,,0,,0.1,0.15,-0.46,,,,,1.0,1.0,1.0,4.0,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14083285,home,Girona FC,Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1206,M,294593,EUR,739497600,D,24,24,False,28.0,24.0,,,0.0,16.0,17.0,8.0,11.0,3.0,3.0,1.0,1.0,1.0,,,,90.0,46.0,6.8,6.0,0.00635956,,2,,0.0,0.19,-0.25,,,,1.0,1.0,,,2.0,1.0,,,,,,2.0,1.0,,2.0,1.0,1.0,0.0653,-0.25,,,,,,,,,,,,
14083285,home,Girona FC,Yáser Asprilla,yaser-asprilla,Y. Asprilla,M,22,176,9605,M,1092769,EUR,1069200000,M,10,10,False,13.0,10.0,2.0,2.0,0.0,5.0,5.0,5.0,8.0,4.0,3.0,,1.0,1.0,1.0,,,45.0,31.0,6.7,9.0,0.11908,,2,,0.28,0.05,-0.05,,Yaser Asprilla,,5.0,,1.0,,1.0,,2.0,yaser_asprilla_10,,1.0,,2.0,1.0,,1.0,,,0.2303,-0.18,2.0,1.0,,,,,,,,,,
14083285,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,32.0,25.0,6.0,2.0,0.0,18.0,21.0,7.0,11.0,4.0,1.0,,,8.0,,,,90.0,41.0,6.3,12.0,0.00252509,,0,,-0.07,0.23,-0.05,,,,1.0,,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
14083285,home,Girona FC,Axel Witsel,axel-witsel,A. Witsel,D,20,186,9808,M,35612,EUR,600566400,M,20,20,False,21.0,21.0,,,0.0,17.0,17.0,4.0,4.0,2.0,1.0,,2.0,,1.0,,,30.0,25.0,5.3,1.0,0.00246103,,0,,0.03,0.06,0.15,,,,,,,,,,2.0,axelwitsel28,,1.0,,,,,,,,,,,,,,,,,,,,,
14083285,home,Girona FC,Azzedine Ounahi,azzedine-ounahi,A. Ounahi,M,18,182,33691,M,991421,EUR,956102400,M,18,18,False,19.0,17.0,,,0.0,7.0,7.0,10.0,12.0,5.0,8.0,1.0,1.0,1.0,5.0,,,75.0,39.0,6.9,10.0,0.0747015,,0,,0.35,0.08,-0.17,,,,4.0,,1.0,,1.0,,1.0,azzedine_ounahi,,2.0,,4.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,
14083285,home,Girona FC,Joel Roca,joel-roca,J. Roca,F,3,176,596,M,1391616,EUR,1118102400,M,3,3,False,10.0,10.0,,,0.0,5.0,5.0,5.0,5.0,2.0,3.0,,2.0,2.0,2.0,,,53.0,19.0,6.6,3.0,0.0675441,,1,,0.08,0.14,-0.06,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,0.0432,-0.47,,1.0,,,,,,,,,,
