match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_accurateCross,stat_dispossessed,captain,stat_bigChanceCreated,player_firstName,player_lastName,stat_hitWoodwork,stat_crossNotClaimed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_totalOffside,stat_goals
12499296,home,Cagliari,Simone Scuffet,simone-scuffet,S. Scuffet,G,22,193,684,M,284349,EUR,833500800,G,22,22,False,39.0,29.0,23.0,13.0,0.0,16.0,17.0,13.0,22.0,1.0,4.0,2.0,2.0,1.0,90.0,42.0,6.9,10.0,0.0074779,0,-1.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499296,home,Cagliari,Gabriele Zappa,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,D,28,28,False,57.0,49.0,11.0,4.0,0.0,24.0,26.0,25.0,32.0,,2.0,,,,90.0,75.0,6.8,12.0,0.0135673,0,,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499296,home,Cagliari,Yerry Mina,yerry-mina,Y. Mina,D,26,195,5988,M,360396,EUR,780278400,D,26,26,False,65.0,57.0,11.0,8.0,0.0,46.0,49.0,11.0,16.0,6.0,3.0,,,,90.0,80.0,7.3,8.0,0.0311583,2,,,4.0,4.0,9.0,,,,,1.0,2.0,1.0,,3.0,1.0,yerrymina,3.0,1.0,1.0,0.0349,0.0308,1.0,,,,,,,,,,,,,,,,
12499296,home,Cagliari,Sebastiano Luperto,sebastiano-luperto,S. Luperto,D,6,191,784,M,352736,EUR,841968000,D,6,6,False,49.0,42.0,8.0,2.0,0.0,25.0,27.0,17.0,22.0,4.0,4.0,,,,90.0,65.0,6.8,9.0,0.0128605,2,,,5.0,6.0,10.0,1.0,1.0,,,1.0,3.0,2.0,1.0,2.0,,,4.0,1.0,,0.1926,,,1.0,1.0,,,,,,,,,,,,,,
12499296,home,Cagliari,Nadir Zortea,zortea-nadir,N. Zortea,M,20,187,1108,M,928104,EUR,929750400,M,19,19,False,37.0,30.0,3.0,2.0,0.0,19.0,25.0,13.0,22.0,2.0,4.0,,,,90.0,63.0,6.8,21.0,0.320931,1,,10.0,1.0,5.0,5.0,,2.0,2.0,,,,,3.0,2.0,2.0,,,,,0.0078,,3.0,,1.0,2.0,3.0,,,,,,,,,,,,
12499296,home,Cagliari,Antoine Makoumbou,antoine-makoumbou,A. Makoumbou,M,29,186,535,M,920391,EUR,900720000,M,29,29,False,24.0,17.0,1.0,,0.0,8.0,11.0,9.0,13.0,,3.0,,,,45.0,33.0,6.4,10.0,0.00494554,0,,,,2.0,2.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
12499296,home,Cagliari,Răzvan Marin,razvan-marin,R. Marin,M,18,178,3932,M,279563,EUR,832809600,M,18,18,False,36.0,31.0,5.0,2.0,0.0,18.0,21.0,15.0,22.0,2.0,6.0,,,,71.0,58.0,7.0,13.0,0.057324,1,,7.0,,7.0,6.0,1.0,1.0,1.0,,1.0,4.0,2.0,2.0,1.0,3.0,,2.0,,,0.1303,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,
12499296,home,Cagliari,Alessandro Deiola,alessandro-deiola,A. Deiola,M,14,189,280,M,328109,EUR,807235200,M,14,14,False,29.0,22.0,4.0,3.0,0.0,9.0,13.0,13.0,17.0,2.0,4.0,,,,90.0,46.0,7.0,10.0,0.037037,2,,1.0,3.0,7.0,8.0,2.0,,,,1.0,4.0,3.0,2.0,1.0,2.0,,3.0,1.0,,0.2323,,1.0,1.0,1.0,,,True,,,,,,,,,,,
12499296,home,Cagliari,Tommaso Augello,tommaso-augello,T. Augello,M,3,181,354,M,596736,EUR,778204800,M,3,3,False,32.0,20.0,6.0,2.0,0.0,10.0,15.0,11.0,20.0,2.0,6.0,,,,60.0,60.0,6.8,23.0,0.0846965,0,,3.0,,3.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,
12499296,home,Cagliari,Zito Luvumbo,zito-luvumbo,Z. Luvumbo,F,15,171,5304,M,1000150,EUR,1015632000,F,77,77,False,10.0,8.0,2.0,1.0,0.0,4.0,4.0,4.0,6.0,,1.0,,,,60.0,17.0,6.6,4.0,0.00158196,2,,,,4.0,2.0,,,,,,,,1.0,2.0,2.0,LuvumboZito,1.0,,1.0,0.1387,,,,1.0,,1.0,,,,,,,,,,,,
