match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_challengeLost,stat_shotOffTarget,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_errorLeadToAGoal,stat_wasFouled,stat_penaltyWon,stat_expectedGoalsOnTarget,stat_wonContest,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_bigChanceCreated,stat_penaltyFaced,stat_punches,stat_ownGoals,stat_penaltyConceded,player_sofascoreId,stat_goalAssist
11409152,home,Rio Ave,Jhonatan,jhonatan,Jhonatan,G,189,96,M,798688,EUR,673660800,G,18,18,False,22.0,13.0,12.0,3.0,12.0,15.0,1.0,7.0,8.0,2.0,3.0,90.0,31.0,6.0,9.0,0.00346006,0,-1.3381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409152,home,Rio Ave,Josué Sá,josue-sa,J. Sá,D,186,48,M,137982,EUR,708739200,D,23,23,False,63.0,55.0,7.0,4.0,33.0,34.0,23.0,31.0,5.0,,,90.0,74.0,6.2,11.0,0.0449743,0,,,,3,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409152,home,Rio Ave,Aderllan Santos,aderllan-santos,A. Santos,D,193,103,M,129617,EUR,608083200,D,33,33,False,61.0,47.0,11.0,3.0,36.0,42.0,11.0,19.0,10.0,,,90.0,69.0,6.3,14.0,0.00392795,1,,,,33,,,5.0,1.0,7.0,,5.0,,,,1.0,1.0,2.0,1.0,0.0442,,,,,,,,,,,,,,,,,,,,,,,
11409152,home,Rio Ave,Miguel Nóbrega,miguel-nobrega,M. Nóbrega,D,186,137,M,1066233,EUR,955929600,D,3,3,False,68.0,56.0,4.0,1.0,31.0,36.0,25.0,33.0,4.0,,,90.0,74.0,6.1,13.0,0.00925499,1,,,,3,1.0,,3.0,4.0,4.0,,3.0,,,,2.0,,1.0,1.0,0.0187,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11409152,home,Rio Ave,Costinha,costinha,Costinha,D,181,818,M,988333,EUR,954028800,M,20,20,False,21.0,18.0,1.0,,5.0,7.0,13.0,16.0,3.0,,,90.0,53.0,7.3,11.0,0.0894539,1,,,,20,2.0,,2.0,6.0,6.0,,2.0,2.0,2.0,1.0,2.0,,2.0,1.0,0.7884,,,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.9698,,,,,,,,,,,,
11409152,home,Rio Ave,Amine Oudrhiri,amine-oudrhiri,A. Oudrhiri,M,184,104,M,374560,EUR,720835200,M,10,10,False,41.0,37.0,6.0,4.0,13.0,13.0,24.0,28.0,5.0,,,89.0,48.0,6.8,4.0,0.0162522,1,,,,95,,,,2.0,5.0,1.0,,,,1.0,,1.0,2.0,2.0,0.0723,,,2.0,,,,1.0,,2.0,,,1.0,,,,,,,,,,,
11409152,home,Rio Ave,Gonçalo Rodrigues,goncalo-rodrigues,G. Rodrigues,M,168,231,M,357740,EUR,869184000,M,6,6,False,36.0,27.0,1.0,,12.0,14.0,16.0,25.0,3.0,,,80.0,45.0,6.7,12.0,0.0943401,0,,,,16,3.0,1.0,1.0,2.0,4.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,3.0,,,,True,,,,,,,,,,
11409152,home,Rio Ave,Fábio Ronaldo,fabio-ronaldo,F. Ronaldo,F,178,236,M,1134514,EUR,988416000,M,77,77,False,25.0,18.0,1.0,,7.0,8.0,11.0,18.0,3.0,,,90.0,47.0,6.5,13.0,0.0371735,2,,,,11,1.0,,1.0,4.0,4.0,1.0,,,4.0,1.0,2.0,2.0,1.0,,0.1328,2.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,
11409152,home,Rio Ave,André Pereira,andre-pereira,A. Pereira,F,188,56,M,804313,EUR,799632000,F,95,95,False,16.0,14.0,1.0,1.0,4.0,4.0,10.0,13.0,3.0,,,71.0,33.0,7.4,8.0,0.0342663,2,,,,,1.0,,1.0,9.0,6.0,1.0,,,4.0,1.0,3.0,,1.0,1.0,0.3689,1.0,1.0,5.0,,1.0,1.0,,,3.0,,0.4319,1.0,,,,,,,,,,,
11409152,home,Rio Ave,Emmanuel Boateng,emmanuel-boateng,E. Boateng,F,175,588,M,580392,EUR,832809600,F,22,22,False,9.0,7.0,1.0,1.0,3.0,3.0,4.0,6.0,2.0,,,72.0,17.0,6.4,4.0,0.00410065,4,,,,9,,,1.0,7.0,1.0,,1.0,,1.0,,4.0,2.0,,,0.3707,,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,
