match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_shotOffTarget,stat_totalClearance,captain,stat_aerialLost,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_totalContest,stat_outfielderBlock,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_penaltyFaced,stat_ownGoals,stat_penaltyConceded
10585002,away,Royale Union Saint-Gilloise,Siebe Van Der Heyden,siebe-van-der-heyden,S. V. D. Heyden,D,44,185,273,M,842164,EUR,896486400,D,44,44,False,42.0,40.0,2.0,,27.0,27.0,13.0,15.0,9.0,,,90.0,55.0,6.6,3.0,2,,,2.0,4.0,1.0,,1.0,1.0,,1.0,,,,,,2.0,,2.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,
10585002,away,Royale Union Saint-Gilloise,Bart Nieuwkoop,bart-nieuwkoop,B. Nieuwkoop,D,2,180,335,M,797279,EUR,826156800,M,2,2,False,24.0,17.0,2.0,1.0,6.0,6.0,11.0,20.0,4.0,,,63.0,34.0,6.1,11.0,1,2.0,,4.0,2.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,
10585002,away,Royale Union Saint-Gilloise,Lazare Amani,jean-thierry-lazare-amani,L. Amani,M,88,172,4130,M,845136,EUR,889228800,M,8,8,False,12.0,11.0,2.0,2.0,1.0,1.0,10.0,11.0,4.0,,,38.0,22.0,5.8,4.0,1,,,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,Jean Thierry Lazare,Amani,,,,,,jtl_amani_8,1.0,,2.0,,,1.0,,,,,,,
10585002,away,Royale Union Saint-Gilloise,Senne Lynen,senne-lynen,S. Lynen,M,14,182,400,M,826171,EUR,919382400,M,20,20,False,33.0,30.0,6.0,4.0,14.0,14.0,16.0,21.0,4.0,,,63.0,47.0,6.6,7.0,2,2.0,,4.0,1.0,,5.0,1.0,,,,2.0,,1.0,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,
10585002,away,Royale Union Saint-Gilloise,Teddy Teuma,teddy-teuma,T. Teuma,M,80,176,885,M,829643,EUR,749347200,M,10,10,False,50.0,41.0,5.0,3.0,23.0,26.0,18.0,25.0,6.0,,,77.0,66.0,6.8,15.0,0,1.0,,6.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,True,,,,,4.0,1.0,3.0,3.0,,,,,,,
10585002,away,Royale Union Saint-Gilloise,Loïc Lapoussin,loic-lapoussin,L. Lapoussin,M,,181,710,M,902987,EUR,827884800,M,94,94,False,37.0,28.0,3.0,1.0,14.0,15.0,15.0,25.0,6.0,,,90.0,77.0,7.1,20.0,1,3.0,1.0,5.0,12.0,,2.0,2.0,1.0,4.0,2.0,,,1.0,,,,,1.0,,,,,,12.0,,1.0,8.0,1.0,,,,,,
10585002,away,Royale Union Saint-Gilloise,Dante Vanzeir,dante-vanzeir,D. Vanzeir,F,13,175,638,M,822673,EUR,892684800,F,13,13,False,15.0,7.0,1.0,1.0,3.0,4.0,4.0,11.0,,,,90.0,24.0,6.0,12.0,0,,,4.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,3.0,,1.0,1.0,,,,,,,1.0
10585002,away,Royale Union Saint-Gilloise,Victor Okoh Boniface,victor-okoh-boniface,V. O. Boniface,F,22,193,28827,M,978521,EUR,977529600,F,7,7,False,17.0,14.0,1.0,1.0,4.0,6.0,10.0,11.0,2.0,,,63.0,31.0,6.5,12.0,0,,,8.0,4.0,,1.0,,,2.0,1.0,,,1.0,,,1.0,,,,1.0,boniface_jrn,,,5.0,,4.0,2.0,,1.0,,,,,
10585002,away,Royale Union Saint-Gilloise,Simon Adingra,simon-adingra,S. Adingra,M,24,175,53010,M,1110842,EUR,1009843200,F,11,11,True,22.0,18.0,2.0,2.0,8.0,8.0,10.0,16.0,1.0,,,45.0,36.0,6.7,12.0,0,2.0,,4.0,4.0,,,,,2.0,1.0,1.0,,1.0,,,,,,,,simon.adingra,,,5.0,,1.0,3.0,,,,,,,
10585002,away,Royale Union Saint-Gilloise,Guillaume François,guillaume-francois,G. François,M,19,174,66,M,45897,EUR,644371200,D,19,19,True,16.0,15.0,,,10.0,10.0,5.0,6.0,2.0,,,27.0,28.0,7.2,5.0,0,,,3.0,4.0,,1.0,3.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,
10585002,away,Royale Union Saint-Gilloise,José Rodríguez,jose-rodriguez,J. Rodríguez,M,,180,59,M,138394,EUR,787536000,M,4,4,True,21.0,19.0,,,11.0,12.0,8.0,9.0,3.0,,,27.0,22.0,6.7,2.0,0,,,,,,,,,,,,,1.0,José,Rodríguez,,,,,,,,,,,,,,,,,,,
10585002,away,Royale Union Saint-Gilloise,Dennis Eckert Ayensa,dennis-eckert-ayensa,D. Eckert,F,10,181,548,M,812797,EUR,852768000,F,9,9,True,10.0,7.0,,,3.0,4.0,4.0,6.0,,,,27.0,12.0,7.2,3.0,1,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
10585002,away,Royale Union Saint-Gilloise,Oussama El Azzouzi,oussama-el-azzouzi,O. E. Azzouzi,M,17,189,7762,M,1127191,EUR,991094400,M,6,6,True,5.0,4.0,,,2.0,3.0,2.0,2.0,,,,9.0,6.0,6.0,1.0,0,,,1.0,1.0,,1.0,,,,,1.0,,,Oussama El Azzouzi,,1.0,,,,,o.elazzouzi,,,,,,,,,,,,,
10585002,away,Royale Union Saint-Gilloise,Lucas Pirard,lucas-pirard,L. Pirard,G,21,191,83,M,190379,EUR,794793600,G,21,21,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10585002,away,Royale Union Saint-Gilloise,Ismael Kandouss,ismael-kandouss,I. Kandouss,D,27,192,741,M,934196,EUR,879292800,D,59,59,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
