match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_unsuccessfulTouch,player_sofascoreId,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_outfielderBlock,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_clearanceOffLine,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_goals,stat_totalOffside
12726863,home,Lecce,Christian Früchtl,christian-fruchtl,C. Früchtl,G,1,193,350,M,845024,EUR,949017600,G,1,1,False,23.0,20.0,6.0,4.0,0.0,19.0,22.0,1.0,1.0,7.0,2.0,90.0,32.0,6.6,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12726863,home,Lecce,Andy Pelmard,andy-pelmard,A. Pelmard,D,70,179,417,M,877978,EUR,952819200,D,2,2,False,43.0,34.0,4.0,1.0,0.0,18.0,19.0,16.0,25.0,6.0,,62.0,55.0,6.8,12.0,0,,,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12726863,home,Lecce,Frédéric Guilbert,frederic-guilbert,F. Guilbert,D,,178,400,M,372430,EUR,788227200,D,12,12,False,85.0,76.0,6.0,2.0,0.0,41.0,43.0,35.0,45.0,10.0,,90.0,105.0,7.2,14.0,1,,,3.0,3.0,8.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12726863,home,Lecce,Gaby Jean,gaby-jean,G. Jean,D,18,191,125,M,1392819,EUR,950918400,D,19,19,False,85.0,81.0,2.0,2.0,0.0,48.0,51.0,33.0,34.0,4.0,,90.0,92.0,6.8,5.0,0,Gaby Jean,,,3.0,6.0,2.0,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
12726863,home,Lecce,Patrick Dorgu,dorgu-patrick,P. Dorgu,M,13,185,27161,M,1397168,EUR,1098748800,D,13,13,False,41.0,31.0,,,0.0,11.0,11.0,21.0,33.0,5.0,,80.0,70.0,7.0,18.0,1,,,3.0,3.0,10.0,2.0,2.0,1.0,2.0,5.0,2.0,,,1.0,5.0,,3.0,Odogwu,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12726863,home,Lecce,Hamza Rafia,hamza-rafia,H. Rafia,M,24,178,2326,M,857772,EUR,923011200,M,8,8,False,66.0,61.0,3.0,2.0,0.0,21.0,21.0,40.0,46.0,4.0,,90.0,75.0,7.1,8.0,0,,,1.0,,5.0,,2.0,,,2.0,,,,,3.0,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,
12726863,home,Lecce,Balthazar Pierret,balthazar-pierret,B. Pierret,M,4,186,217,M,1014651,EUR,958348800,M,75,75,False,73.0,63.0,9.0,5.0,0.0,20.0,23.0,43.0,50.0,7.0,,90.0,90.0,7.3,15.0,3,,,,2.0,7.0,1.0,3.0,1.0,,4.0,1.0,1.0,2.0,,1.0,1.0,2.0,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,
12726863,home,Lecce,Rémi Oudin,remi-oudin,R. Oudin,M,28,185,294,M,842709,EUR,848275200,M,10,10,False,39.0,31.0,3.0,2.0,0.0,12.0,16.0,24.0,36.0,2.0,,90.0,60.0,6.9,17.0,0,,,13.0,,1.0,1.0,,,1.0,4.0,1.0,,,2.0,1.0,,,,5.0,2.0,,3.0,,,,True,,,,,,,,
12726863,home,Lecce,Filip Marchwiński,filip-marchwinski,F. Marchwiński,M,36,185,1371,M,966929,EUR,1010620800,M,36,36,False,14.0,12.0,,,0.0,4.0,5.0,8.0,9.0,2.0,,62.0,24.0,6.9,9.0,0,,,,2.0,3.0,,1.0,1.0,,3.0,1.0,,,,,1.0,5.0,,,,,3.0,1.0,,,,1.0,,,,,,,
12726863,home,Lecce,Lameck Banda,lameck-banda,L. Banda,M,19,165,4941,M,911350,EUR,980726400,M,22,22,False,15.0,12.0,1.0,1.0,0.0,2.0,2.0,10.0,13.0,1.0,,45.0,30.0,6.9,8.0,2,,,,,5.0,,2.0,1.0,,4.0,3.0,2.0,,,1.0,2.0,2.0,lameckbanda.10,,1.0,2.0,,,,,,,,,,,,,
