match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_shotOffTarget,stat_wonContest,captain,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_penaltyWon,player_height,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyMiss
11048670,home,Hartford City,David Mollenthiel,David Mollenthiel,,david-mollenthiel,D. Mollenthiel,G,1,0,M,1481080,EUR,960595200.0,G,1,1,False,14.0,9.0,7.0,2.0,8.0,12.0,1.0,2.0,1.0,2.0,1.0,13.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,90.0,34.0,7.6,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11048670,home,Hartford City,Jordan Koduah,Jordan Koduah,,jordan-koduah,J. Koduah,D,6,1,M,1481091,EUR,926121600.0,D,6,6,False,31.0,18.0,7.0,1.0,8.0,12.0,10.0,24.0,2.0,4.0,2.0,5.0,1.0,,,,,,,90.0,64.0,5.2,30.0,0,5.0,2.0,11.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,
11048670,home,Hartford City,Taj Salawu,Taj Salawu,,taj-salawu,T. Salawu,D,2,1,M,1481122,EUR,951350400.0,D,2,2,False,30.0,21.0,12.0,6.0,14.0,17.0,7.0,13.0,2.0,4.0,2.0,1.0,1.0,,,,,,,90.0,36.0,6.5,9.0,0,,,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11048670,home,Hartford City,Larson Richards,Larson Richards,,larson-richards,L. Richards,D,22,0,M,1481093,EUR,963100800.0,D,22,22,False,46.0,36.0,11.0,4.0,25.0,27.0,11.0,19.0,,1.0,4.0,3.0,1.0,,,,,,,90.0,54.0,6.2,11.0,0,,2.0,4.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
11048670,home,Hartford City,Adel Cekic,Adel Cekic,,adel-cekic,A. Cekic,D,10,0,M,1481074,EUR,862444800.0,D,23,23,False,18.0,9.0,6.0,1.0,6.0,9.0,3.0,10.0,,5.0,2.0,4.0,2.0,,,,,,,90.0,41.0,6.7,13.0,2,1.0,,1.0,,,,3.0,3.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,
11048670,home,Hartford City,Alex Clarke,Alex Clarke,,alex-clarke,A. Clarke,M,25,0,M,1481075,EUR,945043200.0,M,25,25,False,27.0,19.0,5.0,3.0,9.0,10.0,10.0,18.0,1.0,11.0,1.0,7.0,6.0,,,,,,,90.0,48.0,6.8,13.0,0,1.0,1.0,9.0,1.0,,4.0,3.0,2.0,2.0,2.0,,5.0,,2.0,,,,,,,,,,,,,,
11048670,home,Hartford City,Mark Grant,Mark Grant,,mark-grant,M. Grant,M,21,0,M,1193371,EUR,643420800.0,M,21,21,False,32.0,26.0,1.0,,10.0,10.0,16.0,23.0,,1.0,,3.0,,,,,,,,90.0,42.0,6.6,9.0,0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,True,1.0,1.0,,,,,,,,,,,
11048670,home,Hartford City,Khalid Rose,Khalid Rose,,khalid-rose,K. Rose,F,19,1,M,1481092,EUR,909100800.0,M,19,19,False,15.0,12.0,2.0,,1.0,2.0,11.0,14.0,,4.0,,3.0,2.0,,,,,,,62.0,24.0,6.6,6.0,0,1.0,1.0,4.0,1.0,,1.0,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,
11048670,home,Hartford City,Tremaine Bryan,Tremaine Bryan,,tremaine-bryan,T. Bryan,D,11,0,M,1192619,EUR,934329600.0,M,11,11,False,17.0,13.0,1.0,,7.0,8.0,6.0,11.0,,1.0,1.0,5.0,1.0,,,,,,,89.0,28.0,6.1,11.0,0,2.0,1.0,3.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,
11048670,home,Hartford City,Hugo Guerra,Hugo Guerra,,hugo-guerra,H. Guerra,M,9,1,M,1481087,EUR,941068800.0,M,7,7,False,9.0,6.0,1.0,1.0,1.0,1.0,6.0,10.0,1.0,6.0,1.0,3.0,3.0,,,,,,,62.0,30.0,7.7,7.0,2,2.0,2.0,4.0,2.0,,,3.0,2.0,,3.0,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,
