match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_jerseyNumber,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_lastName,stat_challengeLost,stat_keyPass,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_unsuccessfulTouch,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_penaltyConceded,stat_totalContest,stat_goals,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,captain,stat_goodHighClaim,stat_errorLeadToAShot,stat_penaltyWon
12624955,home,Al-Shabab,Abdullah Al-Mayouf,abdullah-al-mayouf,A. Al-Mayouf,G,187.0,197,M,118159,EUR,538358400,G,33,33,False,16.0,14.0,6.0,4.0,0.0,14.0,15.0,1.0,1.0,10.0,1.0,1.0,3.0,1.0,1.0,90.0,31.0,6.8,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624955,home,Al-Shabab,Mohammed Al Shwirekh,mohammed-al-shwirekh,M. A. Shwirekh,D,179.0,63,M,1519331,EUR,883612800,D,2,2,False,50.0,47.0,4.0,2.0,0.0,30.0,31.0,19.0,4.0,5.0,,,,,,90.0,61.0,6.9,3.0,0,Mohammed Al Shwirekh,2,17.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12624955,home,Al-Shabab,Wesley Hoedt,wesley-hoedt,W. Hoedt,D,188.0,354,M,336813,EUR,762912000,D,4,4,False,67.0,59.0,13.0,8.0,0.0,44.0,44.0,23.0,6.0,3.0,,,,,,90.0,78.0,6.9,10.0,0,,4,15.0,,5.0,1.0,5.0,,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12624955,home,Al-Shabab,Robert Renan,robert-renan,R. Renan,D,186.0,3212,M,1191278,EUR,1065830400,D,30,30,False,65.0,52.0,5.0,3.0,1.0,29.0,35.0,33.0,3.0,6.0,,,,,,90.0,81.0,7.9,16.0,1,Robert Renan,30,25.0,,5.0,3.0,9.0,,2.0,4.0,3.0,2.0,,1.0,3.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12624955,home,Al-Shabab,Nawaf Al Ghulaimish,nawaf-al-ghulaimish,N. A. Ghulaimish,D,178.0,46,M,1630170,EUR,1114992000,M,66,66,False,5.0,5.0,,,0.0,,,6.0,1.0,,,,,,,45.0,15.0,6.7,3.0,0,Nawaf Al Ghulaimish,66,5.0,1.0,,3.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
12624955,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,177.0,565,M,789438,EUR,733190400,M,11,11,False,65.0,57.0,5.0,3.0,0.0,22.0,22.0,45.0,1.0,8.0,,,,,,89.0,74.0,7.1,11.0,2,,10,36.0,1.0,1.0,3.0,2.0,,,,,1.0,,1.0,3.0,2.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,
12624955,home,Al-Shabab,Musab Al Juwayr,musab-fahd-aljuwayr,M. A. Juwayr,M,175.0,850,M,1106234,EUR,1056067200,M,15,15,False,64.0,56.0,5.0,3.0,0.0,18.0,19.0,50.0,,5.0,,,,,,78.0,84.0,7.5,14.0,3,Musab Fahz Aljuwayr,10,40.0,,1.0,5.0,6.0,,1.0,4.0,3.0,3.0,,,3.0,5.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12624955,home,Al-Shabab,Mohammed Al-Thani,mohammed-al-thain,M. Al-Thani,M,174.0,72,M,954643,EUR,855532800,M,71,71,False,37.0,31.0,4.0,2.0,0.0,11.0,11.0,27.0,,7.0,,,,,,90.0,62.0,8.3,9.0,2,,17,20.0,,3.0,6.0,10.0,1.0,3.0,5.0,5.0,2.0,,3.0,2.0,1.0,,,1.0,,,,2.0,1.0,,,1.0,1.0,,,,,,,,
12624955,home,Al-Shabab,Giacomo Bonaventura,giacomo-bonaventura,G. Bonaventura,M,180.0,1098,M,36784,EUR,619747200,F,7,7,False,40.0,36.0,5.0,4.0,0.0,8.0,9.0,36.0,1.0,5.0,,,,,,90.0,62.0,7.4,12.0,5,,,29.0,1.0,,6.0,2.0,,,1.0,1.0,2.0,,2.0,2.0,5.0,1.0,,1.0,2.0,,,,4.0,,,3.0,,1.0,2.0,2.0,,,,,
12624955,home,Al-Shabab,Daniel Podence,daniel-podence,D. Podence,F,165.0,3019,M,308764,EUR,814233600,F,56,56,False,40.0,30.0,1.0,,1.0,6.0,6.0,40.0,,9.0,,,,,,78.0,60.0,7.7,20.0,2,,56,26.0,,,5.0,2.0,,1.0,,,,,1.0,5.0,6.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,,,,2.0,,,,,,,,,
