match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_unsuccessfulTouch,stat_challengeLost,player_firstName,player_lastName,player_sofascoreId,stat_totalContest,stat_wonContest,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_keyPass,stat_accurateCross,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_goals
12437010,home,West Ham United,Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3046,M,96531,EUR,730771200,G,23,23,False,33.0,17.0,25.0,10.0,0.0,8.0,14.0,9.0,19.0,8.0,1.0,2.0,3.0,90.0,43.0,7.1,16.0,0.00171078,0,1.0493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437010,home,West Ham United,Jean-Clair Todibo,jean-clair-todibo,J-C. Todibo,D,25,189,2607,M,945217,EUR,946512000,D,25,25,False,31.0,26.0,2.0,,0.0,19.0,22.0,7.0,10.0,2.0,,,,65.0,41.0,6.8,6.0,0.00307475,0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12437010,home,West Ham United,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,26,26,False,53.0,48.0,2.0,1.0,0.0,37.0,39.0,11.0,14.0,2.0,,,,90.0,62.0,6.8,6.0,0.00378035,0,,,3.0,3.0,4.0,2.0,,2.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12437010,home,West Ham United,Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,763,M,43443,EUR,629683200,D,3,3,False,41.0,29.0,8.0,2.0,0.0,20.0,25.0,9.0,20.0,3.0,,,,69.0,57.0,6.6,18.0,0.00320537,0,,4.0,,1.0,,3.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12437010,home,West Ham United,Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18282,M,863653,EUR,880502400,M,29,29,False,39.0,36.0,3.0,1.0,0.0,13.0,15.0,23.0,25.0,6.0,,,,90.0,61.0,7.1,8.0,0.0123086,0,,1.0,,1.0,5.0,3.0,,2.0,2.0,1.0,,1.0,1.0,,,awbissaka,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12437010,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,799041,EUR,793843200,M,28,28,False,14.0,8.0,1.0,1.0,0.0,3.0,4.0,5.0,10.0,,,,,65.0,21.0,6.5,6.0,0.00278318,1,,,1.0,4.0,6.0,1.0,,,1.0,1.0,3.0,,2.0,,,,,,2.0,1.0,1.0,1.0,0.3945,1.0,,,,,,,,,,,,
12437010,home,West Ham United,James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,8,8,False,70.0,65.0,5.0,4.0,0.0,36.0,36.0,31.0,36.0,6.0,,,,84.0,81.0,7.2,6.0,0.0313591,0,,2.0,,4.0,5.0,1.0,,,2.0,2.0,2.0,,2.0,,,prowsey16,,,1.0,,,1.0,,1.0,2.0,1.0,,,,,,,,,,
12437010,home,West Ham United,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10872,M,847151,EUR,877651200,M,19,19,False,26.0,18.0,1.0,,0.0,5.0,6.0,13.0,20.0,1.0,,,,65.0,43.0,7.0,12.0,0.0179769,0,,,1.0,2.0,9.0,1.0,,1.0,3.0,1.0,4.0,3.0,,,,EdsonAlvarez19,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12437010,home,West Ham United,Oliver Scarles,scarles-oliver,O. Scarles,M,30,180,573,M,1150952,EUR,1134345600,M,57,57,False,45.0,39.0,,,0.0,19.0,20.0,21.0,27.0,4.0,,,,90.0,65.0,7.0,11.0,0.0441191,0,,2.0,,3.0,4.0,5.0,,,3.0,3.0,,1.0,1.0,Oliver Scarles,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,
12437010,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,552884,EUR,851040000,F,20,20,False,16.0,12.0,,,0.0,5.0,5.0,8.0,16.0,2.0,,,,90.0,37.0,6.7,14.0,0.00993886,4,,5.0,1.0,5.0,3.0,,,,,,,3.0,1.0,,,jarrodbowen,3.0,1.0,2.0,,,,0.1649,,1.0,1.0,True,1.0,3.0,0.0375,,,,,,
