match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals
12420980,home,RC Sporting Charleroi,Mohamed Koné,Mohamed Koné,,mohamed-kone,M. Koné,G,30,186.0,1004,M,1131009,EUR,1015459200,G,30,30,False,33.0,27.0,13.0,7.0,0.0,24.0,25.0,3.0,8.0,1.0,1.0,1.0,7.0,2.0,2.0,3.0,2.0,2.0,90.0,43.0,7.4,6.0,0.00083608,0,0.2645,,,,,,,,,,,,,,,,,,,,,,,,,,,
12420980,home,RC Sporting Charleroi,Jeremy Petris,,,jeremy-petris,J. Petris,D,29,183.0,120,M,910937,EUR,885945600,D,98,98,False,38.0,27.0,6.0,4.0,0.0,16.0,19.0,11.0,20.0,1.0,12.0,2.0,8.0,,,,,,90.0,70.0,7.3,18.0,0.0580683,0,,1.0,4.0,1.0,4.0,3.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
12420980,home,RC Sporting Charleroi,Cheick Keita,Cheick Keita,,cheick-keita,C. Keita,D,95,185.0,229,M,1407973,EUR,1049241600,D,95,95,False,54.0,45.0,8.0,4.0,0.0,25.0,26.0,20.0,29.0,,6.0,,6.0,,,,,,90.0,69.0,7.4,10.0,0.0145121,1,,1.0,1.0,,,,1.0,6.0,5.0,,,,,1.0,1.0,1.0,0.0154,,,,,,,,,,,
12420980,home,RC Sporting Charleroi,Stelios Andreou,,,andreou-stelios,S. Andreou,D,5,187.0,339,M,994282,EUR,1027468800,D,21,21,False,50.0,47.0,7.0,5.0,0.0,26.0,26.0,21.0,24.0,2.0,4.0,2.0,8.0,,,,,,90.0,60.0,7.1,5.0,0.00845265,1,,,3.0,,,,,2.0,1.0,1.0,,,,2.0,,1.0,0.0847,1.0,1.0,1.0,0.3063,,,,,,,
12420980,home,RC Sporting Charleroi,Vetle Winger Dragsnes,,,vetle-winger-dragsnes,V. W. Dragsnes,D,20,187.0,53,M,548640,EUR,760492800,D,15,15,False,32.0,27.0,3.0,3.0,0.0,13.0,14.0,14.0,21.0,3.0,5.0,3.0,2.0,,,,,,82.0,49.0,6.6,10.0,0.0183201,0,,3.0,4.0,1.0,2.0,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
12420980,home,RC Sporting Charleroi,Adem Zorgane,,,adem-zorgane,A. Zorgane,M,8,184.0,6525,M,1000472,EUR,947116800,M,6,6,False,77.0,66.0,7.0,4.0,0.0,25.0,29.0,41.0,51.0,,2.0,,7.0,,,,,,84.0,95.0,7.1,19.0,0.21256,0,,3.0,9.0,3.0,2.0,,4.0,2.0,1.0,1.0,,2.0,1.0,,,,,2.0,,,,AdemZorgane,True,,,,,
12420980,home,RC Sporting Charleroi,Etienne Camara,Etienne Camara,,etienne-camara,E. Camara,M,5,190.0,290,M,1097542,EUR,1048982400,M,5,5,False,33.0,32.0,4.0,4.0,0.0,20.0,21.0,12.0,12.0,,3.0,,5.0,,,,,,65.0,41.0,6.4,5.0,0.0198032,0,,,8.0,,1.0,,1.0,3.0,1.0,1.0,,3.0,,2.0,,,,2.0,,,,,,,,,,
12420980,home,RC Sporting Charleroi,Isaac Mbenza,,,isaac-mbenza,I. Mbenza,F,7,188.0,141,M,789000,EUR,826243200,M,7,7,False,20.0,14.0,2.0,1.0,0.0,5.0,6.0,9.0,18.0,,2.0,1.0,1.0,,,,,,65.0,31.0,6.6,12.0,0.00924611,0,,4.0,3.0,,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,
12420980,home,RC Sporting Charleroi,Daan Heymans,,,heymans-daan,D. Heymans,M,38,186.0,544,M,845344,EUR,929404800,M,18,18,False,33.0,21.0,2.0,1.0,0.0,8.0,12.0,13.0,21.0,5.0,8.0,,4.0,,,,,,90.0,44.0,7.1,16.0,0.0849575,1,,,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,3.0,,,0.019,1.0,1.0,,0.0436,,,,,,,
12420980,home,RC Sporting Charleroi,Parfait Guiagon,,,parfait-guiagon,P. Guiagon,M,10,169.0,1096,M,1030459,EUR,982800000,M,8,8,False,33.0,23.0,4.0,1.0,0.0,7.0,10.0,17.0,25.0,1.0,8.0,,2.0,,,,,,90.0,57.0,6.8,21.0,0.227945,2,,2.0,9.0,1.0,9.0,2.0,,3.0,3.0,2.0,2.0,,2.0,,1.0,,0.0571,1.0,1.0,,0.0198,,,1.0,1.0,,,
