match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_hitWoodwork,stat_clearanceOffLine,stat_totalOffside,stat_dispossessed,stat_blockedScoringAttempt,stat_goals,player_firstName,player_lastName,stat_errorLeadToAShot,stat_ownGoals
12436448,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,36.0,26.0,22.0,12.0,0.0,17.0,19.0,9.0,17.0,1.0,6.0,1.0,3.0,3.0,90.0,46.0,7.1,10.0,0.00760679,0,0.1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436448,home,Everton,Jake O'Brien,jake-obrien,J. O'Brien,D,15,197,1429,M,,998253,EUR,989884800,D,15,15,False,30.0,24.0,5.0,3.0,0.0,11.0,15.0,14.0,16.0,8.0,2.0,,,,88.0,53.0,7.0,10.0,0.0316417,0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12436448,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,6,6,False,41.0,34.0,10.0,7.0,0.0,24.0,26.0,10.0,15.0,6.0,3.0,,,,90.0,56.0,7.5,8.0,0.374457,1,,,,4.0,1.0,7.0,,,,,1.0,True,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.1946,0.1362,,,,,,,,,,,,,,
12436448,home,Everton,Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2591,M,,979563,EUR,1025136000,D,32,32,False,31.0,24.0,9.0,5.0,0.0,14.0,15.0,10.0,16.0,5.0,1.0,,,,90.0,44.0,7.1,7.0,0.0105325,0,,,,,1.0,3.0,,,,,,,,,,,3.0,,3.0,3.0,,,1.0,,,,,,,,,,,,,
12436448,home,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4082,M,mikola_16,876643,EUR,927936000,D,19,19,False,26.0,22.0,5.0,2.0,0.0,8.0,10.0,14.0,18.0,4.0,,,,,90.0,47.0,6.8,10.0,0.0105712,1,,2.0,,,3.0,4.0,1.0,,1.0,1.0,,,,,,,1.0,,2.0,2.0,0.0889,,2.0,1.0,1.0,1.0,,,,,,,,,,
12436448,home,Everton,Orel Mangala,orel-mangala,O. Mangala,M,5,178,1576,M,,793988,EUR,890179200,M,8,8,False,26.0,22.0,,,0.0,11.0,11.0,11.0,15.0,3.0,1.0,,,,90.0,36.0,7.6,5.0,0.0149592,1,,,,,2.0,2.0,,1.0,1.0,2.0,1.0,,,,,1.0,1.0,,1.0,1.0,0.2234,0.4026,,,,1.0,1.0,1.0,1.0,,,,,,,
12436448,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,iganagueye,106337,EUR,622771200,M,27,27,False,37.0,35.0,1.0,1.0,2.0,16.0,16.0,19.0,21.0,2.0,8.0,,,,90.0,55.0,8.3,5.0,0.169978,0,,,,1.0,2.0,7.0,2.0,1.0,1.0,,2.0,,,2.0,,,2.0,,3.0,2.0,,,,,,3.0,,,,,,,,,,
12436448,home,Everton,Jesper Lindstrøm,jesper-lindstrom,J. Lindstrøm,M,19,182,2672,M,,947929,EUR,951782400,M,29,29,False,21.0,19.0,,,0.0,7.0,7.0,16.0,25.0,2.0,5.0,,,,70.0,51.0,7.9,13.0,0.477229,1,,11.0,4.0,,13.0,7.0,3.0,,,1.0,4.0,,6.0,2.0,,1.0,2.0,,5.0,5.0,0.0351,0.0784,2.0,,,2.0,,,,1.0,,,,,,
12436448,home,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1269,M,,96535,EUR,725846400,M,16,16,False,22.0,18.0,,,0.0,6.0,7.0,12.0,18.0,,6.0,,,,90.0,39.0,6.3,12.0,0.0111615,0,,3.0,,,12.0,3.0,2.0,1.0,2.0,3.0,,,2.0,,,,,,2.0,1.0,,,4.0,1.0,,,,,,2.0,,,,,,
12436448,home,Everton,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,54701,M,ilimanndiaye10,914309,EUR,952300800,M,10,10,False,26.0,22.0,,,0.0,12.0,13.0,10.0,14.0,,8.0,,,,81.0,51.0,7.5,12.0,0.0484027,2,,1.0,,1.0,12.0,9.0,8.0,,2.0,2.0,1.0,,3.0,,,1.0,1.0,,2.0,1.0,0.5109,0.7499,2.0,5.0,,2.0,,,,2.0,1.0,1.0,,,,
12436448,home,Everton,Dominic Calvert-Lewin,dominic-calvert-lewin,D. Calvert-Lewin,F,9,187,5857,M,CalvertLewin14,372344,EUR,858470400,F,9,9,False,20.0,14.0,,,0.0,3.0,3.0,11.0,18.0,2.0,1.0,,,,90.0,48.0,7.4,15.0,0.0546932,6,,1.0,,11.0,10.0,16.0,2.0,,5.0,3.0,1.0,,1.0,,2.0,2.0,,,,,0.8991,0.5675,4.0,2.0,3.0,4.0,,,1.0,3.0,1.0,1.0,,,,
12436448,home,Everton,Ashley Young,ashley-young,A. Young,D,15,180,1712,M,,10589,EUR,489715200,D,18,18,True,5.0,5.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,,,,20.0,11.0,6.2,1.0,0.00391079,0,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
12436448,home,Everton,Nathan Patterson,patterson-nathan,N. Patterson,D,2,189,661,M,,1020141,EUR,1003190400,D,2,2,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,,1.0,,,,9.0,10.0,6.9,,0.00135014,0,,,,,,5.0,3.0,,,,,,,,,,,,1.0,1.0,,,,3.0,,1.0,,,,,,,Nathan,Patterson,,
12436448,home,Everton,Michael Keane,michael-keane,M. Keane,D,5,188,1573,M,,110846,EUR,726710400,D,5,5,True,1.0,,,,0.0,,,,1.0,,,,,,2.0,2.0,,2.0,,0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436448,home,Everton,João Virgínia,joao-virginia,J. Virgínia,G,12,191,815,M,,930666,EUR,939513600,G,12,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,João,Virgínia,,
12436448,home,Everton,Asmir Begović,asmir-begovic,A. Begović,G,31,198,823,M,,13918,EUR,551145600,G,31,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436448,home,Everton,Jack Harrison,jack-harrison,J. Harrison,M,17,175,1145,M,,829570,EUR,848448000,F,11,11,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436448,home,Everton,Harrison Armstrong,harrison-armstrong,H. Armstrong,M,45,185,581,M,,1627560,EUR,1169164800,M,45,45,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436448,home,Everton,Beto,beto,Beto,F,9,194,3398,M,,987489,EUR,886204800,F,14,14,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436448,home,Everton,Martin Sherif,martin-sherif,M. Sherif,F,67,193,175,M,,1177183,EUR,1149897600,F,67,67,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436448,away,Tottenham Hotspur,Antonín Kinský,antonin-kinsky,A. Kinský,G,31,190,3150,M,,1031251,EUR,1047513600,G,31,31,False,30.0,25.0,7.0,3.0,0.0,25.0,30.0,,,2.0,6.0,,3.0,4.0,90.0,40.0,6.6,5.0,8.041e-05,0,-1.0654,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
