match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoalsOnTarget,stat_aerialLost,stat_interceptionWon,stat_fouls,stat_totalOffside,captain,stat_bigChanceMissed,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceCreated,player_sofascoreId
12499796,home,VfL Wolfsburg,Marius Müller,marius-muller,M. Müller,G,29,192,130,M,136933,EUR,742435200,G,29,29,False,34.0,25.0,15.0,6.0,0.0,22.0,25.0,3.0,9.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,90.0,41.0,7.2,9.0,0.00147013,0,0.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499796,home,VfL Wolfsburg,Kilian Fischer,kilian-fischer,K. Fischer,D,2,179,189,M,995316,EUR,971308800,D,2,2,False,34.0,25.0,3.0,2.0,0.0,15.0,20.0,11.0,16.0,,5.0,3.0,,,,,,89.0,61.0,7.3,15.0,0.0648138,1,,,,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0554,1.0,,,,,,,,,,,,,,
12499796,home,VfL Wolfsburg,Denis Vavro,denis-vavro,D. Vavro,D,3,187,674,M,293127,EUR,829094400,D,18,18,False,39.0,35.0,6.0,4.0,0.0,22.0,23.0,13.0,17.0,,1.0,1.0,,,,,,90.0,54.0,7.7,5.0,0.0577051,1,,,,1.0,,2.0,2.0,,,,,10.0,,,,0.0081,1.0,1.0,1.0,1.0,0.0097,,,,,,,,,,
12499796,home,VfL Wolfsburg,Konstantinos Koulierakis,konstantinos-koulierakis,K. Koulierakis,D,4,188,3369,M,1184855,EUR,1069977600,D,4,4,False,64.0,51.0,14.0,5.0,0.0,36.0,41.0,15.0,23.0,2.0,3.0,2.0,,,,,,90.0,71.0,6.9,14.0,0.0740551,0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,
12499796,home,VfL Wolfsburg,Joakim Mæhle,joakim-maehle,J. Mæhle,D,21,185,1469,M,842364,EUR,864086400,D,21,21,False,35.0,31.0,1.0,,0.0,16.0,17.0,15.0,20.0,2.0,8.0,6.0,,,,,,90.0,66.0,7.3,11.0,0.0230322,0,,,,2.0,,4.0,1.0,2.0,,,,3.0,6.0,2.0,2.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,
12499796,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,42.0,35.0,3.0,1.0,0.0,19.0,23.0,16.0,20.0,1.0,4.0,7.0,,,,,,90.0,60.0,7.0,10.0,0.0113713,2,,,,1.0,,1.0,,,,,,9.0,2.0,1.0,2.0,0.1576,,2.0,,1.0,0.0969,1.0,,,,True,1.0,,,,
12499796,home,VfL Wolfsburg,Tiago Tomás,tiago-tomas,T. Tomás,F,8,180,1353,M,983540,EUR,1024185600,M,11,11,False,19.0,14.0,2.0,,0.0,6.0,9.0,8.0,11.0,,4.0,2.0,,,,,,73.0,32.0,7.1,9.0,0.0395455,3,,,,1.0,,6.0,,2.0,1.0,,,,2.0,2.0,,0.2265,1.0,2.0,2.0,1.0,0.2934,2.0,,1.0,,,,2.0,1.0,,
12499796,home,VfL Wolfsburg,Mattias Svanberg,svanberg-mattias,M. Svanberg,M,32,185,641,M,796987,EUR,915494400,M,32,32,False,17.0,12.0,2.0,,0.0,6.0,9.0,7.0,13.0,,2.0,2.0,,,,,,89.0,34.0,7.3,13.0,0.154771,1,,,,5.0,1.0,2.0,,,,,,2.0,1.0,,3.0,0.0388,2.0,1.0,,1.0,0.4066,2.0,2.0,,,,,,,1.0,
12499796,home,VfL Wolfsburg,Patrick Wimmer,patrick-wimmer,P. Wimmer,M,39,182,1034,M,987504,EUR,991180800,M,39,39,False,21.0,13.0,2.0,2.0,0.0,7.0,8.0,6.0,14.0,1.0,9.0,4.0,,,,,,89.0,43.0,7.5,11.0,0.0132037,2,,,,1.0,,4.0,2.0,4.0,4.0,,,,1.0,1.0,1.0,0.0716,1.0,1.0,1.0,3.0,0.152,1.0,,1.0,,,,,1.0,,
12499796,home,VfL Wolfsburg,Jonas Wind,jonas-wind,J. Wind,F,23,190,2374,M,826069,EUR,918345600,F,23,23,False,20.0,14.0,1.0,,0.0,6.0,7.0,8.0,13.0,2.0,3.0,3.0,,,,,,89.0,23.0,6.5,7.0,0.0055201,1,,,,,,5.0,,,,,,,,,,0.082,,,,1.0,,2.0,,2.0,1.0,,,1.0,1.0,,
