match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_totalClearance,stat_unsuccessfulTouch,player_sofascoreId,stat_dispossessed,stat_accurateCross,stat_shotOffTarget,stat_expectedGoals,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_errorLeadToAShot,stat_bigChanceMissed,stat_goals
11396379,home,Eintracht Frankfurt,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1775,M,38440,EUR,647395200,G,1,1,False,True,37.0,25.0,16.0,5.0,24.0,32.0,1.0,5.0,8.0,1.0,2.0,90.0,44.0,6.3,12.0,0.00076146,0,0.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396379,home,Eintracht Frankfurt,Aurélio Buta,aurelio-buta,A. Buta,D,17,169,495,M,357752,EUR,855532800,D,24,24,False,,60.0,55.0,4.0,4.0,24.0,25.0,31.0,36.0,4.0,,,80.0,83.0,7.5,7.0,0.0522323,0,,1.0,1.0,2.0,8.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11396379,home,Eintracht Frankfurt,Tuta,tuta,Tuta,D,3,184,1088,M,964191,EUR,931046400,D,35,35,False,,93.0,86.0,10.0,4.0,61.0,64.0,25.0,29.0,7.0,,,90.0,108.0,6.7,8.0,0.0115955,0,,,,2.0,3.0,,,,1.0,1.0,,2.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11396379,home,Eintracht Frankfurt,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25693,M,979480,EUR,1003190400,D,3,3,False,,73.0,62.0,11.0,3.0,47.0,49.0,15.0,24.0,9.0,,,90.0,84.0,6.3,14.0,0.00494115,0,,,1.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,pachowilliam,1.0,,,,,,,,,,,,,,,,,,
11396379,home,Eintracht Frankfurt,Philipp Max,philipp-max,P. Max,D,,178,608,M,142672,EUR,749347200,D,31,31,False,,35.0,28.0,1.0,,17.0,21.0,12.0,16.0,,,,55.0,45.0,6.8,8.0,0.0113692,1,,2.0,3.0,2.0,4.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,0.0119,,,,,,,,,,,,,,,
11396379,home,Eintracht Frankfurt,Junior Dina Ebimbe,junior-dina-ebimbe,J. D. Ebimbe,M,7,183,2059,M,904994,EUR,974764800,M,26,26,False,,36.0,25.0,1.0,,7.0,9.0,18.0,28.0,6.0,,,90.0,68.0,7.5,20.0,0.0720177,5,,1.0,1.0,12.0,9.0,7.0,4.0,1.0,,4.0,3.0,,4.0,1.0,3.0,3.0,2.0,5.0,,,,,0.5806,1.0,4.0,1.0,0.042,,,,,,,,,,,
11396379,home,Eintracht Frankfurt,Ellyes Skhiri,ellyes-skhiri,E. Skhiri,M,15,185,4745,M,591706,EUR,800064000,M,15,15,False,,83.0,72.0,5.0,2.0,42.0,44.0,30.0,39.0,10.0,,,90.0,95.0,7.2,13.0,0.071657,2,,,,2.0,4.0,1.0,1.0,,1.0,3.0,1.0,,1.0,2.0,,1.0,1.0,2.0,ellyes_skhiri,,,1.0,0.055,,1.0,,,,,,,,,,,,,
11396379,home,Eintracht Frankfurt,Hugo Larsson,hugo-larsson,H. Larsson,M,16,187,2774,M,1142211,EUR,1088294400,M,16,16,False,,46.0,44.0,,,22.0,24.0,22.0,22.0,2.0,,,90.0,53.0,6.7,4.0,0.0751843,1,,,1.0,1.0,2.0,,,,2.0,1.0,1.0,,2.0,,,,1.0,2.0,,,,1.0,0.0312,,,,,Hugo Larsson,,,,,,,,,,
11396379,home,Eintracht Frankfurt,Ansgar Knauff,ansgar-knauff,A. Knauff,M,7,180,2079,M,997012,EUR,1010620800,M,36,36,False,,21.0,16.0,,,3.0,4.0,13.0,18.0,3.0,,,70.0,30.0,6.5,8.0,0.0321491,2,,1.0,,5.0,1.0,2.0,,,1.0,,,1.0,1.0,,2.0,,,,,,,1.0,0.1479,,1.0,,,,,,,,,,,,,
11396379,home,Eintracht Frankfurt,Farès Chaïbi,fares-chaibi,F. Chaïbi,M,8,183,17688,M,1192318,EUR,1038441600,F,8,8,False,,37.0,28.0,4.0,2.0,10.0,13.0,18.0,34.0,4.0,,,90.0,59.0,6.9,22.0,0.0436192,2,,10.0,,6.0,2.0,,,,1.0,2.0,1.0,,,,4.0,1.0,,2.0,fareschaibi28,1.0,,1.0,0.0434,,1.0,,,,,,,,,,,,,
