match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_wasFouled,stat_expectedGoalsOnTarget,stat_totalOffside,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyFaced,stat_penaltyConceded
13981535,home,Torino,Alberto Paleari,alberto-paleari,A. Paleari,G,1,192,344,M,259281,EUR,715046400,G,1,1,False,21.0,16.0,13.0,8.0,0.0,8.0,9.0,8.0,12.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,90.0,29.0,5.7,5.0,0.00212653,56.14458056392,7.0,21.945,7.455,0.2822,0,-2.0268,0.03,0.01,-0.52,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981535,home,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,D,61,61,False,36.0,27.0,5.0,2.0,0.0,12.0,15.0,15.0,21.0,4.0,3.0,,,,,,90.0,59.0,6.5,13.0,0.0353483,125.70767326563,15.0,44.94,31.92,,2,,0.28,0.09,-0.64,,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.1348,32.253182416624,1.0,2.0,-0.25,,,,,,,,,,,,,,,,,,,
13981535,home,Torino,Guillermo Maripán,guillermo-maripan,G. Maripán,D,13,193,2139,M,339909,EUR,768182400,D,13,13,False,25.0,24.0,2.0,1.0,0.0,12.0,12.0,12.0,13.0,3.0,6.0,,,,,,90.0,37.0,5.7,3.0,0.00391947,53.101211024049,8.0,18.69,9.555,,0,,0.18,0.03,-0.74,,1.0,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
13981535,home,Torino,Adam Masina,adam-masina,A. Masina,D,,189,5428,M,259995,EUR,757468800,D,5,5,False,26.0,22.0,3.0,,0.0,16.0,16.0,6.0,10.0,5.0,3.0,,,,,,90.0,43.0,5.5,8.0,0.00816205,161.78400295445,12.0,44.1,35.175,,0,,0.16,0.06,-0.67,,,,,6.0,2.0,1.0,3.0,,,1.0,4.0,2.0,1.0,,1.0,,55.220605293676,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
13981535,home,Torino,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178,644,M,934409,EUR,963705600,M,16,16,False,14.0,12.0,1.0,,0.0,2.0,2.0,10.0,12.0,1.0,1.0,,,,,,61.0,30.0,6.3,6.0,0.202805,129.18021683647,10.0,91.56,48.51,,0,,0.38,0.07,-0.48,,4.0,2.0,,2.0,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,,73.458778193246,2.0,,,,,,,,,,,,,,,,,,,,,
13981535,home,Torino,Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6575,M,1016788,EUR,1042156800,M,22,22,False,25.0,20.0,,,0.0,5.0,6.0,15.0,19.0,,5.0,,,,,,66.0,33.0,6.8,8.0,0.0185052,96.786519000853,9.0,22.995,10.605,,1,,0.06,0.15,-0.05,,,,4.0,3.0,6.0,,,1.0,,,,2.0,2.0,,1.0,0.0643,34.113610757072,2.0,,-0.08,1.0,1.0,,,cesarecasadei,1.0,,,,,,,,,,,,,
13981535,home,Torino,Kristjan Asllani,kristjan-asllani,K. Asllani,M,23,179,5914,M,996820,EUR,1015632000,M,32,32,False,44.0,41.0,6.0,4.0,0.0,22.0,22.0,19.0,22.0,1.0,5.0,,,,,,90.0,60.0,6.8,8.0,0.229566,99.916958261117,14.0,31.71,19.005,,3,,0.37,0.14,-0.31,,2.0,,,3.0,3.0,2.0,,2.0,,,3.0,2.0,2.0,,3.0,0.0641,,,,-0.13,,1.0,,,KristjanAsllani,1.0,1.0,1.0,,,,,,,,,,,
13981535,home,Torino,Nikola Vlašić,nikola-vlasic,N. Vlašić,M,10,178,5477,M,357596,EUR,875923200,M,10,10,False,19.0,12.0,1.0,,0.0,4.0,7.0,8.0,12.0,,5.0,,,,,,78.0,42.0,6.5,17.0,0.013058,138.24281785828,11.0,101.115,25.62,,2,,-0.38,0.25,-0.39,,2.0,,,5.0,6.0,1.0,4.0,1.0,,,2.0,2.0,1.0,,3.0,0.9002,47.934420108696,2.0,,0.3,,,,,niksivlasic_,1.0,1.0,,1.0,1.0,1.0,3.0,0.8274,,,,,,
13981535,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1014,M,233826,EUR,827625600,M,20,20,False,24.0,22.0,1.0,,0.0,12.0,12.0,10.0,12.0,3.0,2.0,,,,,,90.0,48.0,6.3,12.0,0.153976,55.097261046791,9.0,38.43,14.07,,0,,0.31,0.04,-0.28,,8.0,2.0,,5.0,1.0,2.0,1.0,,,,1.0,,,,1.0,,,,2.0,,,2.0,,,,,,,,,,1.0,,,,,,,
13981535,home,Torino,Cyril Ngonge,cyril-ngonge,C. Ngonge,F,16,179,1937,M,877037,EUR,959299200,F,26,26,False,18.0,10.0,4.0,3.0,0.0,1.0,4.0,9.0,14.0,1.0,1.0,,,,,,66.0,37.0,6.6,16.0,0.0146414,100.34871661981,11.0,10.815,18.69,,0,,-0.13,-0.48,0.14,,1.0,,3.0,8.0,7.0,,4.0,,,,,2.0,1.0,,1.0,,32.404605895474,2.0,,,2.0,,,,,2.0,,,,,,2.0,,1.0,,,,,
