match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_interceptionWon,captain,stat_totalCross,stat_totalContest,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,player_sofascoreId,stat_keyPass,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed
13981564,home,Genoa,Nicola Leali,nicola-leali,N. Leali,G,1,193,635,M,98059,EUR,729907200,G,1,1,False,28.0,20.0,13.0,5.0,0.0,18.0,20.0,2.0,8.0,1.0,8.0,1.0,4.0,6.0,2.0,2.0,90.0,41.0,7.0,8.0,0.00044988,43.765869938593,7.0,3.255,3.675,0.4327,0,-0.1648,0.03,-0.13,-0.12,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981564,home,Genoa,Alessandro Marcandalli,alessandro-marcandalli,A. Marcandalli,D,27,190,311,M,1068885,EUR,1035504000,D,27,27,False,37.0,30.0,7.0,4.0,0.0,21.0,24.0,9.0,13.0,5.0,6.0,,,,,,90.0,53.0,6.4,9.0,0.00637265,68.117866527553,8.0,30.555,13.545,,0,,0.07,0.01,-0.29,,,,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
13981564,home,Genoa,Sebastian Otoa,otoa-sebastian,S. Otoa,D,34,198,372,M,1404639,EUR,1084406400,D,34,34,False,23.0,20.0,3.0,1.0,0.0,16.0,16.0,4.0,7.0,9.0,4.0,,,,,,89.0,41.0,6.2,5.0,0.00141062,52.535948844032,7.0,11.025,7.56,,0,,0.06,0.01,-0.14,,,,4.0,2.0,6.0,3.0,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13981564,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,D,22,22,False,48.0,38.0,9.0,3.0,0.0,28.0,29.0,10.0,19.0,5.0,1.0,,,,,,90.0,61.0,6.4,11.0,0.00732547,107.52506772061,14.0,42.63,24.15,,0,,0.08,0.08,-0.17,,,,3.0,2.0,4.0,3.0,2.0,,,,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,
13981564,home,Genoa,Brooke Norton-Cuffy,brooke-norton-cuffy,B. Norton-Cuffy,D,15,181,1189,M,1087514,EUR,1073865600,M,15,15,False,26.0,17.0,5.0,2.0,0.0,12.0,14.0,5.0,12.0,1.0,3.0,,,,,,90.0,61.0,6.7,24.0,0.00649591,130.04526071119,11.0,96.39,43.68,,1,,0.02,0.12,0.22,,,,4.0,,6.0,5.0,,5.0,4.0,,4.0,,,1.0,,,3.0,1.0,1.0,0.047,-0.31,,,,,,,,,,,,
13981564,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178,1679,M,918440,EUR,986601600,M,32,32,False,23.0,22.0,1.0,1.0,0.0,18.0,19.0,4.0,4.0,3.0,,,,,,,78.0,34.0,6.7,3.0,0.00206858,40.386805866555,6.0,1.155,5.25,,0,,0.03,0.02,0.23,,,,1.0,,5.0,3.0,,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
13981564,home,Genoa,Ruslan Malinovskyi,ruslan-malinovskyi,R. Malinovskyi,M,17,181,4666,M,195850,EUR,736473600,M,17,17,False,36.0,28.0,6.0,4.0,0.0,17.0,18.0,11.0,18.0,1.0,6.0,,,,,,90.0,47.0,6.7,11.0,0.0317366,200.39405396941,17.0,96.285,34.02,,1,,0.29,0.07,-0.19,,,,2.0,1.0,4.0,3.0,,,,,2.0,2.0,,1.0,1.0,,,,1.0,0.0089,0.0,1.0,malinovskyi18,,,,,,,,,,
13981564,home,Genoa,Mikael Ellertsson,mikael-ellertsson,M. Ellertsson,M,77,182,433,M,933203,EUR,1015804800,M,77,77,False,15.0,12.0,1.0,1.0,0.0,7.0,9.0,5.0,6.0,,5.0,,,,,,89.0,26.0,6.6,5.0,0.00710014,39.492831373614,6.0,16.065,6.51,,0,,-0.08,0.08,-0.01,,,,,,3.0,4.0,1.0,,,,,4.0,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,
13981564,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180,1144,M,797286,EUR,861667200,M,3,3,False,19.0,15.0,4.0,2.0,1.0,9.0,10.0,6.0,9.0,2.0,1.0,,,,,,90.0,42.0,7.2,15.0,0.0286301,73.089366943057,7.0,7.665,14.385,,0,,0.23,0.04,0.17,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,9.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,
13981564,home,Genoa,Vitinha,vitinha,Vitinha,F,9,183,2248,M,1093695,EUR,953078400,F,9,9,False,11.0,5.0,3.0,1.0,0.0,2.0,7.0,3.0,4.0,2.0,5.0,,,,,,78.0,35.0,8.0,15.0,0.0327666,111.4241375204,11.0,79.905,20.16,,1,,0.19,0.39,-0.03,,,,1.0,1.0,10.0,7.0,,1.0,1.0,,3.0,3.0,1.0,1.0,,,,7.0,,0.8408,0.53,2.0,,,,2.0,,1.0,1.0,0.9884,,,
