match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_totalClearance,stat_keyPass,stat_accurateCross,stat_aerialWon,stat_shotOffTarget,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,player_sofascoreId,stat_penaltyConceded,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_punches,stat_ownGoals,stat_goalAssist,stat_totalOffside
10434068,home,Alanyaspor,Yusuf Karagöz,Yusuf Karagoz,,yusuf-karagoz,Y. Karagöz,G,99,195.0,32,M,1133582,EUR,939081600,G,99,99,False,24.0,23.0,3.0,2.0,21.0,22.0,2.0,2.0,14.0,1.0,1.0,1.0,90.0,33.0,5.9,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434068,home,Alanyaspor,Fatih Aksoy,,,fatih-aksoy,F. Aksoy,D,20,189.0,68,M,827922,EUR,878774400,D,20,20,False,56.0,50.0,1.0,1.0,24.0,24.0,26.0,35.0,5.0,,,,60.0,68.0,6.4,10.0,0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,
10434068,home,Alanyaspor,Furkan Bayır,,,furkan-bayir,F. Bayır,D,23,188.0,77,M,1003161,EUR,950054400,D,4,4,False,82.0,76.0,9.0,6.0,45.0,48.0,31.0,34.0,6.0,,,,90.0,90.0,6.4,7.0,0,,2.0,5.0,2.0,,,1.0,2.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10434068,home,Alanyaspor,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185.0,277,M,171625,EUR,779068800,D,29,29,False,72.0,67.0,4.0,3.0,29.0,31.0,40.0,47.0,3.0,,,,90.0,86.0,6.6,11.0,1,6.0,,1.0,4.0,1.0,,,,,1.0,3.0,,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10434068,home,Alanyaspor,Daniel Candeias,Daniel,Candeias,daniel-candeias,D. Candeias,M,21,177.0,77,M,41835,EUR,572745600,M,21,21,False,57.0,48.0,2.0,1.0,7.0,7.0,43.0,61.0,4.0,,,,90.0,86.0,7.0,23.0,1,11.0,3.0,14.0,5.0,2.0,1.0,,4.0,3.0,2.0,,6.0,2.0,,3.0,2.0,,,True,2.0,1.0,1.0,1.0,,,,,,,,,,,
10434068,home,Alanyaspor,Leroy Fer,,,leroy-fer,L. Fer,M,8,188.0,134,M,31821,EUR,631497600,M,8,8,False,36.0,34.0,1.0,,17.0,17.0,17.0,19.0,3.0,,,,59.0,47.0,6.1,7.0,0,,,7.0,5.0,1.0,,,2.0,1.0,2.0,2.0,2.0,2.0,,,,1.0,,,2.0,,,,,,,,,,,,,,
10434068,home,Alanyaspor,Oussama Targhalline,Oussama Targhalline,,oussama-targhalline,O. Targhalline,M,28,186.0,7779,M,1095731,EUR,1021852800,M,18,18,False,36.0,30.0,3.0,1.0,12.0,14.0,18.0,22.0,3.0,,,,59.0,48.0,6.2,9.0,0,,1.0,4.0,3.0,2.0,2.0,2.0,,,1.0,1.0,2.0,,,,,,,,1.0,,,,targhaoussama,1.0,,,,,,,,,
10434068,home,Alanyaspor,Tayfur Bingöl,,,tayfur-bingol,T. Bingöl,M,75,180.0,461,M,255957,EUR,726710400,M,75,75,False,34.0,31.0,1.0,,9.0,11.0,22.0,24.0,5.0,,,,60.0,49.0,6.0,8.0,2,1.0,1.0,4.0,2.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,2.0,,,,,,1.0,1.0,,,,,,,
10434068,home,Alanyaspor,Zinedine Ferhat,,,zinedine-ferhat,Z. Ferhat,M,8,183.0,1385,M,842400,EUR,730944000,F,10,10,False,52.0,44.0,3.0,2.0,5.0,7.0,41.0,54.0,4.0,,,,90.0,77.0,7.8,18.0,2,9.0,,2.0,7.0,3.0,1.0,,2.0,1.0,1.0,4.0,,,1.0,2.0,2.0,,2.0,,,,,,,,,,1.0,1.0,,,,,
10434068,home,Alanyaspor,Efkan Bekiroğlu,,,efkan-bekiroglu,E. Bekiroğlu,M,11,185.0,172,M,800458,EUR,811036800,F,11,11,False,49.0,45.0,4.0,4.0,10.0,10.0,35.0,39.0,2.0,,,,90.0,65.0,7.6,9.0,2,,,4.0,6.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,
