match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_wonContest,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_shotOffTarget,stat_unsuccessfulTouch,captain,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside
10408435,home,Real Betis,Rui Silva,Rui,Silva,rui-silva,R. Silva,G,1,191,3299,M,253809,EUR,760579200,G,13,13,False,24.0,15.0,16.0,7.0,11.0,14.0,4.0,10.0,1.0,1.0,3.0,7.0,2.0,3.0,1.0,90.0,35.0,6.8,10.0,0.0,0.0,0.00034534,0,-0.0044999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
10408435,home,Real Betis,Martín Montoya,,,martin-montoya,M. Montoya,D,,174,175,M,99517,EUR,671587200,D,2,2,False,39.0,33.0,3.0,1.0,11.0,12.0,22.0,27.0,1.0,3.0,3.0,4.0,,,,90.0,57.0,6.7,7.0,0.0,0.0,0.00873116,0,,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10408435,home,Real Betis,Luiz Felipe,,,luiz-felipe,L. Felipe,D,5,187,1042,M,850035,EUR,858988800,D,19,19,False,35.0,28.0,3.0,,21.0,22.0,7.0,13.0,2.0,4.0,7.0,2.0,,,,90.0,47.0,7.0,7.0,0.0,0.0,0.00166267,0,,2.0,2.0,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,
10408435,home,Real Betis,Edgar González,,,edgar-gonzalez,E. González,D,12,193,375,M,914522,EUR,859852800,D,3,3,False,32.0,29.0,2.0,1.0,22.0,23.0,7.0,9.0,,1.0,6.0,2.0,,,,90.0,41.0,6.6,3.0,0.0,0.0,0.00814383,0,,2.0,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10408435,home,Real Betis,Juan Miranda,,,juan-miranda,J. Miranda,D,33,185,2208,M,855829,EUR,948240000,D,33,33,False,41.0,33.0,6.0,1.0,10.0,11.0,27.0,38.0,1.0,6.0,4.0,3.0,,,,90.0,76.0,7.9,16.0,0.0896,0.1547,0.343945,1,,1.0,4.0,1.0,,2.0,3.0,1.0,,,8.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,,
10408435,home,Real Betis,Guido Rodríguez,,,guido-rodriguez,G. Rodríguez,M,2,185,3908,M,609752,EUR,766108800,M,5,5,False,55.0,50.0,3.0,3.0,24.0,27.0,26.0,28.0,4.0,13.0,3.0,8.0,,,,90.0,78.0,7.9,7.0,0.049,0.0985,0.0409474,2,,1.0,3.0,,,3.0,7.0,5.0,,,,,1.0,1.0,1.0,,2.0,,guiido_rodriguez,1.0,1.0,,,,,,
10408435,home,Real Betis,Andrés Guardado,,,andres-guardado,A. Guardado,M,,169,1007,M,14942,EUR,528249600,M,18,18,False,58.0,53.0,5.0,2.0,23.0,25.0,30.0,33.0,,1.0,,2.0,,,,89.0,64.0,6.5,5.0,0.0,0.0,0.0210353,0,,1.0,3.0,,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,True,,,,,
10408435,home,Real Betis,Luiz Henrique,Luiz Henrique,,luiz-henrique,L. Henrique,M,11,182,12996,M,1035995,EUR,978393600,M,11,11,False,24.0,19.0,,,4.0,4.0,15.0,21.0,3.0,7.0,,3.0,,,,90.0,45.0,6.8,14.0,0.4379,0.3565,0.666025,4,,3.0,10.0,6.0,,1.0,,,2.0,3.0,1.0,,,2.0,2.0,,1.0,2.0,luizhenrique_07,1.0,2.0,,1.0,1.0,1.0,1.0,
10408435,home,Real Betis,William Carvalho,,,william-carvalho,W. Carvalho,M,41,187,1602,M,137978,EUR,702604800,M,14,14,False,42.0,37.0,6.0,4.0,6.0,6.0,31.0,36.0,2.0,9.0,2.0,2.0,,,,81.0,61.0,7.9,8.0,0.3265,0.4816,0.0679343,4,,,3.0,5.0,,,1.0,,,3.0,,,,1.0,2.0,1.0,3.0,1.0,,1.0,,,,,,1.0,
10408435,home,Real Betis,Ayoze Pérez,,,ayoze-perez,A. Pérez,F,22,180,3785,M,345195,EUR,743385600,M,21,21,False,25.0,23.0,,,10.0,11.0,13.0,15.0,,7.0,1.0,8.0,,,,89.0,47.0,7.9,9.0,1.0653,0.8485,0.0818918,3,,2.0,6.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,4.0,2.0,,2.0,4.0,,1.0,,1.0,,
