match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_outfielderBlock,player_firstName,player_lastName,stat_totalContest,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_wonTackle,stat_wasFouled,stat_onTargetScoringAttempt,captain,stat_accurateCross,stat_goals,stat_totalOffside,stat_shotOffTarget,stat_penaltyWon,stat_bigChanceMissed,stat_clearanceOffLine,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded,stat_bigChanceCreated
10411607,home,Roma,Rui Patrício,rui-patricio,R. Patrício,G,190,3199,M,rpatricio1,17737,EUR,571881600,G,1,1,False,24.0,15.0,14.0,6.0,11.0,13.0,4.0,11.0,8.0,1.0,1.0,1.0,90.0,28.0,7.1,9.0,0.0,0.0,0.00111812,0,0.0186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411607,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,190,4038,M,,611210,EUR,829699200,D,23,23,False,50.0,43.0,7.0,5.0,31.0,33.0,12.0,18.0,3.0,,,,90.0,61.0,7.0,10.0,0.02,0.0,0.00658415,1,,23,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10411607,home,Roma,Chris Smalling,chris-smalling,C. Smalling,D,192,1660,M,,47741,EUR,627696000,D,6,6,False,24.0,17.0,4.0,1.0,14.0,16.0,3.0,8.0,6.0,,,,90.0,37.0,7.6,7.0,0.0,0.0,0.00101368,0,,5,,1.0,,1.0,,,6.0,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
10411607,home,Roma,Roger Ibañez,roger-ibanez,R. Ibañez,D,185,2299,M,,888949,EUR,911779200,D,3,3,False,49.0,46.0,3.0,2.0,34.0,34.0,12.0,15.0,8.0,,,,90.0,60.0,6.9,6.0,0.0876,0.0,0.00343147,2,,3,,3.0,3.0,3.0,1.0,2.0,3.0,3.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10411607,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,180,2880,M,,893008,EUR,856137600,M,19,19,False,35.0,25.0,2.0,1.0,15.0,18.0,10.0,18.0,7.0,,,,90.0,66.0,6.5,17.0,0.0393,0.0,0.00614539,1,,19,1.0,,9.0,6.0,3.0,1.0,4.0,1.0,2.0,,4.0,,,,,3.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
10411607,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,186,2731,M,,186855,EUR,794188800,M,4,4,False,47.0,39.0,7.0,4.0,22.0,22.0,17.0,26.0,10.0,,,,90.0,62.0,7.4,11.0,0.037,0.1574,0.00719521,1,,4,1.0,3.0,3.0,9.0,1.0,,1.0,,4.0,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10411607,home,Roma,Benjamin Tahirović,benjamin-tahirovic,B. Tahirović,M,191,1887,M,,1102659,EUR,1046649600,M,68,68,False,22.0,16.0,2.0,,11.0,14.0,5.0,8.0,5.0,,,,64.0,28.0,6.7,6.0,0.0,0.0,0.00254193,0,,8,,2.0,1.0,3.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
10411607,home,Roma,Stephan El Shaarawy,stephan-el-shaarawy,S. El Shaarawy,F,178,5712,M,stewel92,45925,EUR,720144000,M,92,92,False,22.0,16.0,,,12.0,14.0,4.0,8.0,2.0,,,,64.0,39.0,6.4,11.0,0.0649,0.0,0.00251495,1,,22,,,4.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,
10411607,home,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,186,5687,M,lorepelle7,555540,EUR,835142400,F,7,7,False,40.0,31.0,5.0,1.0,19.0,19.0,13.0,24.0,6.0,,,,90.0,55.0,7.4,15.0,0.7884,0.9938,0.0401721,1,,7,3.0,1.0,4.0,4.0,1.0,,1.0,,1.0,2.0,,2.0,,,,2.0,2.0,,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,,,,,,,,,,
10411607,home,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,177,117714,M,LaJoya,256219,EUR,753321600,F,21,21,False,26.0,23.0,1.0,1.0,7.0,8.0,16.0,18.0,3.0,,,,74.0,39.0,6.9,8.0,0.101,0.0,0.014998,2,,21,,,4.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,2.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,
10411607,home,Roma,Nicolò Zaniolo,nicolo-zaniolo,N. Zaniolo,F,189,9127,M,nicolozaniolo,864898,EUR,930873600,F,22,22,False,7.0,4.0,,,1.0,2.0,3.0,6.0,1.0,,,,60.0,18.0,6.7,6.0,0.3599,1.047,0.0144471,4,,10,1.0,1.0,4.0,3.0,1.0,,,,,1.0,3.0,,,,,,2.0,,,,2.0,2.0,,,,,2.0,,1.0,,,,,,,
10411607,home,Roma,Tammy Abraham,tammy-abraham,T. Abraham,F,195,19720,M,tammy_abraham,610766,EUR,875750400,F,9,9,True,9.0,7.0,1.0,,4.0,4.0,3.0,5.0,2.0,,,,30.0,13.0,7.1,5.0,0.0,0.0,0.0180747,0,,18,,2.0,2.0,2.0,1.0,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
