match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wonContest,stat_wasFouled,stat_accurateCross,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented
12437659,home,Athletic Club,Julen Agirrezabala,,,julen-agirrezabala,J. Agirrezabala,G,25,187,1097,M,1014412,EUR,977788800,G,13,13,False,33.0,23.0,17.0,7.0,0.0,19.0,21.0,4.0,12.0,8.0,1.0,3.0,3.0,90.0,38.0,6.9,10.0,0.00122565,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437659,home,Athletic Club,Óscar de Marcos,,,oscar-de-marcos,Ó. de Marcos,D,10,180,561,M,52663,EUR,608515200,D,18,18,False,44.0,33.0,5.0,1.0,1.0,19.0,21.0,14.0,25.0,3.0,,,,90.0,75.0,6.8,21.0,0.0729604,0,True,2.0,1.0,1.0,9.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12437659,home,Athletic Club,Daniel Vivian,,,daniel-vivian,D. Vivian,D,3,183,3110,M,910978,EUR,931132800,D,3,3,False,76.0,68.0,7.0,4.0,0.0,50.0,51.0,18.0,25.0,9.0,,,,90.0,94.0,7.5,11.0,0.00843235,0,,,2.0,4.0,5.0,8.0,,3.0,2.0,8.0,1.0,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,
12437659,home,Athletic Club,Yeray Álvarez,,,yeray-alvarez,Y. Álvarez,D,5,183,811,M,807648,EUR,790905600,D,5,5,False,57.0,43.0,12.0,4.0,0.0,32.0,35.0,11.0,22.0,1.0,,,,90.0,69.0,7.1,15.0,0.00568424,0,,,,1.0,1.0,4.0,,,,6.0,2.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,
12437659,home,Athletic Club,Adama Boiro,Adama Boiro,,adama-boiro,A. Boiro,D,19,182,1918,M,1398511,EUR,1024704000,D,32,32,False,25.0,19.0,1.0,,0.0,7.0,8.0,13.0,20.0,1.0,,,,79.0,45.0,7.1,10.0,0.0808225,0,,3.0,2.0,4.0,5.0,8.0,,,3.0,2.0,1.0,2.0,2.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,
12437659,home,Athletic Club,Mikel Jauregizar,,,mikel-jauregizar,M. Jauregizar,M,18,177,1766,M,1495844,EUR,1068681600,M,31,31,False,44.0,39.0,7.0,4.0,0.0,15.0,16.0,25.0,32.0,5.0,,,,90.0,59.0,6.9,12.0,0.0707869,0,,4.0,2.0,1.0,7.0,4.0,3.0,1.0,,2.0,,2.0,2.0,2.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,
12437659,home,Athletic Club,Beñat Prados,,,benat-prados,B. Prados,M,24,179,600,M,1012409,EUR,981590400,M,24,24,False,40.0,33.0,2.0,1.0,0.0,13.0,13.0,20.0,27.0,4.0,,,,71.0,52.0,7.7,10.0,0.0407773,1,,,,1.0,4.0,4.0,,3.0,,2.0,3.0,2.0,2.0,,1.0,1.0,,1.0,,,1.0,1.0,0.0289,0.0611,,,,,,,,,,
12437659,home,Athletic Club,Iñaki Williams,,,inaki-williams,I. Williams,M,9,186,20741,M,783374,EUR,771638400,M,9,9,False,24.0,14.0,1.0,,0.0,2.0,2.0,14.0,28.0,4.0,,,,90.0,41.0,6.8,17.0,0.144653,3,,6.0,1.0,2.0,5.0,4.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,0.2337,0.4005,IñakiWill,1.0,1.0,1.0,1.0,,,,,
12437659,home,Athletic Club,Oihan Sancet,,,oihan-sancet,O. Sancet,M,8,188,3356,M,966801,EUR,956620800,M,8,8,False,30.0,24.0,2.0,2.0,0.0,8.0,8.0,16.0,25.0,6.0,,,,71.0,45.0,6.7,13.0,0.0294976,1,,3.0,1.0,,5.0,3.0,1.0,2.0,3.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,,0.4309,,,1.0,1.0,,,,,,,
12437659,home,Athletic Club,Álvaro Djaló,Álvaro Djaló,,alvaro-djalo,Á. Djaló,F,14,176,1150,M,1160960,EUR,934761600,M,11,11,False,9.0,7.0,,,0.0,,,8.0,10.0,1.0,,,,58.0,21.0,6.4,8.0,0.0192818,0,,1.0,1.0,,5.0,2.0,1.0,,2.0,,,,,3.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
12437659,home,Athletic Club,Gorka Guruzeta,,,gorka-guruzeta,G. Guruzeta,F,11,188,2498,M,605672,EUR,842486400,F,12,12,False,13.0,10.0,1.0,,0.0,3.0,4.0,7.0,9.0,3.0,,,,70.0,24.0,6.7,8.0,0.008738,3,,,3.0,1.0,7.0,2.0,,1.0,1.0,1.0,,1.0,,3.0,2.0,,,,,,1.0,,0.3022,0.1274,,,,2.0,,,,,,
