match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_interceptionWon,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAGoal,stat_clearanceOffLine
13472873,home,Fortaleza,Magrão,Magrão,,magrao,Magrão,G,15,197.0,179,M,1083070,EUR,958348800,G,15,15,False,19.0,15.0,12.0,8.0,0.0,9.0,9.0,6.0,10.0,6.0,1.0,3.0,3.0,90.0,26.0,7.2,4.0,0.00070005,0,0.1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472873,home,Fortaleza,Tinga,,,tinga,Tinga,D,2,179.0,424,M,330057,EUR,746841600,D,2,2,False,29.0,27.0,4.0,4.0,0.0,9.0,9.0,18.0,20.0,2.0,,,,90.0,45.0,6.9,4.0,0.00711167,0,,True,1.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
13472873,home,Fortaleza,Benjamin Kuscevic,,,benjamin-kuscevic,B. Kuscevic,D,13,185.0,1470,M,590324,EUR,830995200,D,13,13,False,30.0,25.0,9.0,6.0,0.0,15.0,16.0,10.0,14.0,3.0,,,,90.0,44.0,7.7,5.0,0.00380219,2,,,1.0,2.0,3.0,7.0,1.0,,,6.0,,,,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.653,0.6051,,,,,,,,,,
13472873,home,Fortaleza,Gastón Ávila,,,gaston-avila,G. Ávila,D,13,182.0,1203,M,975526,EUR,1001808000,D,3,3,False,34.0,27.0,8.0,5.0,0.0,17.0,18.0,10.0,16.0,6.0,,,,90.0,45.0,7.1,8.0,0.0044121,1,,,2.0,,3.0,5.0,,,,3.0,,,1.0,,,1.0,,,4.0,3.0,1.0,0.0115,0.0341,1.0,,,,,,,,,
13472873,home,Fortaleza,Diogo Barbosa,,,diogo-barbosa,D. Barbosa,D,16,180.0,555,M,243107,EUR,714009600,D,16,16,False,30.0,29.0,4.0,3.0,0.0,12.0,12.0,17.0,18.0,6.0,,,,90.0,53.0,7.3,4.0,0.29222,0,,,1.0,1.0,1.0,5.0,,,,3.0,,2.0,3.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,
13472873,home,Fortaleza,Tomás Pochettino,,,tomas-pochettino,T. Pochettino,M,7,178.0,994,M,824626,EUR,823132800,M,7,7,False,10.0,7.0,,,1.0,2.0,2.0,5.0,8.0,,,,,29.0,17.0,6.8,6.0,0.0847526,0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,2.0,2.0,,,,2.0,,2.0,1.0,,,,,,
13472873,home,Fortaleza,Lucas Sasha,,,lucas-sasha,L. Sasha,M,88,177.0,479,M,123225,EUR,636249600,M,88,88,False,38.0,32.0,2.0,1.0,0.0,15.0,18.0,17.0,20.0,7.0,,,,90.0,57.0,7.4,7.0,0.00822089,0,,,,1.0,7.0,10.0,5.0,,,1.0,,,1.0,,,,,,8.0,5.0,1.0,,,,6.0,1.0,,1.0,,,,,
13472873,home,Fortaleza,Matheus Pereira,,,pereira-matheus,M. Pereira,M,23,181.0,3434,M,795268,EUR,888364800,M,5,5,False,37.0,32.0,2.0,,1.0,13.0,14.0,19.0,23.0,7.0,,,,81.0,54.0,7.4,7.0,0.637004,2,,,,1.0,3.0,3.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,2.0,0.2522,,2.0,4.0,3.0,2.0,,1.0,1.0,,,
13472873,home,Fortaleza,Marinho,,,marinho,Marinho,M,7,169.0,2296,M,798127,EUR,643939200,F,11,11,False,15.0,11.0,4.0,1.0,0.0,3.0,4.0,8.0,11.0,3.0,,,,70.0,34.0,7.6,7.0,0.0848681,7,,,1.0,,3.0,3.0,,1.0,1.0,,,3.0,1.0,2.0,1.0,2.0,,,1.0,1.0,2.0,0.5885,0.6479,,,2.0,,,1.0,4.0,1.0,,
13472873,home,Fortaleza,Deyverson,,,deyverson,Deyverson,F,16,185.0,4460,M,270287,EUR,673660800,F,18,18,False,20.0,13.0,1.0,1.0,0.0,5.0,5.0,8.0,15.0,1.0,,,,81.0,33.0,7.7,13.0,0.0123513,2,,,4.0,13.0,6.0,15.0,,,,,,4.0,3.0,,1.0,1.0,1.0,,,,,0.0764,0.5066,,,2.0,,2.0,,,,,
