match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_interceptionWon,stat_challengeLost,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,captain,stat_outfielderBlock,stat_blockedScoringAttempt,player_sofascoreId,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goodHighClaim,stat_punches,stat_lastManTackle
12501554,home,Empoli,Devis Vásquez,devis-vasquez,D. Vásquez,G,32,195,2465,M,925285,EUR,894931200,G,23,23,False,19.0,11.0,14.0,6.0,0.0,5.0,5.0,6.0,14.0,1.0,6.0,1.0,1.0,1.0,90.0,22.0,6.9,8.0,0.00346238,0,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501554,home,Empoli,Saba Goglichidze,saba-goglichidze,S. Goglichidze,D,3,192,1618,M,1126175,EUR,1088121600,D,2,2,False,24.0,19.0,3.0,1.0,0.0,14.0,16.0,5.0,9.0,7.0,4.0,,,,90.0,42.0,7.5,8.0,0.00170604,0,,,,1.0,2.0,2.0,3.0,9.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12501554,home,Empoli,Luca Marianucci,marianucci-luca,L. Marianucci,D,35,186,890,M,1165371,EUR,1090540800,D,35,35,False,25.0,21.0,7.0,3.0,0.0,11.0,11.0,10.0,14.0,11.0,3.0,,,,90.0,48.0,7.3,7.0,0.00551847,0,,,,,3.0,3.0,5.0,7.0,1.0,,1.0,,1.0,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,
12501554,home,Empoli,Mattia Viti,mattia-viti,M. Viti,D,2,190,528,M,1009268,EUR,1011830400,D,21,21,False,27.0,19.0,6.0,1.0,0.0,11.0,12.0,8.0,15.0,9.0,,,,,90.0,43.0,7.0,9.0,0.0113635,0,,,,,4.0,2.0,7.0,4.0,,,2.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12501554,home,Empoli,Junior Sambia,junior-sambia,J. Sambia,M,,185,154,M,603738,EUR,842054400,M,7,7,False,19.0,15.0,,,0.0,3.0,3.0,12.0,17.0,1.0,1.0,,,,65.0,38.0,6.6,10.0,0.0349744,1,,,,1.0,1.0,1.0,4.0,1.0,3.0,,,,2.0,,,,1.0,,1.0,1.0,0.0307,,,,,,,,,,,,,
12501554,home,Empoli,Alberto Grassi,alberto-grassi,A. Grassi,M,33,183,263,M,186845,EUR,794534400,M,5,5,False,33.0,19.0,9.0,2.0,0.0,5.0,5.0,14.0,28.0,2.0,7.0,,,,90.0,42.0,6.9,15.0,0.0125703,0,,,,,2.0,,2.0,2.0,,,,,1.0,2.0,,,2.0,,,,,True,1.0,,,,,,,,,,,
12501554,home,Empoli,Liam Henderson,liam-henderson,L. Henderson,M,16,183,304,M,287573,EUR,830390400,M,6,6,False,35.0,24.0,9.0,5.0,0.0,10.0,10.0,14.0,31.0,5.0,7.0,,,,90.0,53.0,6.9,18.0,0.0224275,2,,,,6.0,1.0,3.0,5.0,4.0,,,1.0,,1.0,1.0,4.0,,,,,1.0,0.0761,,,1.0,,,,,,,,,,
12501554,home,Empoli,Giuseppe Pezzella,giuseppe-pezzella,G. Pezzella,M,3,187,619,M,814589,EUR,880761600,M,3,3,False,17.0,8.0,3.0,,0.0,3.0,4.0,5.0,14.0,2.0,1.0,,,,90.0,40.0,6.8,13.0,0.0161143,0,,,,1.0,,3.0,2.0,8.0,1.0,1.0,4.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
12501554,home,Empoli,Christian Kouamé,christian-kouame,C. Kouamé,F,31,185,2375,M,812946,EUR,881366400,F,18,18,False,24.0,15.0,,,0.0,2.0,2.0,13.0,22.0,,4.0,,,,70.0,37.0,7.2,13.0,0.0131245,2,,,,,,7.0,2.0,10.0,2.0,1.0,,,2.0,2.0,,1.0,,,1.0,1.0,0.1366,,1.0,1.0,christianmichael.11,,,,,,,,,
12501554,home,Empoli,Liberato Cacace,liberato-cacace,L. Cacace,D,13,184,514,M,905264,EUR,970012800,F,13,13,False,20.0,9.0,3.0,1.0,0.0,2.0,3.0,8.0,21.0,1.0,3.0,,,,90.0,37.0,6.5,20.0,0.0619919,1,,,,4.0,4.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,5.0,,1.0,,2.0,,,,0.0838,,,,,1.0,1.0,1.0,1.0,0.1526,,,,
