match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_outfielderBlock,stat_errorLeadToAGoal,stat_wasFouled,stat_fouls,stat_keyPass,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,captain,stat_accurateCross,stat_goalAssist,stat_goals,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_hitWoodwork
10406767,home,Royale Union Saint-Gilloise,Anthony Moris,anthony-moris,A. Moris,G,49,184,297,M,39457,EUR,641347200,G,49,49,False,31.0,23.0,10.0,3.0,21.0,26.0,2.0,5.0,2.0,2.0,10.0,2.0,2.0,1.0,1.0,90.0,41.0,5.5,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406767,home,Royale Union Saint-Gilloise,Ismael Kandouss,ismael-kandouss,I. Kandouss,D,27,192,739,M,934196,EUR,879292800,D,59,59,False,37.0,27.0,1.0,1.0,14.0,18.0,13.0,19.0,3.0,,3.0,,,,,45.0,59.0,6.2,13.0,0,,,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10406767,home,Royale Union Saint-Gilloise,Christian Burgess,christian-burgess,C. Burgess,D,16,196,311,M,303634,EUR,686793600,D,16,16,False,75.0,65.0,12.0,6.0,43.0,45.0,22.0,30.0,1.0,,10.0,,,,,90.0,85.0,6.4,11.0,0,,,1.0,,4.0,,,,1.0,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
10406767,home,Royale Union Saint-Gilloise,Koki Machida,koki-machida,K. Machida,D,28,190,1344,M,790977,EUR,872467200,D,28,28,False,63.0,58.0,2.0,2.0,28.0,28.0,30.0,37.0,7.0,2.0,12.0,,,,,90.0,87.0,6.6,9.0,0,,,3.0,1.0,6.0,,,,4.0,,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10406767,home,Royale Union Saint-Gilloise,Bart Nieuwkoop,bart-nieuwkoop,B. Nieuwkoop,D,2,180,338,M,797279,EUR,826156800,M,2,2,False,37.0,23.0,1.0,,9.0,12.0,14.0,28.0,4.0,2.0,9.0,,,,,90.0,56.0,6.6,21.0,0,,,1.0,2.0,8.0,1.0,1.0,1.0,3.0,,4.0,3.0,3.0,3.0,,,1.0,,1.0,,,,,,,,,,,,,,
10406767,home,Royale Union Saint-Gilloise,Cameron Puertas,cameron-puertas,C. Puertas,M,18,178,1148,M,916176,EUR,903398400,M,23,23,False,59.0,39.0,2.0,1.0,13.0,16.0,26.0,44.0,7.0,2.0,9.0,,,,,90.0,81.0,7.2,25.0,3,,,1.0,3.0,14.0,,2.0,1.0,,,6.0,4.0,3.0,1.0,,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10406767,home,Royale Union Saint-Gilloise,Senne Lynen,senne-lynen,S. Lynen,M,14,182,401,M,826171,EUR,919382400,M,20,20,False,67.0,49.0,12.0,2.0,19.0,22.0,30.0,45.0,13.0,5.0,9.0,,,,,90.0,86.0,5.4,24.0,0,,,3.0,2.0,5.0,2.0,4.0,1.0,,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10406767,home,Royale Union Saint-Gilloise,Teddy Teuma,teddy-teuma,T. Teuma,M,80,176,879,M,829643,EUR,749347200,M,10,10,False,63.0,53.0,6.0,5.0,18.0,18.0,36.0,51.0,7.0,2.0,8.0,,,,,78.0,90.0,6.8,20.0,1,,,,,5.0,1.0,2.0,,,,2.0,,2.0,6.0,,,3.0,2.0,3.0,,,,1.0,True,1.0,,,,,,,,
10406767,home,Royale Union Saint-Gilloise,Loïc Lapoussin,loic-lapoussin,L. Lapoussin,M,,181,702,M,902987,EUR,827884800,M,94,94,False,54.0,45.0,3.0,2.0,10.0,11.0,35.0,49.0,7.0,1.0,9.0,,,,,90.0,80.0,7.2,23.0,1,,,,1.0,9.0,1.0,9.0,5.0,,,2.0,2.0,3.0,6.0,,,1.0,1.0,2.0,1.0,,,1.0,,,1.0,,,,,,,
10406767,home,Royale Union Saint-Gilloise,Yorbe Vertessen,yorbe-vertessen,Y. Vertessen,F,11,176,940,M,909958,EUR,978912000,F,18,18,False,5.0,3.0,,,,,3.0,5.0,4.0,1.0,1.0,,,,,57.0,12.0,7.2,4.0,3,,,2.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,3.0,,,,,1.0,,,,,,
