match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_keyPass,player_firstName,stat_aerialLost,stat_challengeLost,stat_penaltyConceded,stat_unsuccessfulTouch,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,player_lastName,stat_penaltyWon
12437652,home,Barcelona,Marc-André Ter Stegen,marc-andre-ter-stegen,M. ter Stegen,G,22,187,119658,M,terStegen,88625,EUR,704592000,G,1,1,False,True,28.0,27.0,6.0,5.0,0.0,24.0,24.0,3.0,4.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,44.0,7.2,1.0,0.00064004,0,-0.1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437652,home,Barcelona,Jules Koundé,jules-kounde,J. Koundé,D,23,180,147044,M,JKoundé,827212,EUR,910828800,D,23,23,False,,57.0,50.0,8.0,7.0,0.0,30.0,33.0,21.0,26.0,1.0,5.0,,,,,,,,90.0,84.0,7.1,11.0,0.0951278,0,,2.0,1.0,2.0,4.0,6.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12437652,home,Barcelona,Pau Cubarsí,pau-cubarsi,P. Cubarsí,D,5,184,156448,M,PauCubarsí,1402913,EUR,1169424000,D,2,2,False,,88.0,82.0,4.0,1.0,0.0,56.0,59.0,26.0,29.0,2.0,2.0,,,,,,,,90.0,93.0,6.3,6.0,0.0149618,0,,,,2.0,7.0,4.0,,,,,1.0,1.0,1.0,3.0,,,Pau Cubarsí,2.0,2.0,1.0,,,,,,,,,,,,,
12437652,home,Barcelona,Iñigo Martínez,inigo-martinez,I. Martínez,D,26,181,62317,M,IñigoMartínez,173883,EUR,674438400,D,5,5,False,,98.0,91.0,4.0,2.0,0.0,57.0,58.0,34.0,40.0,3.0,4.0,,,,,,,,90.0,104.0,7.3,7.0,0.0489921,0,,,,4.0,1.0,6.0,,,1.0,,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,
12437652,home,Barcelona,Alejandro Balde,alejandro-balde,A. Balde,D,3,175,128076,M,AlejandroBalde,997035,EUR,1066435200,D,3,3,False,,51.0,45.0,,,0.0,27.0,30.0,19.0,23.0,,2.0,,,,,,,,89.0,70.0,7.1,13.0,0.0291455,0,,2.0,1.0,,3.0,4.0,,3.0,1.0,1.0,1.0,1.0,3.0,,,1.0,,,,,2.0,,,,,,,,,,,,
12437652,home,Barcelona,Marc Bernal,marc-bernal,M. Bernal,M,22,191,55696,M,marc_bernal,1526618,EUR,1180137600,M,28,28,False,,53.0,51.0,4.0,3.0,0.0,25.0,26.0,26.0,27.0,1.0,3.0,,,,,,,,83.0,58.0,6.8,2.0,0.0362199,0,,,,,6.0,3.0,,2.0,,,1.0,1.0,,2.0,,,,4.0,,,,2.0,,,,,,,,,,,
12437652,home,Barcelona,Pedri,pedri,Pedri,M,8,174,636700,M,Pedri,992587,EUR,1038182400,M,8,8,False,,53.0,46.0,1.0,1.0,0.0,17.0,21.0,29.0,33.0,,6.0,,,,,,,,90.0,64.0,8.0,11.0,0.407095,0,,1.0,,,2.0,4.0,,3.0,,1.0,2.0,1.0,,,,5.0,,,1.0,,2.0,2.0,1.0,,,,,,,,,,
12437652,home,Barcelona,Lamine Yamal,lamine-yamal,L. Yamal,M,10,180,1693852,M,Lamiyamal,1402912,EUR,1184284800,M,19,19,False,,36.0,27.0,,,0.0,6.0,9.0,21.0,29.0,,5.0,,,,,,,,89.0,60.0,7.4,20.0,0.0712705,2,,2.0,,,8.0,8.0,,7.0,,,2.0,2.0,3.0,3.0,,,,,1.0,,3.0,3.0,,1.0,1.0,1.0,0.0545,0.4316,,,,,
12437652,home,Barcelona,Raphinha,raphinha,Raphinha,M,11,176,878494,M,Raphinha,831005,EUR,850521600,M,11,11,False,,42.0,35.0,7.0,6.0,0.0,10.0,12.0,28.0,36.0,,3.0,,,,,,,,90.0,73.0,8.6,15.0,0.427142,4,,6.0,3.0,,5.0,9.0,1.0,5.0,,2.0,3.0,2.0,3.0,,,3.0,,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,0.5009,0.0915,1.0,2.0,,,
12437652,home,Barcelona,Ferran Torres,ferran-torres,F. Torres,F,7,185,144391,M,FerranTorres,855833,EUR,951782400,M,7,7,False,,21.0,16.0,,,0.0,6.0,6.0,10.0,15.0,,1.0,,,,,,,,63.0,29.0,7.1,6.0,0.0281402,1,,,,,,4.0,,3.0,,,,,1.0,,1.0,,,,,,1.0,3.0,,,1.0,,0.0288,0.0305,,,,,
