match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_sofascoreId,stat_dispossessed,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_goals,captain,stat_blockedScoringAttempt,stat_outfielderBlock,stat_challengeLost
14771921,home,Al-Nassr,Nawaf Al-Aqidi,,,nawaf-al-aqidi,N. Al-Aqidi,G,1,188.0,1512,M,1014518,EUR,957916800.0,G,1,1,False,12.0,10.0,5.0,3.0,0.0,8.0,8.0,2.0,4.0,1.0,1.0,2.0,11.0,1.0,1.0,2.0,1.0,2.0,2.0,90.0,21.0,7.3,2.0,0.00067312,16.789015563462,3.0,13.23,8.295,0.1786,0,0.3307,0.06,0.04,0.27,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771921,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173.0,1607,M,830126,EUR,768182400.0,D,2,2,False,36.0,33.0,3.0,3.0,0.0,10.0,11.0,23.0,25.0,3.0,6.0,2.0,1.0,,,,,,,69.0,52.0,7.8,6.0,0.33335,121.71924843173,13.0,61.53,18.69,,0,,0.48,0.26,0.14,,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,22.381179413262,2.0,2.0,,,,,,,,,,,,,,,,
14771921,home,Al-Nassr,Abdulelah Al-Amri,,,abdulelah-al-amri,A. Al-Amri,D,5,185.0,1135,M,881831,EUR,853286400.0,D,5,5,False,42.0,38.0,5.0,3.0,1.0,20.0,21.0,18.0,21.0,2.0,2.0,6.0,2.0,,,,,,,90.0,55.0,7.3,5.0,0.00839314,183.09214593234,19.0,141.855,26.985,,2,,0.27,0.19,0.19,,1.0,,1.0,2.0,,,1.0,3.0,,,,,27.568912945562,1.0,1.0,2.0,1.0,0.1311,-0.34,,,,,,,,,,,,
14771921,home,Al-Nassr,Iñigo Martínez,,,inigo-martinez,I. Martínez,D,26,181.0,62014,M,173883,EUR,674438400.0,D,26,26,False,56.0,54.0,1.0,1.0,0.0,29.0,29.0,25.0,27.0,1.0,3.0,2.0,1.0,,,,,,,90.0,63.0,7.2,4.0,0.0192591,192.20157191666,25.0,133.14,17.43,,0,,0.25,0.14,0.17,,1.0,,1.0,2.0,,,,1.0,2.0,2.0,,,19.332909662024,1.0,,,1.0,,,IñigoMartínez,,,,,,,,,,,
14771921,home,Al-Nassr,Nawaf Boushal,,,nawaf-boushal,N. Boushal,D,12,178.0,1391,M,986400,EUR,937440000.0,D,12,12,False,52.0,48.0,1.0,1.0,1.0,13.0,13.0,35.0,39.0,,5.0,3.0,1.0,,,,,,,90.0,81.0,7.8,13.0,0.175859,227.63772881636,22.0,176.82,30.03,,0,,0.44,0.38,0.17,,4.0,,1.0,3.0,,,1.0,3.0,2.0,1.0,3.0,,87.252050665361,4.0,2.0,,1.0,,,,1.0,3.0,,,,,,,,,
14771921,home,Al-Nassr,Wesley,,,wesley,Wesley,F,22,180.0,10411,M,1211632,EUR,1109980800.0,M,80,80,False,30.0,26.0,,,0.0,4.0,4.0,22.0,26.0,,4.0,,1.0,,,,,,,69.0,45.0,6.6,13.0,0.0601658,225.53603926189,20.0,121.065,27.405,,1,,-0.03,0.32,-0.01,,2.0,,,5.0,5.0,3.0,,,,,2.0,,142.36866988456,8.0,1.0,1.0,1.0,0.2098,-0.37,wesley_teixeira005,2.0,1.0,,,,,,,,,
14771921,home,Al-Nassr,Marcelo Brozović,,,marcelo-brozovic,M. Brozović,M,11,181.0,13081,M,108800,EUR,721872000.0,M,11,11,False,79.0,69.0,4.0,4.0,1.0,23.0,26.0,46.0,53.0,1.0,3.0,2.0,10.0,,,,,,,88.0,94.0,8.8,13.0,1.10282,213.70574830256,31.0,117.915,14.28,,0,,1.0,0.27,0.19,,3.0,2.0,3.0,6.0,,,1.0,1.0,2.0,1.0,,,,,3.0,,3.0,,,marcelo_brozovic,,,,,,,,,,,
14771921,home,Al-Nassr,Ângelo,Ângelo,,angelo,Ângelo,M,20,182.0,9961,M,1086455,EUR,1103587200.0,M,20,20,False,43.0,40.0,3.0,3.0,0.0,7.0,7.0,33.0,36.0,,2.0,,2.0,,,,,,,90.0,54.0,7.7,7.0,0.109161,178.44769936297,21.0,83.265,19.005,,0,,0.54,0.26,0.14,,3.0,,,1.0,2.0,2.0,,,,,1.0,,19.63876597447,1.0,1.0,,1.0,,,angelogabriel,,,,,,,,,,,
14771921,home,Al-Nassr,Kingsley Coman,,,kingsley-coman,K. Coman,M,21,178.0,32898,M,280441,EUR,834624000.0,M,21,21,False,44.0,35.0,1.0,,0.0,7.0,9.0,28.0,35.0,1.0,5.0,,7.0,,,,,,,88.0,61.0,6.8,14.0,0.163386,193.39412906863,26.0,53.025,12.915,,2,,0.18,0.15,0.0,,2.0,1.0,,1.0,3.0,2.0,,,,,3.0,,44.451120813688,4.0,1.0,1.0,,0.4244,-0.53,KingComan,,2.0,2.0,1.0,1.0,0.2361,,,,,
14771921,home,Al-Nassr,João Félix,,,joao-felix,J. Félix,F,79,181.0,126099,M,851671,EUR,942192000.0,F,79,79,False,35.0,29.0,,,0.0,5.0,6.0,24.0,29.0,2.0,5.0,,4.0,,,,,,,90.0,59.0,7.9,18.0,0.34773,183.22789014038,19.0,132.825,21.21,,4,,0.36,0.57,-0.02,,5.0,1.0,,10.0,5.0,,1.0,,1.0,1.0,1.0,,110.06211805049,8.0,4.0,3.0,4.0,0.531,0.39,JFélix,2.0,2.0,,1.0,,0.4882,1.0,,,,
14771921,home,Al-Nassr,Cristiano Ronaldo,,,cristiano-ronaldo,C. Ronaldo,F,7,187.0,2307715,M,750,EUR,476409600.0,F,7,7,False,21.0,16.0,,,0.0,3.0,3.0,13.0,18.0,,,,,,,,,,,90.0,28.0,6.8,6.0,0.069256,36.952571987819,6.0,11.865,13.125,,5,,-1.0,0.07,-0.03,,1.0,,1.0,2.0,,,,,,,,2.0,13.938453608632,1.0,,1.0,1.0,1.7464,0.46,CR7,,,1.0,3.0,,2.08,2.0,True,1.0,,
