match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_interceptionWon,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_wasFouled,captain,player_firstName,player_lastName,stat_goals,stat_hitWoodwork,stat_errorLeadToAShot,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_totalOffside
12436985,home,Arsenal,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,22,22,False,23.0,17.0,8.0,2.0,0.0,15.0,15.0,2.0,8.0,4.0,1.0,1.0,90.0,26.0,6.1,6.0,0.00138881,0,-1.7856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436985,home,Arsenal,Jurriën Timber,jurrien-timber,J. Timber,D,12,179,21624,M,jurrientimber,958959,EUR,992736000,D,12,12,False,68.0,63.0,2.0,2.0,1.0,15.0,16.0,49.0,57.0,8.0,,,90.0,97.0,8.3,13.0,0.123603,2,,5.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.2052,7.0,,,,,,,,,,,,,,,,,,,,
12436985,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,2,2,False,61.0,59.0,2.0,1.0,0.0,38.0,38.0,21.0,23.0,3.0,,,90.0,68.0,6.5,4.0,0.00999166,0,,,,2.0,1.0,5.0,3.0,,,,,,,2.0,2.0,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
12436985,home,Arsenal,Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,49131,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,87.0,80.0,5.0,1.0,0.0,33.0,34.0,47.0,53.0,1.0,,,90.0,96.0,7.2,7.0,0.0516897,3,,,,3.0,5.0,3.0,6.0,,1.0,1.0,,1.0,,4.0,,,,0.2739,,,,,1.0,2.0,0.4923,,,,,,,,,,,,,,
12436985,home,Arsenal,Riccardo Calafiori,riccardo-calafiori,R. Calafiori,D,33,188,24414,M,richycala,957602,EUR,1021766400,D,33,33,False,72.0,62.0,4.0,3.0,0.0,12.0,14.0,50.0,59.0,1.0,,,90.0,92.0,7.9,12.0,0.281873,3,,1.0,,1.0,7.0,5.0,13.0,,2.0,2.0,,,,1.0,3.0,1.0,1.0,0.4776,2.0,,,4.0,1.0,3.0,1.3318,1.0,1.0,,,,,,,,,,,,
12436985,home,Arsenal,Bukayo Saka,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,M,7,7,False,54.0,50.0,,,0.0,6.0,6.0,50.0,59.0,4.0,,,90.0,102.0,9.4,20.0,0.793105,7,,11.0,6.0,1.0,,12.0,12.0,1.0,12.0,8.0,4.0,1.0,4.0,,2.0,1.0,1.0,0.2855,8.0,6.0,1.0,,,2.0,0.1554,,2.0,True,,,,,,,,,,,
12436985,home,Arsenal,Thomas Partey,thomas-partey,T. Partey,M,16,185,42575,M,TPartey5,316148,EUR,739929600,M,5,5,False,96.0,87.0,1.0,1.0,0.0,22.0,23.0,65.0,73.0,6.0,,,85.0,107.0,7.4,11.0,0.088797,0,,,,1.0,,4.0,4.0,,,,,,,,4.0,4.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,
12436985,home,Arsenal,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,82.0,75.0,5.0,3.0,0.0,24.0,24.0,51.0,74.0,11.0,,,90.0,107.0,8.0,25.0,0.220771,3,,16.0,,,,,2.0,,,,1.0,1.0,1.0,,1.0,,2.0,0.0636,2.0,,1.0,,,1.0,0.0087,,1.0,,,,,,,,,,,,
12436985,home,Arsenal,Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180,68888,M,GabiMartinelli,922573,EUR,992822400,M,11,11,False,24.0,19.0,,,1.0,3.0,3.0,17.0,24.0,2.0,,,74.0,40.0,8.4,9.0,0.547829,4,,3.0,1.0,2.0,,4.0,3.0,,2.0,1.0,1.0,2.0,,,,,1.0,0.3859,2.0,,,1.0,1.0,2.0,0.889,,2.0,,,,1.0,,,,,,,,
12436985,home,Arsenal,Kai Havertz,kai-havertz,K. Havertz,F,29,193,67778,M,KaiHav,836705,EUR,929059200,F,29,29,False,39.0,32.0,1.0,,0.0,6.0,7.0,26.0,32.0,2.0,,,90.0,59.0,6.9,15.0,0.0396244,7,,,,2.0,4.0,8.0,7.0,1.0,3.0,1.0,,3.0,2.0,,2.0,1.0,4.0,1.8885,,2.0,,1.0,2.0,2.0,1.3578,,,,,,1.0,,,,,,,,
