match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_fouls,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_expectedGoals,captain,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
12530789,home,Konyaspor,Jakub Słowik,jakub-slowik,J. Słowik,G,24,190,232,M,95437,EUR,683596800,G,27,27,False,33.0,20.0,21.0,9.0,0.0,14.0,18.0,6.0,15.0,1.0,7.0,3.0,4.0,1.0,90.0,42.0,6.5,13.0,0.00234046,0,-1.5951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530789,home,Konyaspor,Nikola Boranijašević,nikola-boranijasevic,N. Boranijašević,D,28,180,43,M,150667,EUR,706233600,D,24,24,False,24.0,21.0,3.0,2.0,0.0,13.0,14.0,8.0,11.0,5.0,2.0,,,,73.0,47.0,6.7,7.0,0.013147,0,,,,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12530789,home,Konyaspor,Riechedly Bazoer,riechedly-bazoer,R. Bazoer,D,20,184,356,M,227196,EUR,845078400,D,20,20,False,22.0,19.0,7.0,4.0,0.0,14.0,14.0,5.0,8.0,4.0,8.0,,,,90.0,27.0,6.3,4.0,0.0173186,0,,,,,2.0,,3.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12530789,home,Konyaspor,Adil Demirbağ,adil-demirbag,A. Demirbağ,D,4,182,168,M,787949,EUR,881712000,D,4,4,False,40.0,32.0,10.0,6.0,1.0,13.0,15.0,19.0,25.0,12.0,3.0,,,,90.0,61.0,8.1,8.0,0.191828,2,,,,,5.0,7.0,7.0,8.0,,,1.0,3.0,1.0,,1.0,2.0,1.0,3.0,2.0,1.0,0.0681,,,,,,,,,,,,,,
12530789,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,36.0,25.0,3.0,2.0,0.0,13.0,16.0,16.0,33.0,3.0,6.0,,,,90.0,86.0,7.0,25.0,0.134699,0,,,,13.0,2.0,6.0,4.0,8.0,2.0,,2.0,,,1.0,3.0,,,,,2.0,,True,4.0,,,,,,,,,,,,
12530789,home,Konyaspor,Marko Jevtović,marko-jevtovic,M. Jevtović,M,16,194,134,M,310068,EUR,743472000,M,16,16,False,31.0,25.0,4.0,2.0,0.0,19.0,22.0,6.0,9.0,2.0,1.0,,,,76.0,42.0,6.6,9.0,0.105631,1,,,,,1.0,6.0,4.0,8.0,,,2.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,0.0281,,,1.0,1.0,1.0,,,,,,,,,
12530789,home,Konyaspor,Muhammet Tunahan Taşçı,muhammet-tunahan-tasci,M. T. Tasci,F,7,172,136,M,980612,EUR,1020038400,M,7,7,False,22.0,13.0,1.0,,0.0,5.0,6.0,8.0,18.0,,5.0,,,,85.0,36.0,6.9,14.0,0.0300809,1,,,,2.0,1.0,,4.0,4.0,5.0,4.0,,,,,2.0,,,,1.0,,0.0597,,,,2.0,,1.0,,,,,,,,
12530789,home,Konyaspor,Oğulcan Ülgün,ogulcan-ulgun,O. Ülgün,M,35,178,135,M,1063942,EUR,894844800,M,35,35,False,24.0,15.0,3.0,1.0,1.0,7.0,8.0,9.0,18.0,1.0,4.0,,,,90.0,41.0,6.6,13.0,0.0512783,1,,Ogulcan Ülgün,,2.0,1.0,2.0,8.0,4.0,1.0,,,6.0,,,1.0,1.0,,1.0,,,0.0047,,1.0,,1.0,,,2.0,,,,,,,
12530789,home,Konyaspor,Melih İbrahimoğlu,melih-ibrahimoglu,M. Ibrahimoglu,M,77,175,134,M,998462,EUR,963792000,M,77,77,False,30.0,20.0,2.0,1.0,0.0,5.0,8.0,19.0,32.0,2.0,3.0,,,,90.0,53.0,7.7,18.0,0.167425,2,,,,10.0,3.0,,6.0,3.0,2.0,1.0,2.0,,2.0,,3.0,,,,,1.0,0.1396,,4.0,1.0,1.0,,,,2.0,0.3851,,,,,
12530789,home,Konyaspor,Yusuf Erdoğan,yusuf-erdogan,Y. Erdoğan,M,10,172,204,M,256663,EUR,713145600,M,10,10,False,22.0,12.0,1.0,1.0,1.0,5.0,5.0,8.0,23.0,1.0,4.0,,,,86.0,46.0,6.2,23.0,0.0714173,1,,,,6.0,3.0,2.0,11.0,5.0,,,1.0,2.0,1.0,5.0,2.0,,,,,,0.0749,,1.0,3.0,3.0,,1.0,2.0,,,2.0,,,,
