match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_accurateCross,stat_keyPass,stat_hitWoodwork,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_goals,stat_errorLeadToAShot,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock,stat_totalOffside
12512902,home,AVS - Futebol SAD,Simão,,,simao,Simão,G,93,187,92,M,981817,EUR,738979200,G,93,93,False,26.0,24.0,8.0,6.0,0.0,23.0,23.0,1.0,3.0,11.0,1.0,1.0,1.0,90.0,35.0,6.3,2.0,0.00023264,0,-0.1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512902,home,AVS - Futebol SAD,Léo Alaba,,,leo-alaba,L. Alaba,D,22,179,54,M,1105945,EUR,930787200,D,22,22,False,42.0,33.0,6.0,2.0,0.0,17.0,20.0,16.0,26.0,6.0,,,,90.0,68.0,6.9,17.0,0.0283217,1,,4.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0295,,,,,,,,,,,,,,,,,
12512902,home,AVS - Futebol SAD,Cristian Castro,Cristian Castro,,cristian-castro,C. Castro,D,42,192,155,M,1067320,EUR,980380800,D,42,42,False,52.0,48.0,5.0,4.0,0.0,29.0,31.0,19.0,22.0,2.0,,,,90.0,61.0,6.8,5.0,0.00794049,1,,1.0,,1.0,2.0,,,,1.0,4.0,1.0,1.0,,,1.0,0.0153,1.0,,,,,,,,,,,,,,,,
12512902,home,AVS - Futebol SAD,Clayton Sampaio,,,clayton,C. Sampaio,D,20,187,348,M,1394242,EUR,954806400,D,40,40,False,53.0,47.0,8.0,4.0,0.0,29.0,32.0,18.0,21.0,4.0,,,,90.0,62.0,6.6,7.0,0.00440562,0,,,,1.0,,,,,,4.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
12512902,home,AVS - Futebol SAD,Rafael Rodrigues,,,rodrigues-rafael,R. Rodrigues,D,2,183,215,M,1091960,EUR,1012089600,D,3,3,False,18.0,12.0,2.0,,0.0,8.0,13.0,7.0,8.0,3.0,,,,45.0,31.0,6.9,7.0,0.10706,0,,3.0,,,3.0,,2.0,2.0,,2.0,,,,,1.0,,,3.0,2.0,,,,,,,,,,,,,,
12512902,home,AVS - Futebol SAD,Baptiste Roux,,,baptiste-roux,B. Roux,D,5,190,62,M,1049576,EUR,943574400,M,6,6,False,55.0,48.0,5.0,2.0,0.0,28.0,30.0,20.0,25.0,2.0,,,,90.0,63.0,7.0,7.0,0.015013,1,,,3.0,2.0,5.0,,,,1.0,2.0,1.0,2.0,1.0,,,0.0224,1.0,,,1.0,1.0,,,,,,,,,,,,
12512902,home,AVS - Futebol SAD,Giorgi Aburjania,,,giorgi-aburjania,G. Aburjania,M,29,187,130,M,156569,EUR,789004800,M,8,8,False,31.0,26.0,1.0,1.0,0.0,13.0,16.0,13.0,15.0,2.0,,,,68.0,36.0,7.0,5.0,0.0104686,0,,,2.0,,4.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,,
12512902,home,AVS - Futebol SAD,Lucas Piazón,,,lucas-piazon,L. Piazón,M,12,182,408,M,156025,EUR,759024000,M,14,14,False,45.0,41.0,3.0,2.0,0.0,19.0,20.0,23.0,32.0,3.0,,,,90.0,62.0,7.5,13.0,0.125263,2,,7.0,1.0,3.0,6.0,,3.0,2.0,2.0,,,1.0,,2.0,2.0,0.2332,1.0,1.0,4.0,,2.0,,,,,,,,,,,,
12512902,home,AVS - Futebol SAD,Samuel Granada,Samuel,,samuel-granada,S. Granada,F,70,185,74,M,1101313,EUR,970272000,F,70,70,False,17.0,15.0,,,0.0,7.0,8.0,8.0,11.0,4.0,,,,89.0,32.0,7.3,7.0,0.0145722,6,,2.0,4.0,5.0,6.0,,,,3.0,2.0,,,,2.0,2.0,0.3007,2.0,,,,2.0,1.0,2.0,1.0,0.4944,,,,,,,,
12512902,home,AVS - Futebol SAD,Nenê,,,nene,Nenê,F,18,183,194,M,44685,EUR,428198400,F,18,18,False,23.0,18.0,4.0,3.0,0.0,7.0,7.0,11.0,16.0,1.0,,,,90.0,34.0,6.5,12.0,0.0957569,2,,,4.0,7.0,6.0,1.0,2.0,,2.0,,,1.0,,3.0,1.0,0.0311,2.0,,,,1.0,2.0,,,,True,,,,,,,
