match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_errorLeadToAShot,stat_fouls,stat_accurateCross,stat_totalContest,stat_blockedScoringAttempt,captain,stat_bigChanceCreated,stat_shotOffTarget,stat_goalAssist,stat_wonContest,stat_bigChanceMissed,stat_dispossessed,stat_goodHighClaim
10406772,home,KRC Genk,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1412,M,934385,EUR,1014681600,G,26,26,False,19.0,13.0,12.0,6.0,8.0,9.0,5.0,10.0,9.0,3.0,4.0,90.0,28.0,6.9,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406772,home,KRC Genk,Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,183,12060,M,870360,EUR,833068800,D,23,23,False,44.0,34.0,5.0,2.0,12.0,13.0,22.0,32.0,5.0,,,90.0,73.0,7.9,16.0,1,,,daniel.chitiva,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
10406772,home,KRC Genk,Carlos Cuesta,carlos-cuesta,C. Cuesta,D,46,179,4437,M,839095,EUR,920937600,D,46,46,False,37.0,34.0,4.0,3.0,11.0,11.0,23.0,26.0,2.0,,,90.0,44.0,6.7,3.0,0,,,,,1.0,1.0,3.0,1.0,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
10406772,home,KRC Genk,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,647,M,922759,EUR,919900800,D,2,2,False,44.0,35.0,6.0,2.0,18.0,22.0,17.0,22.0,5.0,,,90.0,53.0,6.5,11.0,0,,,,,2.0,3.0,3.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,,,,,,,,,,,
10406772,home,KRC Genk,Gerardo Arteaga,gerardo-arteaga,G. Arteaga,D,3,173,771,M,856129,EUR,905126400,D,5,5,False,30.0,26.0,3.0,2.0,10.0,11.0,17.0,22.0,1.0,,,90.0,47.0,7.3,9.0,2,,,,3.0,,1.0,,,1.0,1.0,1.0,,3.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,
10406772,home,KRC Genk,Bryan Heynen,heynen-bryan,B. Heynen,M,8,181,419,M,801025,EUR,855187200,M,8,8,False,23.0,19.0,1.0,1.0,8.0,9.0,11.0,15.0,4.0,,,90.0,31.0,6.8,5.0,1,,,,1.0,3.0,4.0,4.0,3.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,True,1.0,1.0,,,,,
10406772,home,KRC Genk,Patrik Hrošovský,patrik-hrosovsky,P. Hrošovský,M,17,172,359,M,198282,EUR,703900800,M,17,17,False,47.0,40.0,11.0,9.0,17.0,21.0,23.0,26.0,9.0,,,90.0,56.0,7.2,8.0,1,,,,,,2.0,2.0,1.0,1.0,,1.0,,,,,,2.0,2.0,,,,,1.0,,,1.0,,,,,,
10406772,home,KRC Genk,Joseph Paintsil,joseph-paintsil,J. Paintsil,F,28,167,2679,M,901285,EUR,886291200,M,28,28,False,21.0,18.0,1.0,,4.0,6.0,15.0,18.0,7.0,,,90.0,42.0,8.3,11.0,2,,,,3.0,,4.0,7.0,,2.0,1.0,,,1.0,2.0,2.0,3.0,4.0,3.0,,,1.0,1.0,4.0,,,1.0,,1.0,1.0,1.0,,
10406772,home,KRC Genk,Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25212,M,1126569,EUR,1084147200,M,34,34,False,27.0,22.0,2.0,1.0,3.0,3.0,19.0,25.0,2.0,,,64.0,39.0,6.5,9.0,2,Bilal,El Khannouss,bilalekns_34,1.0,1.0,6.0,5.0,,,,,,1.0,2.0,,,2.0,2.0,1.0,,3.0,,1.0,2.0,,1.0,,1.0,,,1.0,
10406772,home,KRC Genk,Mike Trésor,mike-tresor,M. Trésor,M,31,175,1090,M,826183,EUR,927849600,M,11,11,False,18.0,14.0,1.0,,2.0,4.0,15.0,25.0,3.0,,,90.0,48.0,7.1,20.0,2,,,,11.0,1.0,8.0,7.0,,,,,,,,,3.0,2.0,2.0,2.0,,2.0,3.0,6.0,1.0,,,1.0,1.0,4.0,,3.0,
10406772,home,KRC Genk,Paul Onuachu,paul-onuachu,P. Onuachu,F,30,201,6601,M,295123,EUR,770083200,F,18,18,False,11.0,7.0,3.0,2.0,2.0,5.0,5.0,6.0,2.0,,,69.0,18.0,6.3,6.0,1,,,,,2.0,4.0,3.0,,1.0,,1.0,,,1.0,1.0,1.0,,,3.0,,1.0,,1.0,,,,,,,1.0,,
10406772,home,KRC Genk,Mbwana Ally Samatta,mbwana-ally-samatta,M. Samatta,F,25,183,16107,M,825088,EUR,725068800,F,7,7,True,7.0,5.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,,,21.0,15.0,6.5,6.0,2,,,samagoal77,,3.0,7.0,5.0,,,,,,,,,2.0,2.0,,5.0,,,,2.0,1.0,,,1.0,,,,,
