match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_outfielderBlock,captain,stat_totalContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,stat_goals,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_blockedScoringAttempt,stat_penaltyFaced,stat_penaltyConceded,stat_errorLeadToAShot,stat_totalOffside
11451068,home,Gaziantep FK,Florin Niță,florin-nita,F. Niță,G,185,1579,M,83551,EUR,552268800,G,33,33,False,35.0,18.0,28.0,11.0,0.0,11.0,12.0,7.0,23.0,1.0,1.0,13.0,2.0,2.0,2.0,90.0,47.0,7.5,17.0,0.0009357,0,0.9087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451068,home,Gaziantep FK,Salem M'Bakata,salem-mbakata,S. M'Bakata,D,177,65,M,940367,EUR,892944000,D,22,22,False,14.0,9.0,3.0,,0.0,3.0,4.0,6.0,11.0,1.0,3.0,2.0,,,,40.0,23.0,6.7,6.0,0.0311514,0,,,,22,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11451068,home,Gaziantep FK,Arda Kızıldağ,arda-kizildag,A. Kızıldağ,D,187,127,M,904228,EUR,908409600,D,4,4,False,37.0,32.0,3.0,2.0,0.0,19.0,21.0,13.0,16.0,2.0,3.0,3.0,,,,90.0,54.0,7.3,5.0,0.00494921,0,,,,4,,,1.0,,1.0,,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11451068,home,Gaziantep FK,Nicolas N'Koulou,nicolas-nkoulou,N. N'Koulou,D,184,462,M,38533,EUR,638496000,D,63,63,False,27.0,26.0,1.0,,0.0,22.0,22.0,4.0,5.0,,2.0,3.0,,,,90.0,34.0,7.0,1.0,0.00221726,0,,,,3,,2.0,2.0,,2.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11451068,home,Gaziantep FK,Papy Djilobodji,papy-djilobodji,P. Djilobodji,D,193,175,M,106661,EUR,596937600,D,3,3,False,37.0,24.0,13.0,2.0,0.0,18.0,24.0,6.0,13.0,,1.0,1.0,,,,90.0,52.0,7.0,14.0,0.00192372,0,,,,3,,4.0,6.0,,1.0,,6.0,4.0,1.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,
11451068,home,Gaziantep FK,Júnior Morais,junior-morais,J. Morais,M,176,58,M,79056,EUR,522374400,D,13,13,False,26.0,20.0,3.0,,0.0,12.0,12.0,8.0,14.0,1.0,7.0,1.0,,,,90.0,50.0,7.5,9.0,0.00505647,1,,Júnior,Morais,12,,1.0,3.0,2.0,6.0,3.0,1.0,1.0,,1.0,,,1.0,1.0,0.0349,0.1855,,,,,,,,,,,,,,,
11451068,home,Gaziantep FK,Mustafa Eskihellaç,mustafa-eskihellac,M. Eskihellaç,D,175,571,M,899069,EUR,862790400,M,11,11,False,36.0,28.0,5.0,3.0,1.0,14.0,16.0,15.0,21.0,1.0,6.0,6.0,,,,90.0,59.0,7.5,14.0,0.517461,0,,,,19,1.0,,7.0,4.0,2.0,1.0,2.0,2.0,1.0,,,3.0,,4.0,,,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,
11451068,home,Gaziantep FK,Ogün Özçiçek,ogun-ozcicek,O. Özçiçek,M,172,50,M,859783,EUR,917136000,M,61,61,False,33.0,30.0,2.0,1.0,0.0,16.0,16.0,14.0,17.0,1.0,9.0,5.0,,,,90.0,49.0,7.3,6.0,0.00637466,0,,,,61,,,4.0,1.0,4.0,2.0,2.0,2.0,2.0,,,1.0,,2.0,,,,1.0,1.0,,3.0,,,,,,,,,,
11451068,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,177,793,M,180511,EUR,647395200,M,44,44,False,29.0,26.0,6.0,4.0,0.0,7.0,9.0,20.0,22.0,,3.0,5.0,,,,81.0,42.0,7.6,9.0,0.400532,2,,,,44,2.0,,6.0,3.0,1.0,,,,,,,2.0,2.0,2.0,0.9035,1.2367,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,
11451068,home,Gaziantep FK,Max Gradel,max-gradel,M. Gradel,M,177,1287,M,16590,EUR,565228800,F,10,10,False,24.0,19.0,5.0,2.0,0.0,9.0,9.0,10.0,16.0,1.0,5.0,4.0,,,,89.0,42.0,6.9,12.0,0.124451,2,,,,,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,4.0,0.363,0.4106,,,1.0,,1.0,2.0,,2.0,1.0,1.0,,,,,
11451068,home,Gaziantep FK,Denis Drăguş,denis-dragus,D. Drăguş,F,184,2440,M,841199,EUR,931219200,F,70,70,False,32.0,22.0,1.0,1.0,0.0,6.0,11.0,16.0,21.0,1.0,7.0,6.0,,,,89.0,57.0,7.4,21.0,0.109418,4,,,,70,,5.0,16.0,1.0,2.0,1.0,1.0,,2.0,1.0,,9.0,1.0,2.0,1.0104,0.705,,3.0,4.0,,,1.0,1.0,,1.0,,2.0,,,,
11451068,home,Gaziantep FK,Janio Bikel,janio-bikel,J. Bikel,M,175,105,M,581606,EUR,804297600,M,12,12,True,17.0,13.0,1.0,,0.0,4.0,5.0,9.0,12.0,,3.0,3.0,,,,50.0,23.0,6.5,5.0,0.00192057,0,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,
11451068,home,Gaziantep FK,Brayan Riascos,brayan-riascos,B. Riascos,F,180,239,M,537040,EUR,781747200,F,94,94,True,2.0,2.0,,,0.0,,,2.0,2.0,,1.0,1.0,,,,9.0,4.0,6.5,1.0,0.00018256,0,,,,94,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
11451068,home,Gaziantep FK,İlker Karakaş,ilker-karakas,İ. Karakaş,F,187,26,M,921406,EUR,916012800,F,9,9,True,,,,,0.0,,,,,,,,,,,1.0,1.0,,1.0,,0,,,,61,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
11451068,home,Gaziantep FK,Oğulcan Çağlayan,ogulcan-caglayan,O. Çağlayan,F,188,194,M,387050,EUR,827452800,F,23,23,True,,,,,0.0,,,,,,1.0,1.0,,,,1.0,2.0,,1.0,,0,,,,17,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
11451068,home,Gaziantep FK,Mustafa Burak Bozan,bozan-mustafa-burak,M. B. Bozan,G,196,107,M,934201,EUR,966988800,G,1,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451068,home,Gaziantep FK,Ömürcan Artan,omurcan-artan,Ö. Artan,D,179,17,M,1016384,EUR,933033600,D,27,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
