match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_keyPass,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_bigChanceMissed,stat_punches
10652685,home,Arsenal,Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8533,M,ARamsdale,839410,EUR,895104000,G,1,1,False,25.0,16.0,15.0,6.0,14.0,18.0,2.0,7.0,4.0,1.0,1.0,2.0,1.0,1.0,90.0,29.0,5.9,9.0,0.0,0.0,0.00120947,0,-1.3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652685,home,Arsenal,Ben White,,,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,20.0,13.0,1.0,,9.0,15.0,4.0,5.0,6.0,,,,,,45.0,33.0,6.1,11.0,0.0,0.0,0.00463388,0,,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
10652685,home,Arsenal,William Saliba,,,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,12,12,False,67.0,58.0,4.0,2.0,38.0,42.0,20.0,25.0,17.0,,,,,,90.0,71.0,6.6,9.0,0.0,0.0,0.00963702,0,,2.0,3.0,,,1.0,,,,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,
10652685,home,Arsenal,Gabriel Magalhães,,,gabriel-magalhaes,Gabriel,D,6,190,49131,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,57.0,48.0,2.0,,30.0,33.0,18.0,24.0,6.0,,,,,,90.0,71.0,7.1,9.0,0.1034,0.0,0.0108378,1,,2.0,6.0,,,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
10652685,home,Arsenal,Oleksandr Zinchenko,,,oleksandr-zinchenko,O. Zinchenko,D,47,175,18055,M,OZinchenko,287643,EUR,850608000,D,35,35,False,66.0,57.0,3.0,1.0,23.0,26.0,35.0,43.0,6.0,,,,,,90.0,86.0,6.7,16.0,0.0418,0.0,0.170205,1,,4.0,5.0,,,1.0,2.0,1.0,1.0,,,2.0,2.0,1.0,,1.0,3.0,1.0,4.0,1.0,,,,,,,,,,,
10652685,home,Arsenal,Martin Ødegaard,,,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,49.0,37.0,5.0,2.0,11.0,14.0,26.0,36.0,3.0,,,,,,89.0,66.0,6.3,19.0,0.5158,0.0,0.0360612,6,,7.0,4.0,1.0,2.0,,3.0,3.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,2.0,1.0,True,5.0,1.0,,,,,,,,
10652685,home,Arsenal,Thomas Partey,,,thomas-partey,T. Partey,M,16,185,42575,M,TPartey5,316148,EUR,739929600,M,5,5,False,51.0,41.0,3.0,1.0,19.0,23.0,22.0,28.0,8.0,,,,,,90.0,75.0,6.9,15.0,0.1137,0.0,0.0366972,1,,4.0,6.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,,,2.0,1.0,,1.0,,,1.0,1.0,,,,3.0,,,,,,,
10652685,home,Arsenal,Granit Xhaka,,,granit-xhaka,G. Xhaka,M,34,185,15717,M,Granit_Xhaka,117777,EUR,717552000,M,34,34,False,45.0,40.0,1.0,1.0,17.0,18.0,24.0,29.0,3.0,,,,,,90.0,58.0,7.3,9.0,0.0,0.0,0.718112,0,,6.0,4.0,1.0,3.0,1.0,3.0,1.0,,1.0,1.0,,,,,,2.0,1.0,1.0,4.0,,,,1.0,1.0,1.0,,,,,
10652685,home,Arsenal,Bukayo Saka,,,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,47.0,37.0,4.0,4.0,8.0,10.0,30.0,42.0,4.0,,,,,,90.0,73.0,8.1,16.0,0.2698,1.0347,0.523363,5,,4.0,8.0,,3.0,,1.0,,,,2.0,,,,,4.0,5.0,1.0,2.0,4.0,,3.0,,3.0,,,2.0,1.0,1.0,,
10652685,home,Arsenal,Edward Nketiah,,,edward-nketiah,E. Nketiah,F,9,175,6443,M,EN9,858194,EUR,928022400,F,14,14,False,19.0,17.0,1.0,1.0,5.0,5.0,12.0,14.0,,,,,,,90.0,36.0,8.0,7.0,1.8529,1.6232,0.0145063,6,,9.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,1.0,,,3.0,,,3.0,,1.0,,,3.0,,2.0,1.0,
