match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalCross,stat_onTargetScoringAttempt,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,stat_blockedScoringAttempt,captain,stat_challengeLost,stat_wonContest,stat_goals,stat_totalOffside,stat_bigChanceMissed
10886849,home,Wrexham,Mark Howard,mark-howard,M. Howard,G,33,183.0,98,M,19344,EUR,527644800.0,G,21,21,False,23.0,13.0,15.0,5.0,11.0,14.0,2.0,9.0,1.0,9.0,1.0,3.0,3.0,1.0,90.0,33.0,7.0,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10886849,home,Wrexham,Liam McAlinden,liam-mcalinden,L. McAlinden,M,10,186.0,21,M,110788,EUR,749001600.0,D,11,11,False,29.0,25.0,3.0,1.0,11.0,12.0,14.0,17.0,,4.0,,,,,69.0,38.0,6.4,6.0,0,,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10886849,home,Wrexham,Aaron Hayden,aaron-hayden,A. Hayden,D,6,185.0,62,M,804614,EUR,853372800.0,D,5,5,False,65.0,52.0,11.0,4.0,33.0,41.0,19.0,24.0,5.0,9.0,,,,,90.0,83.0,7.1,14.0,1,,,5.0,5.0,,,,2.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10886849,home,Wrexham,Ben Tozer,ben-tozer,B. Tozer,D,,186.0,29,M,27654,EUR,636249600.0,D,4,4,False,65.0,56.0,16.0,12.0,37.0,41.0,19.0,25.0,4.0,4.0,,,,,90.0,86.0,7.2,20.0,1,,,2.0,4.0,,1.0,,1.0,,1.0,,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,
10886849,home,Wrexham,Jordan Tunnicliffe,jordan-tunnicliffe,J. Tunnicliffe,D,6,186.0,24,M,826120,EUR,750470400.0,D,6,6,False,61.0,48.0,8.0,2.0,34.0,38.0,14.0,23.0,6.0,10.0,,,,,90.0,78.0,6.8,19.0,0,,,1.0,7.0,1.0,,,2.0,2.0,,,5.0,,,3.0,,,,,,,,,,,,,,
10886849,home,Wrexham,Callum McFadzean,callum-mcfadzean,C. McFadzean,D,,180.0,16,M,255053,EUR,758678400.0,D,3,3,False,27.0,14.0,5.0,,6.0,8.0,9.0,24.0,2.0,4.0,,,,,90.0,48.0,7.7,20.0,1,,,4.0,5.0,1.0,,,1.0,1.0,,3.0,2.0,1.0,,1.0,5.0,,2.0,1.0,1.0,2.0,3.0,,,,,,,
10886849,home,Wrexham,Jordan Davies,jordan-davies,J. Davies,M,15,184.0,130,M,866694,EUR,903398400.0,M,7,7,False,25.0,21.0,6.0,4.0,9.0,10.0,12.0,17.0,3.0,1.0,,,,,45.0,34.0,6.6,8.0,2,,,4.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,,,,2.0,1.0,,,,,,1.0,,,,,,
10886849,home,Wrexham,Luke Young,luke-young,L. Young,M,8,173.0,50,M,146165,EUR,730339200.0,M,8,8,False,48.0,40.0,6.0,2.0,17.0,21.0,26.0,35.0,2.0,8.0,,,,,90.0,65.0,6.9,15.0,0,,,4.0,4.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,8.0,,,3.0,,1.0,2.0,,True,1.0,,,,
10886849,home,Wrexham,Elliot Lee,elliot-lee,E. Lee,M,18,180.0,212,M,303604,EUR,787536000.0,M,38,38,False,37.0,29.0,1.0,1.0,12.0,14.0,18.0,25.0,4.0,6.0,,,,,89.0,58.0,8.1,12.0,1,,,6.0,8.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,,,,1.0,2.0,1.0,,1.0,1.0,2.0,3.0,,,1.0,1.0,1.0,,
10886849,home,Wrexham,Sam Dalby,sam-dalby,S. Dalby,F,10,191.0,322,M,858915,EUR,944524800.0,F,18,18,False,18.0,15.0,,,3.0,3.0,12.0,15.0,,,,,,,68.0,26.0,6.9,7.0,1,,,10.0,2.0,1.0,1.0,,,,1.0,7.0,1.0,1.0,,3.0,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,
