match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_outfielderBlock,stat_wonTackle,stat_fouls,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wasFouled,stat_keyPass,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,player_sofascoreId,captain,stat_punches
12624911,home,Al-Shabab,Georgiy Bushchan,heorhiy-bushchan,G. Bushchan,G,1,198.0,641,M,138813,EUR,770342400,G,31,31,False,24.0,16.0,11.0,3.0,0.0,15.0,19.0,1.0,5.0,1.0,1.0,1.0,10.0,2.0,1.0,2.0,1.0,1.0,90.0,39.0,6.3,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624911,home,Al-Shabab,Nader Al Sharari,nader-abdullah-al-sharari,N. A. Sharari,D,4,184.0,534,M,923040,EUR,831513600,D,5,5,False,41.0,34.0,5.0,3.0,0.0,23.0,28.0,11.0,13.0,1.0,2.0,2.0,5.0,,,,,,90.0,47.0,6.1,8.0,0,2.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12624911,home,Al-Shabab,Wesley Hoedt,wesley-hoedt,W. Hoedt,D,4,188.0,354,M,336813,EUR,762912000,D,4,4,False,58.0,54.0,8.0,6.0,0.0,39.0,40.0,15.0,18.0,2.0,4.0,9.0,9.0,,,,,,90.0,74.0,7.0,5.0,0,2.0,3.0,1.0,,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12624911,home,Al-Shabab,Robert Renan,robert-renan,R. Renan,D,30,186.0,3212,M,1191278,EUR,1065830400,D,30,30,False,65.0,57.0,1.0,1.0,0.0,34.0,37.0,23.0,29.0,2.0,5.0,4.0,4.0,,,,,,90.0,81.0,6.5,13.0,0,,3.0,1.0,1.0,,3.0,Robert Renan,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
12624911,home,Al-Shabab,Majed Omar Kanabah,majed-omar-kanabah,M. O. Kanabah,M,12,172.0,36,M,828444,EUR,730771200,M,12,12,False,35.0,30.0,4.0,2.0,0.0,20.0,24.0,10.0,11.0,,8.0,1.0,4.0,,,,,,88.0,54.0,7.0,8.0,1,,3.0,2.0,,6.0,3.0,,,,4.0,1.0,,,,,2.0,,1.0,,,,,,,,,,
12624911,home,Al-Shabab,Musab Al Juwayr,musab-fahd-aljuwayr,M. A. Juwayr,M,10,175.0,850,M,1106234,EUR,1056067200,M,15,15,False,105.0,93.0,13.0,8.0,0.0,40.0,41.0,54.0,69.0,,4.0,,6.0,,,,,,90.0,123.0,7.2,24.0,0,,6.0,1.0,,2.0,3.0,Musab Fahz Aljuwayr,,,,2.0,5.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,
12624911,home,Al-Shabab,Glen Kamara,glen-kamara,G. Kamara,M,4,183.0,804,M,292665,EUR,814838400,M,14,14,False,57.0,55.0,4.0,4.0,0.0,29.0,29.0,26.0,28.0,,4.0,1.0,1.0,,,,,,90.0,65.0,6.8,3.0,0,,1.0,,,1.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,
12624911,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,10,177.0,565,M,789438,EUR,733190400,M,11,11,False,76.0,69.0,1.0,1.0,1.0,28.0,28.0,44.0,55.0,1.0,4.0,2.0,6.0,,,,,,90.0,106.0,8.4,19.0,3,1.0,7.0,1.0,1.0,2.0,3.0,,,,1.0,1.0,7.0,2.0,2.0,,1.0,2.0,,3.0,2.0,1.0,3.0,1.0,1.0,,,,
12624911,home,Al-Shabab,Haroune Camara,haroune-camara,H. Camara,F,70,187.0,2967,M,926730,EUR,883612800,F,70,70,False,5.0,5.0,,,0.0,3.0,3.0,2.0,2.0,1.0,1.0,,3.0,,,,,,88.0,10.0,7.0,3.0,2,,3.0,1.0,,,3.0,,,,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
12624911,home,Al-Shabab,Giacomo Bonaventura,giacomo-bonaventura,G. Bonaventura,M,,180.0,1098,M,36784,EUR,619747200,F,7,7,False,30.0,27.0,1.0,1.0,0.0,8.0,8.0,21.0,28.0,2.0,5.0,,3.0,,,,,,90.0,48.0,7.0,9.0,2,2.0,4.0,,1.0,,1.0,,,,,1.0,6.0,,2.0,1.0,2.0,,,2.0,,,,,,2.0,,,
