match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_errorLeadToAShot,stat_goalAssist,stat_bigChanceCreated,stat_goals,player_sofascoreId
10438211,home,Paços de Ferreira,Ze Oliveira,,,ze-oliveira,Z. Oliveira,G,186,10,M,855688,EUR,1018051200,G,24,24,False,27.0,24.0,9.0,6.0,22.0,25.0,2.0,2.0,1.0,1.0,8.0,1.0,3.0,5.0,90.0,40.0,7.1,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438211,home,Paços de Ferreira,Fernando Fonseca,,,fernando-fonseca,F. Fonseca,D,182,49,M,792666,EUR,858297600,D,29,29,False,21.0,17.0,3.0,2.0,6.0,8.0,12.0,16.0,,3.0,2.0,,,,45.0,38.0,6.3,9.0,0,2,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10438211,home,Paços de Ferreira,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,184,122,M,1133301,EUR,984700800,D,3,3,False,53.0,45.0,14.0,10.0,35.0,37.0,10.0,16.0,2.0,4.0,7.0,,,,90.0,62.0,6.7,8.0,0,3,,,,2.0,1.0,,,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10438211,home,Paços de Ferreira,Flávio Ramos,,,flavio-ramos,F. Ramos,D,191,23,M,335813,EUR,768700800,D,32,32,False,43.0,40.0,3.0,1.0,36.0,37.0,4.0,6.0,2.0,5.0,3.0,,,,90.0,61.0,6.8,3.0,0,29,,,,,,,,2.0,,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,
10438211,home,Paços de Ferreira,Vitorino Antunes,,,vitorino-antunes,V. Antunes,D,175,105,M,28386,EUR,544233600,D,5,5,False,39.0,32.0,10.0,6.0,24.0,26.0,8.0,17.0,1.0,9.0,4.0,,,,80.0,67.0,6.5,15.0,0,,4.0,,,3.0,2.0,1.0,1.0,1.0,,5.0,,,2.0,1.0,,2.0,True,1.0,,,,,,,,,,,
10438211,home,Paços de Ferreira,Matchoi Djaló,,,matchoi-djalo,M. Djaló,M,175,190,M,989599,EUR,1049932800,M,16,16,False,17.0,16.0,1.0,1.0,12.0,12.0,4.0,5.0,1.0,3.0,1.0,,,,53.0,22.0,5.5,4.0,0,17,,,,5.0,1.0,1.0,,,,,,,2.0,2.0,1.0,1.0,,2.0,,,,,,,,,,,
10438211,home,Paços de Ferreira,Rui Pires,,,rui-pires,R. Pires,M,182,65,M,845751,EUR,890524800,M,26,26,False,47.0,40.0,4.0,3.0,31.0,35.0,9.0,12.0,1.0,6.0,9.0,,,,90.0,59.0,6.9,7.0,0,8,,,1.0,5.0,2.0,1.0,1.0,3.0,,1.0,2.0,,3.0,3.0,2.0,,,,,,,,,,,,,,
10438211,home,Paços de Ferreira,Juan Delgado,,,juan-delgado,J. Delgado,D,177,146,M,339695,EUR,731289600,M,15,15,False,34.0,28.0,1.0,1.0,9.0,10.0,21.0,29.0,,3.0,5.0,,,,90.0,56.0,6.3,15.0,2,15,5.0,2.0,,6.0,2.0,2.0,,,3.0,1.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,
10438211,home,Paços de Ferreira,Kayky,Kayky,,kayky,Kayky,M,175,2596,M,1106151,EUR,1055203200,M,11,11,False,16.0,14.0,1.0,1.0,7.0,8.0,7.0,8.0,,3.0,2.0,,,,64.0,30.0,6.2,9.0,1,11,,,,7.0,1.0,3.0,,,2.0,2.0,,,1.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,
10438211,home,Paços de Ferreira,Nigel Thomas,,,nigel-thomas,N. Thomas,F,177,76,M,916952,EUR,980985600,M,7,7,False,16.0,11.0,2.0,1.0,6.0,6.0,5.0,13.0,1.0,2.0,2.0,,,,64.0,28.0,6.0,14.0,1,27,3.0,,,5.0,1.0,3.0,1.0,,2.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
