match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_outfielderBlock,stat_fouls,stat_totalCross,stat_totalContest,player_firstName,player_lastName,stat_wonContest,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_blockedScoringAttempt
10385635,home,Brentford,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,1,1,False,40.0,25.0,27.0,12.0,16.0,20.0,9.0,20.0,1.0,9.0,1.0,1.0,4.0,4.0,90.0,49.0,6.6,15.0,0.0,0.0,0.00310046,0,-0.3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385635,home,Brentford,Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1144,M,,576384,EUR,892771200,D,20,20,False,31.0,23.0,5.0,2.0,19.0,21.0,4.0,10.0,2.0,4.0,1.0,,,,90.0,41.0,6.0,11.0,0.0,0.0,0.00352843,0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10385635,home,Brentford,Pontus Jansson,pontus-jansson,P. Jansson,D,18,194,318,M,,55123,EUR,666403200,D,18,18,False,41.0,35.0,2.0,1.0,30.0,33.0,5.0,8.0,7.0,4.0,,,,,90.0,48.0,6.5,7.0,0.0,0.0,0.00316442,0,,6.0,2.0,,3.0,1.0,,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10385635,home,Brentford,Ben Mee,ben-mee,B. Mee,D,15,180,577,M,,137774,EUR,622339200,D,16,16,False,39.0,26.0,8.0,5.0,19.0,23.0,7.0,16.0,6.0,4.0,1.0,,,,90.0,59.0,6.6,16.0,0.0,0.0,0.00176625,0,,5.0,4.0,,4.0,4.0,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
10385635,home,Brentford,Aaron Hickey,hickey-aaron,A. Hickey,D,2,185,842,M,,966869,EUR,1023667200,M,2,2,False,25.0,21.0,,,9.0,13.0,12.0,15.0,10.0,4.0,2.0,,,,90.0,45.0,7.2,8.0,0.0,0.0,0.02673,0,,3.0,2.0,,3.0,2.0,,,1.0,,5.0,4.0,,,3.0,1.0,,,,,,,,,,,,,
10385635,home,Brentford,Joshua Dasilva,joshua-dasilva,J. D. Silva,M,10,184,464,M,,856260,EUR,909100800,M,10,10,False,14.0,10.0,1.0,1.0,7.0,8.0,3.0,7.0,1.0,3.0,,,,,63.0,20.0,6.2,7.0,0.0,0.0,0.00362823,0,,,2.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
10385635,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,,814873,EUR,894758400,M,27,27,False,18.0,13.0,3.0,2.0,11.0,13.0,2.0,5.0,4.0,5.0,1.0,,,,63.0,27.0,6.7,5.0,0.0,0.0,0.00096773,0,,,2.0,1.0,,2.0,,,,,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,,
10385635,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,1047,M,,799251,EUR,820454400,M,8,8,False,25.0,19.0,4.0,3.0,9.0,12.0,12.0,17.0,5.0,7.0,,,,,69.0,41.0,7.1,10.0,0.0,0.0,0.164646,0,,1.0,4.0,2.0,2.0,,,,1.0,,3.0,2.0,,1.0,4.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,
10385635,home,Brentford,Rico Henry,rico-henry,R. Henry,D,3,175,712,M,,599128,EUR,868320000,M,3,3,False,20.0,14.0,4.0,2.0,7.0,10.0,9.0,14.0,3.0,4.0,,,,,90.0,35.0,6.7,14.0,0.0,0.0,0.0381234,0,,,1.0,,1.0,,5.0,,,1.0,3.0,1.0,,,4.0,,,,,2.0,,1.0,,,,,,,
10385635,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,bryan_m19,927083,EUR,933984000,F,19,19,False,11.0,9.0,1.0,1.0,4.0,4.0,5.0,10.0,1.0,3.0,,,,,76.0,24.0,6.5,10.0,0.0859,0.1422,0.00493085,2,,1.0,7.0,2.0,,,3.0,,2.0,1.0,,,,1.0,3.0,1.0,,,,,,,1.0,1.0,,,,,
