match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,rescinded,id,isHome,incidentClass,player_id,player_name,reason,length,injury,confirmed
13981584,FT,1.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
13981584,,,,,90,4.0,,1,,,card,Zakaria Aboukhlal,False,124473312.0,True,yellow,856737.0,Zakaria Aboukhlal,,,,
13981584,,,,,90,2.0,,1,,,card,Niels Nkounkou,False,124473307.0,True,yellow,941179.0,Niels Nkounkou,Foul,,,
13981584,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,5.0,,
13981584,,,,,84,,,7,,,substitution,,,125293825.0,False,regular,,,,,False,
13981584,,,,,80,,,11,,,substitution,,,125293804.0,True,regular,,,,,False,
13981584,,,,,80,,,11,,,substitution,,,125293797.0,True,injury,,,,,True,
13981584,,,,,76,,,15,,,substitution,,,125293768.0,True,regular,,,,,False,
13981584,,,,,72,,,19,,,substitution,,,125293750.0,False,regular,,,,,False,
13981584,,,,,72,,,19,,,substitution,,,125293727.0,False,injury,,,,,True,
13981584,,,,,68,,,23,,,substitution,,,125293705.0,False,regular,,,,,False,
13981584,,,,,67,,,24,,,substitution,,,125293709.0,True,regular,,,,,False,
13981584,,,,,67,,,24,,,substitution,,,125293707.0,True,regular,,,,,False,
13981584,,1.0,2.0,,66,,,25,,,goal,,,333394390.0,False,regular,1142606.0,Semih Kılıçsoy,,,,
13981584,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
13981584,,1.0,1.0,,45,,,1,,,goal,,,333391879.0,False,regular,1111640.0,Matteo Prati,,,,
13981584,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,2.0,,
13981584,,,,,36,,,10,,,card,Nikola Vlašić,False,124473060.0,True,yellow,357596.0,Nikola Vlašić,Foul,,,
13981584,,1.0,0.0,,27,,,19,,,goal,,,333390770.0,True,regular,357596.0,Nikola Vlašić,,,,
13981584,,,,,11,,,35,,,varDecision,,,93325.0,False,penaltyNotAwarded,1123175.0,Riyad Idrissi,,,,True
13981584,,,,,-5,,,6,,,card,Fabio Pisacane,False,124473043.0,False,yellow,,,Argument,,,
