match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_totalCross,stat_accurateCross,player_lastName,stat_interceptionWon,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,captain,stat_shotOffTarget,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_goalAssist,stat_goals
11368763,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,21.0,21.0,4.0,4.0,19.0,19.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,90.0,27.0,6.8,0.0021477,0,-0.7865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368763,home,Real Sociedad,Jon Aramburu,jon-aramburu,J. Aramburu,D,2,176,6479,M,1116388,EUR,1027382400,D,39,39,False,51.0,46.0,5.0,1.0,23.0,23.0,23.0,28.0,,4.0,2.0,1.0,,,72.0,69.0,7.1,0.0127981,1,,Jon Aramburu,ElBufalo,1.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,9.0,0.0703,,,,,,,,,,,,,,,,,
11368763,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,99.0,89.0,7.0,6.0,47.0,49.0,43.0,51.0,7.0,8.0,3.0,7.0,,,90.0,108.0,7.2,0.0437756,1,,,,5.0,6.0,,,,1.0,,1.0,1.0,1.0,,1.0,11.0,0.1061,1.0,1.0,,,,,,,,,,,,,,,
11368763,home,Real Sociedad,Jon Pacheco,jon-pacheco,J. Pacheco,D,5,184,537,M,934383,EUR,978912000,D,20,20,False,68.0,62.0,3.0,2.0,35.0,38.0,27.0,30.0,5.0,6.0,1.0,1.0,,,90.0,74.0,6.8,0.00871741,0,,,,3.0,5.0,,,,,1.0,1.0,,1.0,,2.0,7.0,,,,,1.0,,,,,,,,,,,,,
11368763,home,Real Sociedad,Javi Galán,javi-galan,J. Galán,D,20,172,2472,M,825133,EUR,785203200,D,25,25,False,69.0,60.0,6.0,3.0,19.0,20.0,44.0,58.0,1.0,6.0,1.0,10.0,,,90.0,104.0,8.1,0.424831,1,,,,,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,19.0,0.0551,9.0,3.0,,1.0,1.0,1.0,4.0,,,,,,,,,,
11368763,home,Real Sociedad,Beñat Turrientes,benat-turrientes,B. Turrientes,M,8,179,748,M,980410,EUR,1012435200,M,22,22,False,24.0,20.0,1.0,1.0,5.0,5.0,15.0,20.0,1.0,6.0,1.0,1.0,,,72.0,39.0,6.7,0.00762283,0,,,,4.0,8.0,1.0,3.0,2.0,,1.0,1.0,,2.0,2.0,2.0,8.0,,1.0,,,,,,,,,,,,,,,,
11368763,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,4,4,False,62.0,54.0,3.0,2.0,32.0,34.0,22.0,28.0,1.0,6.0,4.0,6.0,,,90.0,75.0,7.3,0.0704861,1,,,martin_zubimendi,2.0,3.0,1.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,,9.0,0.0471,,,,1.0,,,1.0,,,,,,,,,,
11368763,home,Real Sociedad,Mikel Merino,mikel-merino,M. Merino,M,23,188,29240,M,592010,EUR,835401600,M,8,8,False,36.0,28.0,2.0,1.0,8.0,9.0,21.0,29.0,4.0,10.0,,5.0,,,62.0,51.0,7.6,0.196352,1,,,mikelmerino,3.0,4.0,,2.0,2.0,,1.0,1.0,1.0,2.0,4.0,1.0,11.0,0.0596,2.0,1.0,,,,,,True,1.0,,,,,,,,
11368763,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,F,14,14,False,36.0,32.0,4.0,4.0,5.0,5.0,31.0,42.0,1.0,2.0,,3.0,,,90.0,64.0,7.4,0.668981,6,,,KuboTake,,5.0,,2.0,1.0,2.0,,,,2.0,,2.0,17.0,0.5768,11.0,4.0,,1.0,1.0,,5.0,,2.0,3.0,2.0,2.0,0.538,,,,
11368763,home,Real Sociedad,André Silva,andre-silva,A. Silva,F,9,185,5803,M,190159,EUR,815616000,F,21,21,False,13.0,12.0,1.0,1.0,2.0,2.0,10.0,11.0,3.0,5.0,,1.0,,,62.0,24.0,6.5,0.0161111,1,,,andresilva9,,2.0,,2.0,1.0,,,1.0,1.0,4.0,,,7.0,0.0357,,,,,,,1.0,,1.0,1.0,,,,,,,
