match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_wonContest,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,captain,stat_goals,stat_outfielderBlock,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_penaltyConceded
11401968,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,35.0,32.0,8.0,5.0,31.0,33.0,1.0,2.0,7.0,2.0,2.0,90.0,40.0,7.2,3.0,0.00099006,0,0.6489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401968,home,PSV Eindhoven,Jordan Teze,,,jordan-teze,J. Teze,D,4,183,1080,M,825846,EUR,938649600,D,3,3,False,66.0,57.0,7.0,5.0,31.0,34.0,26.0,33.0,8.0,,,90.0,88.0,7.1,14.0,0.0369383,0,,1.0,1.0,5.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11401968,home,PSV Eindhoven,André Ramalho,,,andre-ramalho,A. Ramalho,D,5,182,5374,M,148155,EUR,698198400,D,5,5,False,135.0,124.0,5.0,1.0,63.0,68.0,61.0,67.0,3.0,,,90.0,142.0,7.4,11.0,0.0607169,1,,,2.0,4.0,5.0,1.0,,,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,0.0215,,,,,,,,,,,,,,,,,,,
11401968,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181,1043,M,788784,EUR,879811200,D,18,18,False,117.0,101.0,19.0,10.0,56.0,64.0,45.0,54.0,8.0,,,90.0,128.0,7.7,18.0,0.0417568,0,,1.0,2.0,2.0,6.0,,1.0,4.0,1.0,1.0,,,,4.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,
11401968,home,PSV Eindhoven,Sergiño Dest,,,sergino-dest,S. Dest,D,8,173,6120,M,906021,EUR,973209600,D,8,8,False,53.0,49.0,2.0,,22.0,26.0,29.0,30.0,6.0,,,90.0,82.0,7.5,11.0,0.122458,1,,3.0,2.0,7.0,6.0,1.0,5.0,1.0,,,1.0,2.0,,,,,0.0176,4.0,sergino,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,
11401968,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183,2263,M,845798,EUR,882748800,M,20,20,False,42.0,41.0,1.0,,16.0,17.0,25.0,26.0,3.0,,,90.0,56.0,6.8,9.0,0.140056,1,,1.0,2.0,5.0,2.0,,,,1.0,1.0,4.0,1.0,1.0,,1.0,,0.0211,,,,,2.0,,,,,,,,,,,,,,
11401968,home,PSV Eindhoven,Jerdy Schouten,,,jerdy-schouten,J. Schouten,M,22,185,1244,M,844234,EUR,853027200,M,22,22,False,61.0,48.0,,,29.0,36.0,19.0,25.0,7.0,,,90.0,72.0,6.6,17.0,0.00936556,1,,,1.0,3.0,8.0,,2.0,,1.0,,2.0,1.0,,4.0,,2.0,0.2558,2.0,,,,2.0,,1.0,,1.0,,,,,,,,,,
11401968,home,PSV Eindhoven,Noa Lang,,,noa-lang,N. Lang,F,77,173,15023,M,875136,EUR,929577600,M,7,7,False,35.0,29.0,2.0,2.0,15.0,16.0,15.0,21.0,3.0,,,66.0,58.0,7.1,17.0,0.26752,1,,2.0,1.0,6.0,5.0,1.0,3.0,,1.0,,6.0,2.0,1.0,,,,0.0393,2.0,noano,,1.0,3.0,,,2.0,,1.0,0.2419,,,,,,,,
11401968,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179,6820,M,1088896,EUR,1050796800,F,11,11,False,27.0,25.0,1.0,,9.0,9.0,16.0,19.0,3.0,,,90.0,44.0,6.6,10.0,0.0889991,6,,1.0,1.0,7.0,2.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,2.0,,0.7239,1.0,johanbakayoko,,,3.0,,2.0,,2.0,2.0,0.9589,2.0,,,,,,,
11401968,home,PSV Eindhoven,Luuk de Jong,,,luuk-de-jong,L. de Jong,F,26,188,8572,M,40878,EUR,651715200,F,9,9,False,35.0,24.0,1.0,1.0,13.0,15.0,11.0,20.0,4.0,,,83.0,47.0,9.1,13.0,0.391139,3,,,2.0,5.0,5.0,,1.0,1.0,1.0,,,2.0,2.0,3.0,,1.0,0.9353,,luukdejong9,,,1.0,1.0,,1.0,,3.0,1.9379,,True,2.0,1.0,,,,
