match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_penaltyConceded,stat_wonContest,stat_goalAssist,stat_totalCross,stat_bigChanceCreated,stat_errorLeadToAShot,stat_keyPass,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_accurateCross,stat_penaltyWon
10913625,home,Al Batin,Martín Campaña,martin-campana,M. Campaña,G,25,186.0,179,M,243045,EUR,612403200.0,G,25,25,False,True,29.0,22.0,21.0,14.0,17.0,20.0,5.0,9.0,1.0,4.0,1.0,2.0,90.0,35.0,5.6,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913625,home,Al Batin,Bassam Al-Hurayji,bassam-al-hurayji,B. Al-Hurayji,D,66,175.0,126,M,1085357,EUR,954288000.0,D,6,6,False,,28.0,21.0,5.0,3.0,15.0,18.0,6.0,10.0,3.0,3.0,,,90.0,51.0,5.9,16.0,0,Mohammed Bassam Alhurayji,,1.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
10913625,home,Al Batin,Thibault Peyre,thibault-peyre,T. Peyre,D,23,182.0,18,M,252141,EUR,718070400.0,D,23,23,False,,16.0,13.0,3.0,,9.0,9.0,4.0,7.0,3.0,3.0,,,90.0,30.0,6.1,3.0,0,,,,2.0,5.0,,,,,2.0,3.0,2.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10913625,home,Al Batin,Maurício Antônio,mauricio-antonio,M. Antônio,D,13,183.0,71,M,583824,EUR,697334400.0,D,4,4,False,,30.0,26.0,7.0,4.0,19.0,21.0,7.0,9.0,8.0,5.0,,,90.0,42.0,6.3,4.0,0,,,1.0,3.0,2.0,,,1.0,,2.0,,,,,4.0,,,1.0,,,,,,,,,,,,,,,
10913625,home,Al Batin,Abdullah Al Yousif,abdullah-al-yousif,A. A. Yousif,D,13,175.0,9,M,892897,EUR,878083200.0,D,13,13,False,,29.0,20.0,2.0,,10.0,13.0,10.0,18.0,7.0,4.0,,,90.0,51.0,7.0,15.0,0,,,3.0,2.0,4.0,,1.0,1.0,1.0,3.0,,,2.0,,,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,
10913625,home,Al Batin,Abdulkareem Al Mezail,abdulkareem-al-mezail,A. A. Mezail,D,,172.0,2,M,1087419,EUR,934070400.0,M,2,2,False,,4.0,3.0,,,3.0,3.0,,1.0,,1.0,,,25.0,8.0,6.6,3.0,0,Abdulkareem Al Mezail,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10913625,home,Al Batin,Juan Pedroza,juan-pedroza,J. Pedroza,M,18,176.0,186,M,972585,EUR,923529600.0,M,8,8,False,,37.0,28.0,9.0,5.0,18.0,22.0,10.0,19.0,3.0,6.0,,,90.0,61.0,6.7,17.0,2,,,,5.0,5.0,3.0,1.0,1.0,,2.0,3.0,3.0,2.0,1.0,1.0,,,1.0,,4.0,,,,2.0,,,,,,,,,
10913625,home,Al Batin,Mudasiru Salifu,mudasiru-salifu,M. Salifu,M,,177.0,195,M,1392856,EUR,859852800.0,M,90,90,False,,14.0,9.0,,,8.0,11.0,1.0,3.0,2.0,5.0,,,73.0,32.0,6.2,10.0,1,Mudasiru,Salifu,1.0,4.0,5.0,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,3.0,,1.0,1.0,,,,,,1.0,,,,,,,,,
10913625,home,Al Batin,André Bukia,andre-bukia,A. Bukia,M,95,173.0,95,M,798904,EUR,794188800.0,M,11,11,False,,27.0,23.0,2.0,1.0,9.0,11.0,14.0,21.0,1.0,9.0,,,90.0,47.0,6.4,12.0,3,,,,1.0,4.0,,1.0,3.0,,1.0,,,2.0,1.0,,,,3.0,,5.0,,,,1.0,1.0,1.0,1.0,,,,,,
10913625,home,Al Batin,Renzo López,renzo-lopez,R. López,F,31,190.0,440,M,926513,EUR,766454400.0,F,31,31,False,,14.0,11.0,1.0,,8.0,9.0,3.0,5.0,1.0,2.0,,,90.0,25.0,7.0,7.0,1,,,2.0,9.0,4.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,4.0,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,
10913625,home,Al Batin,Yousef Al-Shammari,yousef-al-shammari,Y. Al-Shammari,F,7,170.0,52,M,917232,EUR,881625600.0,F,7,7,False,,13.0,6.0,1.0,,2.0,4.0,4.0,9.0,3.0,3.0,,,90.0,32.0,7.5,11.0,3,,,3.0,3.0,8.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,4.0,,,,,,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,,,
