match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_wonContest,stat_outfielderBlock,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,captain,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_bigChanceMissed,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_accurateCross,stat_ownGoals
11453038,home,Damac FC,Abdulbasit Hawsawi,abdulbasit-hawsawi,A. Hawsawi,G,22,186.0,17,M,948594,EUR,851126400,G,22,22,False,25.0,10.0,19.0,4.0,9.0,12.0,1.0,13.0,1.0,7.0,1.0,1.0,90.0,30.0,6.8,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453038,home,Damac FC,Alhwsawi Sanousi Mohammed,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200,D,21,21,False,37.0,32.0,2.0,,20.0,23.0,12.0,16.0,1.0,4.0,,,90.0,48.0,6.8,11.0,0,Alhwsawi Sanousi Mohammed,,2.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11453038,home,Damac FC,Noor Al-Rashidi,noor-al-rashidi,N. Al-Rashidi,D,4,179.0,18,M,1065328,EUR,794966400,D,4,4,False,58.0,51.0,5.0,3.0,37.0,40.0,14.0,18.0,8.0,4.0,,,90.0,71.0,7.4,7.0,0,Noor Al-Rashidi,,,,2.0,,,,,1.0,,4.0,7.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,
11453038,home,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,3,185.0,1163,M,906407,EUR,702172800,D,3,3,False,51.0,45.0,11.0,8.0,37.0,40.0,8.0,11.0,4.0,4.0,,,90.0,67.0,7.4,6.0,0,,,,4.0,6.0,,1.0,2.0,,1.0,,,3.0,1.0,,2.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,
11453038,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200,D,20,20,False,37.0,26.0,4.0,3.0,15.0,18.0,11.0,21.0,4.0,4.0,,,90.0,65.0,7.3,17.0,0,Dhari Al-Enezi,,2.0,1.0,6.0,1.0,3.0,,1.0,2.0,2.0,1.0,8.0,1.0,,1.0,1.0,4.0,2.0,,,,,,,,,,,,,
11453038,home,Damac FC,Tarek Hamed,hamed-tarek,T. Hamed,M,8,165.0,561,M,560168,EUR,593654400,M,8,8,False,84.0,77.0,11.0,9.0,48.0,53.0,29.0,32.0,3.0,5.0,,,90.0,95.0,7.4,10.0,1,,,1.0,,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,
11453038,home,Damac FC,Domagoj Antolić,domagoj-antolic,D. Antolić,M,8,180.0,103,M,67645,EUR,646704000,M,17,17,False,46.0,42.0,2.0,1.0,27.0,28.0,15.0,18.0,,4.0,,,87.0,52.0,6.9,4.0,0,,,,,1.0,,,2.0,,1.0,,,2.0,,,1.0,,1.0,,,,,,True,,,,,,,,
11453038,home,Damac FC,Ahmad Zain,ahmad-zain,A. Zain,M,49,177.0,14,M,818809,EUR,678412800,M,49,49,False,37.0,30.0,4.0,,11.0,12.0,19.0,28.0,1.0,5.0,,,87.0,58.0,6.5,18.0,0,,,3.0,,6.0,,3.0,3.0,5.0,1.0,,,2.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
11453038,home,Damac FC,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,8,171.0,4005,M,108673,EUR,736732800,M,31,31,False,41.0,36.0,2.0,,16.0,17.0,20.0,25.0,,4.0,,,89.0,54.0,6.6,10.0,1,,,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,,,2.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,
11453038,home,Damac FC,Georges-Kévin N'Koudou,georges-kevin-nkoudou,G. N'Koudou,M,11,172.0,2369,M,342909,EUR,792633600,M,10,10,False,34.0,28.0,3.0,1.0,11.0,12.0,17.0,23.0,,3.0,,,89.0,51.0,7.2,12.0,2,,,1.0,,3.0,2.0,4.0,,2.0,,3.0,,5.0,,,,,2.0,3.0,1.0,,1.0,1.0,,,1.0,,,,,,
