match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_shotOffTarget,player_firstName,captain,player_lastName,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock,stat_goals
13472680,home,Vasco da Gama,Léo Jardim,leo-jardim,L. Jardim,G,1,188,5904,M,leocjardim,595598,EUR,795657600,G,1,1,False,22.0,21.0,2.0,1.0,0.0,21.0,22.0,1.0,7.0,1.0,1.0,90.0,29.0,6.3,1.0,0.00011934,0,-0.8569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472680,home,Vasco da Gama,Paulo Henrique,paulo-henrique,P. Henrique,D,96,175,6662,M,,1021721,EUR,838252800,D,96,96,False,63.0,52.0,1.0,,0.0,16.0,21.0,4.0,6.0,,,89.0,96.0,7.2,20.0,0.516553,0,,36.0,42.0,10.0,5.0,1.0,6.0,5.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,
13472680,home,Vasco da Gama,João Victor,joao-victor,J. Victor,D,38,187,1769,M,,982998,EUR,900633600,D,38,38,False,91.0,89.0,5.0,3.0,0.0,47.0,47.0,4.0,13.0,,,90.0,108.0,7.4,4.0,0.126315,1,,42.0,44.0,2.0,,2.0,2.0,4.0,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2612,0.4517,,,,,,,,,,,
13472680,home,Vasco da Gama,Lucas Freitas,lucas-freitas,L. Freitas,D,43,184,1198,M,,1069729,EUR,979948800,D,43,43,False,94.0,91.0,1.0,1.0,0.0,55.0,56.0,1.0,3.0,,,79.0,97.0,6.6,4.0,0.0126085,0,,36.0,38.0,1.0,,1.0,1.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
13472680,home,Vasco da Gama,Lucas Piton,lucas-piton,L. Piton,D,6,176,3645,M,,982174,EUR,971049600,D,6,6,False,82.0,74.0,5.0,3.0,0.0,29.0,32.0,,4.0,,,90.0,118.0,6.7,22.0,0.367125,0,,45.0,50.0,11.0,2.0,1.0,6.0,2.0,1.0,,3.0,1.0,1.0,1.0,2.0,,2.0,,,,,3.0,,,,1.0,2.0,,,,,,,,,
13472680,home,Vasco da Gama,Tchê Tchê,tche-tche,Tchê Tchê,M,3,175,2494,M,,840398,EUR,715132800,M,3,3,False,77.0,70.0,3.0,2.0,0.0,23.0,25.0,,3.0,,,90.0,89.0,7.1,10.0,0.05141,2,,47.0,52.0,1.0,,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,0.0784,0.1315,,1.0,1.0,,,,,,,,
13472680,home,Vasco da Gama,Jair,jair,Jair,M,8,178,1707,M,,268419,EUR,777859200,M,8,8,False,58.0,57.0,2.0,2.0,0.0,29.0,30.0,1.0,2.0,,,45.0,65.0,6.8,3.0,0.0184259,1,,28.0,28.0,,,,3.0,3.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,,,,,,0.0354,,,1.0,,1.0,,,,,,,
13472680,home,Vasco da Gama,Rayan,rayan,Rayan,M,37,185,31537,M,,1464966,EUR,1154563200,M,77,77,False,28.0,20.0,1.0,1.0,0.0,8.0,9.0,,,,,90.0,47.0,6.7,16.0,0.0170045,5,,12.0,19.0,2.0,,,6.0,3.0,1.0,1.0,2.0,,,,2.0,,1.0,,,1.0,,1.0,3.0,0.2337,0.1143,,1.0,3.0,1.0,Rayan,,,,,,
13472680,home,Vasco da Gama,Philippe Coutinho,philippe-coutinho,P. Coutinho,M,,172,68539,M,Coutinho,119159,EUR,708307200,M,11,11,False,49.0,44.0,3.0,2.0,0.0,14.0,15.0,,2.0,,,79.0,70.0,7.0,15.0,0.18003,1,,30.0,34.0,6.0,1.0,,5.0,5.0,1.0,2.0,2.0,2.0,,,2.0,,1.0,,,,,1.0,3.0,0.0268,,1.0,3.0,1.0,,,,,,,,
13472680,home,Vasco da Gama,Nuno Moreira,nuno-moreira,N. Moreira,M,17,173,4340,M,,851285,EUR,929491200,M,17,17,False,46.0,40.0,3.0,1.0,0.0,9.0,11.0,,6.0,,,89.0,65.0,7.2,15.0,0.384429,1,,31.0,35.0,10.0,3.0,1.0,2.0,3.0,,,2.0,1.0,2.0,1.0,,,2.0,,,,,,,0.0197,,,1.0,1.0,,,,,,,,
