match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_hitWoodwork,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,captain,stat_dispossessed,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_goalAssist,stat_goals,stat_punches,stat_errorLeadToAShot
11067367,home,Botafogo,Lucas Perri,,,lucas-perri,L. Perri,G,1,196,3423,M,871290,EUR,881712000,G,12,12,False,21.0,17.0,17.0,13.0,11.0,12.0,6.0,9.0,1.0,8.0,1.0,1.0,2.0,2.0,90.0,30.0,6.7,4.0,0.0,0.0,0.00210929,0,-0.7781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067367,home,Botafogo,Tchê Tchê,,,tche-tche,Tchê Tchê,M,3,175,2494,M,840398,EUR,715132800,D,6,6,False,57.0,50.0,4.0,1.0,14.0,19.0,36.0,45.0,6.0,9.0,4.0,,,,89.0,81.0,7.0,17.0,0.0232,0.0,0.0320931,1,,7.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
11067367,home,Botafogo,Adryelson,,,adryelson,Adryelson,D,34,184,1086,M,795261,EUR,890611200,D,34,34,False,61.0,55.0,3.0,2.0,35.0,38.0,20.0,23.0,7.0,4.0,,,,,90.0,73.0,7.5,6.0,0.0,0.0,0.296273,0,,,3.0,3.0,,,,,1.0,1.0,,,1.0,6.0,5.0,2.0,3.0,,,,,,,,,,,,,
11067367,home,Botafogo,Víctor Cuesta,,,victor-cuesta,Víctor Cuesta,D,31,187,553,M,587148,EUR,595900800,D,15,15,False,64.0,53.0,7.0,5.0,36.0,41.0,17.0,25.0,13.0,7.0,1.0,,,,90.0,80.0,7.3,14.0,0.0947,0.0,0.0102885,2,,2.0,,4.0,,,2.0,,,,,3.0,,12.0,1.0,1.0,2.0,True,1.0,,,,,,,,,,,
11067367,home,Botafogo,Hugo,,,hugo,Hugo,D,16,175,534,M,1018915,EUR,1000944000,D,16,16,False,40.0,32.0,3.0,1.0,13.0,15.0,21.0,30.0,13.0,6.0,,,,,90.0,81.0,7.3,20.0,0.0478,0.0282,0.0623621,2,,5.0,3.0,11.0,3.0,5.0,1.0,,7.0,2.0,3.0,2.0,2.0,3.0,,,2.0,,1.0,2.0,3.0,1.0,,,,,,,,
11067367,home,Botafogo,Marlon Freitas,,,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,85.0,79.0,13.0,10.0,37.0,38.0,42.0,47.0,2.0,10.0,,,,,90.0,91.0,7.0,6.0,0.0265,0.0,0.105095,1,,,2.0,3.0,1.0,,,,1.0,1.0,,,,1.0,3.0,,,,,,,,1.0,,,,,,,
11067367,home,Botafogo,Gabriel Pires,,,gabriel-pires,G. Pires,M,10,186,398,M,178407,EUR,748310400,M,14,14,False,31.0,18.0,5.0,2.0,9.0,14.0,11.0,22.0,7.0,4.0,1.0,,,,45.0,46.0,7.2,18.0,0.1482,0.0,0.0839233,2,,5.0,2.0,4.0,1.0,1.0,2.0,,2.0,1.0,2.0,1.0,1.0,3.0,,,1.0,,,2.0,1.0,,,,,,,,,
11067367,home,Botafogo,Júnior Santos,,,junior-santos,J. Santos,F,37,188,2187,M,922559,EUR,781833600,M,37,37,False,17.0,14.0,1.0,1.0,4.0,4.0,11.0,17.0,3.0,3.0,2.0,,,,45.0,32.0,6.4,12.0,0.0,0.0,0.0417424,0,,4.0,1.0,5.0,1.0,3.0,,,,,4.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
11067367,home,Botafogo,Eduardo,,,eduardo,Eduardo,M,21,184,1737,M,76507,EUR,624585600,M,33,33,False,38.0,31.0,2.0,2.0,8.0,9.0,23.0,31.0,7.0,2.0,1.0,,,,90.0,51.0,6.9,12.0,0.0,0.0,0.014208,0,,2.0,1.0,2.0,,,,,4.0,1.0,2.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,
11067367,home,Botafogo,Victor Sá,,,victor-sa,Victor Sá,M,7,178,521,M,799634,EUR,764726400,M,7,7,False,20.0,18.0,1.0,1.0,6.0,7.0,12.0,18.0,6.0,3.0,1.0,,,,81.0,40.0,6.4,13.0,0.0,0.0,0.0877987,0,,5.0,5.0,11.0,2.0,2.0,,,3.0,2.0,3.0,2.0,1.0,1.0,,,2.0,,1.0,,1.0,,,,,,,,,
